Burs Aliyor mu?,Burslu ise Burs Yuzdesi,Baska Bir Kurumdan Burs Aliyor mu?,Burs Aldigi Baska Kurum,Baska Kurumdan Aldigi Burs Miktari
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
1,0.0,0,Null,Null
1,0.0,0,Null,Null
1,0.0,0,Null,Null
1,0.0,1,kyk,300
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
1,0.0,1,devlet kredisi,300
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,turk egitim vakfi,400
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,cumhuriyet kadinlari manisa,75
0,0.0,1,kyk,300
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kykdan,300
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,1,kyk,900
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,basbakanlik bursu,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,900
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,1,cagdas yasami destekleme dernegi,120
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kredi yurtlar kurumu basbakanlik bursu,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,kyk kredili,300
0,0.0,0,kredi yurtlar kurumu kredisi,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,1,kyk kredi ve yurtlar kurumu,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,vakif,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,basbakanlik,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
1,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,1,ytb,550
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,ogrenim kredisi,300
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk ogrenci kredisi odemeli - iptal ettirmeyi dusunuyorum,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,basbakanlik,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,basbakanlik bursu,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,1,calisma bakanligi,150
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,ozgorkey holding,400
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,1,kykdan kredi,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kredi ve yurtlar kurumu bursu,300
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,devlet,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,basarim sensin dernegi,270
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,1,kyk,300
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,1,kredi aliyorum devlet,300
0,0.0,0,Null,Null
0,0.0,0,devlet,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,vakif,70
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,1,yky bsbakanlik bursu,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,masonlar dernegi.,175
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,erzincan kultur-egitim vakfi,125
1,0.0,1,basbakanlik bursu,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,ankara trafik vakfi,150
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,anadolu vakfi,325
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,anadolu vakfi,325
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,aguv,400
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,tofas a.s.,5000
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,kyk,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,kyk,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
1,0.0,1,satso,120
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,masonlar dernegi.,175
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,basbakanlik-geri odemeli kredi,300
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,1,kyk,300
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,1,ozel burs,300
1,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,buvak,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,basbakanlik,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,yuksek ogrenim kredi ve yurtlar kurumu,300
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kredi ve yurtlar kurumundan burs aliyorum,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,1,tev,400
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
1,0.0,0,Null,Null
1,0.0,0,Null,Null
1,0.0,1,cagdas yasami destekleme dernegi,150
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,1,kyk,300
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,1,devlet,300
0,0.0,1,sabanci vakfi,340
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,1,kyk,280
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,basbakanlik bursu,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,1,adilcevaz sosyal dayanisma kurumu,100
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,devlet,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,odtu yurt bursu,500
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
1,0.0,1,basbakanlik bursu,300
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,1,haci omer sabanci vakfi,350
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,sinpas,250
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kredi ve yurtlar kurumu ogrenim kredisi,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,1,basbakanlik bursu,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk geri odemeli kredi,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,1,kyk,300
0,0.0,1,tev,400
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,geri odemeli kredi,300
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,turk petrol vakfi,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,1,devlet,300
0,0.0,0,Null,Null
0,0.0,1,ozel bir sirket,150
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,ito,225
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,basbakanlik,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,1,kyk,300
0,0.0,0,Null,Null
1,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,1,yurtkur,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,1,cagdas yasami destekleme dernegi,150
0,0.0,1,kyk,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
1,0.0,0,Null,Null
1,0.0,0,Null,Null
1,0.0,1,basbakanlik bursu,300
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
1,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
0,0.0,0,Null,Null
