Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
elektrik elektronik muhendisligi,1,Null,0,Null
biyoloji,3,0.0-2.5,0,Null
elektrik elektronik muhendisligi,4,3.0-3.5,0,Null
orman endustri muhendisligi,3,0.0-2.5,0,Null
isletme,3,0.0-2.5,0,Null
hukuk,1,0.0-2.5,0,Null
makina muhendisligi,2,3.0-4.0,0,Null
isletme,2,0.0-2.5,0,Null
%30 ingilizce iktisat,2,3.0-4.0,0,Null
iktisat,2,2.5-3.0,0,Null
hukuk fakultesi,3,3.0-3.5,0,Null
insaat muhendisligi,1,0.0-2.5,0,Null
gemi ve deniz teknolojisi muhendisligi ing,2,2.5-3.0,0,Null
sinif ogretmenligi-okuloncesi ogretmenligicift anadal,4,3.0-4.0,0,Null
sosyal hizmet,2,Null,0,Null
bilgisayar muhendisligi,1,2.5-3.0,0,Null
makine muhendisligi,2,0.0-2.5,0,Null
ingiliz dili ve edebiyati,4,2.5-3.0,0,Null
ingiliz dili ve edebiyati,4,2.5-3.0,0,Null
iktisat,2,0.0-2.5,0,Null
tip,3,3.0-3.5,0,Null
iktisat,2,2.5-3.0,0,Null
ozel egitim ogretmenligi,4,2.5-3.0,0,Null
bilgisyar programciligi,1,0.0-2.5,0,Null
elektrik elektronik muhendisligi,3,2.5-3.0,0,Null
sosyal hizmet,2,3.0-3.5,0,Null
makine muhendisligi,3,2.5-3.0,0,Null
elektrik elektronik muhendisligi,3,2.5-3.0,0,Null
harita ve kadostro,2,0.0-2.5,0,Null
kamu yonetimi,3,2.5-3.0,0,Null
yiyecek icecek isletmeciligi,4,2.5-3.0,0,Null
elektronik ve haberlesme muhendisligi,Null,Null,0,Null
elektrik elektronik muhendisligi,4,3.0-4.0,0,Null
iktisat,4,0.0-2.5,0,Null
eczacilik fakultesi,3,3.0-3.5,0,Null
endustri muhendisligi,3,0.0-2.5,0,Null
endustri muhendisligi,3,0.0-2.5,0,Null
ekonometri,4,2.5-3.0,0,Null
turk dili ve edebiyati,1,2.5-3.0,0,Null
elehktrik-elektronik muhendisligi,3,0.0-2.5,0,Null
ingilizce isletme,4,2.5-3.0,0,Null
bilgisayar muhendisligi,1,Null,0,Null
insaat teknolojisi,1,Null,0,Null
malzeme ve metalurji muh,4,0.0-2.5,0,Null
muhendislik fakultesi elektrik elektronik muhendisligi %100 ingilizce,3,3.0-3.5,0,Null
uluslararasi iliskiler,3,0.0-2.5,0,Null
kimya teknolojisi,2,0.0-2.5,0,Null
najine muh.,4,2.5-3.0,0,Null
kamu yonetimi,3,2.5-3.0,0,Null
konaklama isletmeciligi,2,2.5-3.0,0,Null
sosyal hizmet,3,3.0-3.5,0,Null
metalurji ve malzeme muhendisligi,3,2.5-3.0,0,Null
sosyoloji,1,Null,0,Null
elektrik elektronik muh.,2,0.0-2.5,0,Null
maliye,3,2.5-3.0,0,Null
fen bilgisi ogretmenligi,4,2.5-3.0,0,Null
ic mimarlik,2,0.0-2.5,0,Null
almanca ogretmenligi,2,Null,0,Null
istatistik,1,Null,0,Null
elektrik ve elektronik muhendisligi,hazirlik,Null,0,Null
veteriner,4,0.0-2.5,0,Null
iktisat,3,0.0-2.5,0,Null
kamu yonetimi,2,0.0-2.5,0,Null
radyo televizyon ve sinema,1,Null,0,Null
isletme,4,0.0-2.5,0,Null
insaat muhendisligi,4,0.0-2.5,0,Null
isletme enformatigi,2,0.0-2.5,0,Null
isletme,3,2.5-3.0,0,Null
maden muhendisligi,1,Null,0,Null
isletme,4,0.0-2.5,0,Null
iktisat,4,2.5-3.0,0,Null
elektronik ve haberlesme muhendisligi,3,2.5-3.0,0,Null
sivil havacilik,4,2.5-3.0,0,Null
elektrik-elektronik muhendisligi,4,0.0-2.5,0,Null
elektronik muhendisligi,4,2.5-3.0,0,Null
gemi insaati ve gemi makineleri muhendisligi,2,0.0-2.5,0,Null
makine muhendisligi,hazirlik,Null,0,Null
turizm isletmeciligi,4,2.5-3.0,0,Null
makine muhendisligi,4,0.0-2.5,1,Null
yonetim bilisim sistemleri,1,Null,1,Null
isletme,2,0.0-2.5,0,Null
yazilim muhendisligi,3,0.0-2.5,0,Null
ingilizce ogretmenligi,3,2.5-3.0,0,Null
siyaset bilimi ve uluslararasi iliskiler,3,Null,0,Null
tip,3,2.5-3.0,0,Null
isletme,4,2.5-3.0,0,Null
isletme,3,2.5-3.0,0,Null
uluslararasi iliskiler,2,3.0-3.5,0,Null
cevre muhendisligi,3,2.5-3.0,0,Null
ingilizce iktisat,2,0.0-2.5,0,Null
denizcilik isletmeleri yonetimi,3,0.0-2.5,0,Null
mekatronik muhendisligi,2,0.0-2.5,0,Null
elektronik ve haberlesme muhendisligi,2,3.0-4.0,0,Null
tekstil muhendisligi,4,0.0-2.5,0,Null
hemsirelik,2,2.5-3.0,0,Null
isletme,2,2.5-3.0,0,Null
iktisat,4,2.5-3.0,0,Null
makine muhendisligi,4,0.0-2.5,0,Null
bilgisayar muhendisligi,4,3.0-4.0,0,Null
yonetim bilisim sistemleri,3,0.0-2.5,0,Null
insaat muhendisligi,1,Null,0,Null
endustri muhendisligi,3,0.0-2.5,0,Null
ekonometri,3,2.5-3.0,0,Null
calisma ekonomisi ve endustri iliskileri,3,0.0-2.5,0,Null
insaat muhendisligi,3,2.5-3.0,0,Null
saglik yonetimi,3,0.0-2.5,0,Null
insaat muhendisligi bolumu,3,3.0-4.0,0,Null
elektirik-elektronik muhendisligi,2,0.0-2.5,0,Null
bilgisayar muhendisligi,4,3.0-3.5,0,Null
isletme ingilizce,hazirlik,Null,0,Null
mekatronik muhendisligi,hazirlik,Null,0,Null
mutercim tercumanlik,1,Null,0,Null
beden egitimi spor yuksek okulu,3,0.0-2.5,0,Null
maliye,2,Null,0,Null
elektrik elektronik muhendisligi,2,0.0-2.5,0,Null
bilgisayar muhendisligi,3,2.5-3.0,0,Null
yazilim muhendisligi,4,0.0-2.5,0,Null
fizyoterapi ve rehabilitasyon,2,2.5-3.0,0,Null
elektrik elektronik muhendisligi,2,0.0-2.5,1,Null
elektrik muhendisligi,mezun,2.5-3.0,1,Null
konaklama isletmeciligi,3,Null,1,Null
isletme siyasal bilgiler fakultesi,4,0.0-2.5,0,Null
elektrik-elektronik muh,4,0.0-2.5,0,Null
hukuk,2,0.0-2.5,0,Null
elektrik elektronik muhendisligi,2,0.0-2.5,0,Null
calisma ekonomisi ve endustri iliskileri,2,0.0-2.5,0,Null
hemsirelik,3,2.5-3.0,0,Null
isletme,3,3.0-3.5,0,Null
elektrik-elektronik muhendisligi,2,3.0-3.5,0,Null
elektrik eloktronik muhendisligi,1,Null,0,Null
mekatronik muhendisligi,3,3.0-3.5,0,Null
endustri muhendisligi,3,0.0-2.5,0,Null
optisyenlik,2,Null,0,Null
sosyal hizmet,2,3.0-3.5,0,Null
ingilizce ogretmenligi,3,3.0-3.5,0,Null
ozel egitim bolumu,3,0.0-2.5,0,Null
calisma ekonomisi ve endustri ilisiler,3,0.0-2.5,0,Null
iktisat,2,0.0-2.5,0,Null
isletme,3,2.5-3.0,0,Null
italyan dili ve edebiyati,1,Null,0,Null
calisma ekonomisi ve endustri iliskileri,3,2.5-3.0,0,Null
bankacilik ve sigortacilik,2,Null,0,Null
iktisat %30 ingilizce,1,Null,0,Null
endustri muhendisligi,3,2.5-3.0,0,Null
lojistik,mezun,3.0-3.5,1,Null
elektronik ve haberlesme muhendisligiing,4,0.0-2.5,0,Null
iktisat,mezun,2.5-3.0,1,Null
petrol ve dogalgaz muhendisligi,1,0.0-2.5,0,Null
jeoloji muhendisligi,4,Null,0,Null
muhasebe ve vergi uygulamalari,2,2.5-3.0,0,Null
turk dili ve edebiyati,2,3.0-3.5,0,Null
halkla iliskiler ve tanitim,4,3.0-3.5,0,Null
bilgisayar muhendisligi,3,2.5-3.0,0,Null
matematik,4,0.0-2.5,0,Null
calisma ekonomisi ve endustri iliskiler,3,0.0-2.5,0,Null
iktisat,2,3.0-4.0,0,Null
okul oncesi ogretmenligi,3,2.5-3.0,0,Null
uluslararasi iliskiler,4,2.5-3.0,0,Null
ingilice ogretmenligi,2,0.0-2.5,0,Null
hukuk fakultesi,4,2.5-3.0,0,Null
matematik,3,0.0-2.5,0,Null
makina muhendisligi,3,2.5-3.0,0,Null
elektronik teknolojisi,2,Null,0,Null
halkla iliskiler ve tanitim,4,3.0-3.5,0,Null
halkla iliskiler ve tanitim,3,2.5-3.0,0,Null
amerikan kulturu ve edebiyati,3,2.5-3.0,0,Null
endustri muhendisligi,2,0.0-2.5,0,Null
halkla iliskiler ve reklamcilik,2,3.0-3.5,0,Null
uluslararasi iliskiler,2,3.0-3.5,0,Null
uluslararasi iliskiler,1,Null,0,Null
siyaset bilimi ve uluslararasi iliskiler,4,2.5-3.0,0,Null
istatistik,3,2.5-3.0,0,Null
calisma ekonomisi ve endustri iliskileri,mezun,0.0-2.5,0,Null
uluslararasi ticaret ve isletmeceilik,2,Null,0,Null
uluslararasi isletmecilik ve ticaret,2,2.5-3.0,0,Null
biyomedikal muhendisligi,2,Null,0,Null
muhasebe ve finansal yonetim,4,2.5-3.0,0,Null
turk dili ve edebiyati,2,0.0-2.5,0,Null
ekonometri,3,3.0-3.5,0,Null
uluslararasi iliskiler,2,2.5-3.0,0,Null
enerji sistemleri muhendisligi,3,2.5-3.0,0,Null
elektronik ve haberlesme muhendisligi,1,Null,0,Null
elektrik-elektronik muhendisligi,3,2.5-3.0,0,Null
ingilizce isletme,4,2.5-3.0,0,Null
kimya,mezun,2.5-3.0,1,Null
sinif ogretmenligi,4,3.0-3.5,0,Null
isletme,3,Null,1,Null
halkla iliskiler ve tanitim,4,0.0-2.5,0,Null
sosyal bilgiler ogretmenligi,3,2.5-3.0,0,Null
turk dili ve edebiyati,4,2.5-3.0,0,Null
isletme,3,2.5-3.0,0,Null
uluslararasi iliskiler,4,2.5-3.0,0,Null
kimya muhendisligi,3,0.0-2.5,0,Null
iktisat- calisma ekonomisi ve endustri iliskileri,2,Null,0,Null
iktisat,3,2.5-3.0,0,Null
elektronik haberlesme muh.,3,3.0-4.0,0,Null
maliye,4,0.0-2.5,0,Null
isletme,3,3.0-3.5,0,Null
rehberlik ve psikolojik danismanlik,2,3.0-3.5,0,Null
bilgisayar muhendisligi,3,2.5-3.0,0,Null
istatistik,1,Null,0,Null
kimya,2,0.0-2.5,0,Null
turizm isletmeciligi,4,Null,0,Null
calisma ekonomisi ve endustri iliskileri,4,0.0-2.5,0,Null
calisma ekonomisi ve endustri iliskileri,3,2.5-3.0,0,Null
siyaset bilimi ve uluslararasi iliskiler-isletms,4,3.0-3.5,0,Null
bilgisayar muhendisligi,2,2.5-3.0,0,Null
ingilizce ogretmenligi,1,2.5-3.0,0,Null
istatistik,3,0.0-2.5,0,Null
halkla iliskiler ve reklamcilik,3,3.0-3.5,0,Null
siyaset bilimi ve kamu yonetimi,4,3.0-3.5,0,Null
iktisat,3,3.0-3.5,0,Null
ingilizce isletme,4,2.5-3.0,0,Null
sosyoloji,4,2.5-3.0,0,Null
sosyal hizmetler,2,2.5-3.0,0,Null
turk dili ve edebiyati bolumu,3,3.0-3.5,0,Null
istatistik,3,0.0-2.5,0,Null
uluslararasi iliskiler,3,2.5-3.0,0,Null
bilgisayar muhendisligi,3,2.5-3.0,0,Null
fen bilgisi ogretmenligi,4,2.5-3.0,0,Null
malatya/merkez,Null,0.0-2.5,0,Null
isletme fakultesi isletme,2,0.0-2.5,0,Null
yonetim bilisim sistemleri,3,0.0-2.5,0,Null
tarih,2,3.0-4.0,1,Null
iktisat,4,2.5-3.0,0,Null
isletme,3,3.0-3.5,0,Null
alman dili ve edebiyati,mezun,2.5-3.0,1,Null
turizm fakultesi,3,0.0-2.5,0,Null
uluslararasi iliskiler,1,Null,0,Null
isletme,2,2.5-3.0,0,Null
iktisat,1,Null,0,Null
uluslararasi ticaret ve finansman,2,0.0-2.5,0,Null
isletme,1,0.0-2.5,0,Null
kamu yonetimi,4,0.0-2.5,1,Null
isletme,5,0.0-2.5,0,Null
endustri muhendisligi,3,2.5-3.0,0,Null
uluslararasi iliskiler ing,4,0.0-2.5,0,Null
ceko,3,Null,0,Null
makine muhendisligi,2,0.0-2.5,0,Null
sehir ve bolge planlama,2,0.0-2.5,0,Null
isletme,1,3.0-3.5,0,Null
biyomuhendislik,3,3.0-3.5,0,Null
makina muhendisligi,4,2.5-3.0,0,Null
deniz ulastirma ve isletme muhendisligi,1,0.0-2.5,0,Null
hemsirelik,3,2.5-3.0,0,Null
isci sagligi ve is guvenligi,2,2.5-3.0,0,Null
mimari tasarim yuksek lisans programi,tez,3.0-4.0,1,Null
peyzaj mimarligi,1,3.0-3.5,0,Null
metalurji ve malzeme muhendisligi,1,Null,0,Null
ingilizce ogretmenligi,3,2.5-3.0,0,Null
uluslararasi ticaret ve isletmecilik,2,0.0-2.5,0,Null
gida teknolojisi,2,2.5-3.0,0,Null
makina muhendisligi,1,Null,0,Null
sinif ogretmenligi,3,3.0-3.5,0,Null
isletme,2,2.5-3.0,0,Null
hukuk,1,3.0-3.5,0,Null
ilkogretim matematik ogretmenligi,3,3.0-3.5,0,Null
uluslararasi iliskiler,1,Null,0,Null
elektronik-haberlesme muhendisligi,2,2.5-3.0,0,Null
isletme,2,2.5-3.0,0,Null
psikolojik danismanlik ve rehberlik,1,0.0-2.5,0,Null
calisma ekonomisi ve endustri iliskileri,4,2.5-3.0,0,Null
elektronik ve haberlesme muhendisligi,2,2.5-3.0,0,Null
endustri muhendisligi,4,2.5-3.0,0,Null
aktuerya bilimleri,4,2.5-3.0,0,Null
isletme,3,2.5-3.0,0,Null
almanca ogretmenligi,hazirlik,Null,0,Null
kamu yonetimi,3,3.0-3.5,0,Null
isletme,1,2.5-3.0,0,Null
aktuerya,4,2.5-3.0,0,Null
endustri muhendisligi,4,2.5-3.0,0,Null
halkla iliskiler ve tanitim,1,Null,0,Null
makina ve imalat muhendisligi,4,3.0-3.5,0,Null
tip fakultesi,3,3.0-3.5,0,Null
hukuk fakultesi,4,0.0-2.5,0,Null
iktisat,2,2.5-3.0,0,Null
halkla iliskiler ve tanitim,2,2.5-3.0,0,Null
hemsirelik,3,Null,0,Null
mekatronik muhendisligi,1,3.0-4.0,0,Null
elektronik ve haberlesme muhendisligi,1,3.0-4.0,0,Null
halkla iliskiler ve tanitim,4,3.0-3.5,0,Null
sosyal hizmet,2,3.0-4.0,0,Null
makine muhendisligi,hazirlik,3.0-4.0,0,Null
insaat muh.,2,0.0-2.5,0,Null
elektrik elektronik muhendisligi,2,3.0-3.5,0,Null
isletme,3,3.0-4.0,0,Null
isletme,3,3.0-4.0,0,Null
ilkogretim matematik ogretmenligi,2,2.5-3.0,0,Null
endustri muhendisligi,3,2.5-3.0,0,Null
uluslararasi iliskiler,4,2.5-3.0,1,Null
makina muhendisligi,2,0.0-2.5,0,Null
hukuk,4,0.0-2.5,0,Null
bilgisayar teknolojileri ve bilisim sistemleri,3,3.0-3.5,0,Null
cografya ogretmenligi,4,2.5-3.0,0,Null
insaat muhendisligi,2,0.0-2.5,0,Null
kamu yonetimi,1,Null,0,Null
ilahiyat,hazirlik,Null,0,Null
hukuk,3,2.5-3.0,0,Null
ekonometri,2,0.0-2.5,1,Null
jeoloji muhendisligi,4,0.0-2.5,0,Null
tarih,3,0.0-2.5,0,Null
endustri muhendisligi,4,0.0-2.5,0,Null
iktisat,3,2.5-3.0,0,Null
ingilizce matematik,1,2.5-3.0,0,Null
kamu yonetimi,2,0.0-2.5,0,Null
ingilizce isletme,3,2.5-3.0,0,Null
sanat tarihi,2,0.0-2.5,0,Null
makine muhendisligi,3,0.0-2.5,0,Null
bilgisayar muhendisligi,2,3.0-4.0,0,Null
isletmeingilizce,3,0.0-2.5,0,Null
kamu yonetimi ve siyaset bilimi,2,Null,0,Null
tarih,1,Null,0,Null
ziraat fakultesi,3,2.5-3.0,0,Null
kamu yonetimi,hazirlik,Null,0,Null
isletme,1,3.0-4.0,0,Null
kamu yonetimi,2,2.5-3.0,0,Null
zihin engelliler ogretmenligi,4,2.5-3.0,0,Null
siyaset bilimi ve kamu yonetimi,3,2.5-3.0,0,Null
endustri muhendisligi,4,3.0-3.5,0,Null
insaat muhendisligi,3,2.5-3.0,0,Null
isletme,4,0.0-2.5,0,Null
bankacilik ve finans,3,3.0-3.5,1,Null
uzay muhendisligi,4,2.5-3.0,0,Null
insaat muhendisligi,2,Null,0,Null
gemi makineleri isletme muhendisligi,hazirlik,Null,0,Null
dis hekimligi,mezun,3.0-4.0,1,Null
bilgisayar muhendisligi,2,2.5-3.0,0,Null
metalurji ve malzeme muhendisligi,3,0.0-2.5,0,Null
mekatronik muhendisligi,2,2.5-3.0,0,Null
makine muhendisligi,4,0.0-2.5,0,Null
halkla iliskiler ve reklamcilik,4,3.0-4.0,0,Null
ingilizce iktisat,3,2.5-3.0,0,Null
siyaset bilimi ve kamu yonetimi,4,2.5-3.0,0,Null
iktisat,2,0.0-2.5,0,Null
endustri muhendisligi,3,0.0-2.5,0,Null
elektronik ve haberlesme muhendisligi,1,3.0-3.5,0,Null
mekatronik muhendisligi,3,3.0-3.5,0,Null
isletme,hazirlik,Null,0,Null
isletme,3,0.0-2.5,0,Null
makine muhendisligi,4,2.5-3.0,0,Null
metalurji ve malzeme muhendisligi a.b.d. t-li yl,2,3.0-3.5,1,Null
uluslararasi ticaret ve lojistik,3,Null,0,Null
turizm isletmeciligi,3,0.0-2.5,0,Null
bilgisayar programcligi,1,0.0-2.5,0,Null
mekatronik muhendisligi,2,0.0-2.5,0,Null
gazetecilik,2,3.0-3.5,0,Null
"fen bilimleri enstitusu, cevre muhendisligi anabilim dali, cevre teknolojisi bilim dali",2,3.0-4.0,1,Null
bilgisayar muhendisligi,3,0.0-2.5,0,Null
jeoloji muhendisligi,2,3.0-3.5,0,Null
mutercim tercumanlik ingilizce - fransizca - turkce,Null,Null,0,Null
elektrik elektronik muhendisligi bolumu,4,2.5-3.0,0,Null
uluslararasi iliskiler,hazirlik,Null,0,Null
isletme bilgi yonetimi,3,2.5-3.0,0,Null
rayli sistemler muhendisligi,3,2.5-3.0,0,Null
elektrik-elektronik muhendisligi,2,Null,1,Null
biyoloji,2,0.0-2.5,0,Null
lojistik,2,3.0-4.0,1,Null
kamu yonetimi,4,2.5-3.0,0,Null
ingiliz dili ogretmenligi,2,3.0-3.5,0,Null
alternatif enerji kaynaklari teknolojisi,2,2.5-3.0,1,Null
elektrik elektronik muhendisligi,3,3.0-3.5,0,Null
ekonomi,1,3.0-3.5,0,Null
tekstil muhendisligi,1,Null,0,Null
isletme yonetimi,Null,2.5-3.0,0,Null
kamu yonetimi,3,3.0-3.5,0,Null
uluslararasi iliskiler,3,0.0-2.5,0,Null
makine muhendisligi,3,0.0-2.5,0,Null
makine muhendisligi,4,0.0-2.5,0,Null
tip fakultesi,4,2.5-3.0,0,Null
isletme,4,0.0-2.5,0,Null
endustri muhendisligi,3,3.0-3.5,0,Null
biyomedikal muhendisligi,1,Null,0,Null
uluslararasi ticaret,3,2.5-3.0,0,Null
ingilizce iksitsat%100,2,0.0-2.5,0,Null
uluslararasi iliskiler,2,2.5-3.0,0,Null
tip fakultesi,2,3.0-3.5,0,Null
maliye,3,Null,1,Null
cevre muhendisligi,2,0.0-2.5,0,Null
elektrik-elektronik muhendisligi %100 ingilizce,3,2.5-3.0,0,Null
"radyo,sinema ve televizyon",2,2.5-3.0,0,Null
elektrik elektronik muhendisligi,3,0.0-2.5,0,Null
elektrik-elektronik muhendisligi ingilizce,4,0.0-2.5,0,Null
kamu yonetimi,3,2.5-3.0,1,Null
iktisat,4,2.5-3.0,0,Null
elektrik-elektronik muhendisligi,2,2.5-3.0,0,Null
psikoloji,2,2.5-3.0,0,Null
iktisat fakultesi,mezun,2.5-3.0,1,Null
bilgisayar muhendisligi,3,0.0-2.5,0,Null
isletme,1,Null,0,Null
isletme,4,0.0-2.5,0,Null
lpjistik,2,Null,0,Null
elektronik muhendisligi,1,Null,1,Null
biyoloji,4,0.0-2.5,0,Null
saglik yonetimi,4,3.0-3.5,0,Null
maden muhendisligi,2,0.0-2.5,0,Null
iktisat,4,Null,0,Null
elektrik-elektronik muhendisligi,4,2.5-3.0,0,Null
halkla iliskiler ve tanitim,1,Null,0,Null
bilgisayar ve ogretim teknolojileri ogretmenligi,3,3.0-3.5,0,Null
ozel hukuk yuksek lisans,1,Null,1,Null
iktisat,3,0.0-2.5,0,Null
halkla iliskiler ve tanitim,mezun,2.5-3.0,0,Null
mekatronik muhendisligi,4,0.0-2.5,0,Null
isletme,3,2.5-3.0,0,Null
iktisat,3,2.5-3.0,0,Null
tip muhendisligi,2,2.5-3.0,0,Null
bilgisayar muhendisligi,1,Null,0,Null
insaat muhendisligi,2,2.5-3.0,0,Null
grafik tasarim,3,Null,0,Null
enerji sistemleri muhendisligi,3,0.0-2.5,0,Null
uluslararasi iliskiler,2,3.0-3.5,0,Null
isletme,4,3.0-3.5,0,Null
iktisat,2,3.0-3.5,0,Null
mekatronik muhendisligi,2,2.5-3.0,0,Null
saglik kurumlari yoneticiligi,2,2.5-3.0,0,Null
makine muhendisligi,1,0.0-2.5,0,Null
maliye,4,2.5-3.0,0,Null
isletme i.o,3,2.5-3.0,0,Null
gumruk isletme,1,3.0-3.5,0,Null
harita muhendisligi,3,2.5-3.0,0,Null
spor yoeneticiligi,3,3.0-3.5,0,Null
yazilim muhendisligi,4,2.5-3.0,0,Null
makine muhendisligi,2,2.5-3.0,0,Null
hukuk,3,3.0-4.0,0,Null
isletme,1,Null,0,Null
sosyoloji,1,Null,0,Null
isletme,4,2.5-3.0,0,Null
elektrik elektronik muhendisligi,4,2.5-3.0,0,Null
bilgisayar ogretim teknolojileri ogretmenligi,2,2.5-3.0,0,Null
ilkogretim din kulturu ogretmenligi,2,3.0-3.5,0,Null
ilahiyat fakultesi,4,0.0-2.5,0,Null
sivil hava ulastirma isletmeciligi,1,Null,0,Null
isletme,3,0.0-2.5,0,Null
molekuler biyoloji ve genetik,3,3.0-3.5,0,Null
kamu,1,Null,0,Null
gemi insaati ve gemi makineleri muhendisligi,1,Null,0,Null
otomotiv teknolojisi,2,3.0-4.0,0,Null
bilgisyar muhendisligi,4,0.0-2.5,0,Null
elektrik elektronik muh.,3,0.0-2.5,0,Null
insaat muhendisligi,4,0.0-2.5,0,Null
iktisat,2,Null,1,Null
makine muhendisligi,2,0.0-2.5,0,Null
pazarlama,mezun,2.5-3.0,0,Null
reklamcilik,2,2.5-3.0,0,Null
makine muhendisligi,4,3.0-3.5,0,Null
imalat muhendisligi,mezun,0.0-2.5,1,Null
deniz ve liman isletmeciligi,1,2.5-3.0,0,Null
biyokimya,3,0.0-2.5,0,Null
makine muhendisligi,4,0.0-2.5,0,Null
iktisat,3,2.5-3.0,0,Null
isletme,3,2.5-3.0,1,Null
bilgisayar muhendisligi,3,2.5-3.0,0,Null
halkla iliskiler ve tanitim,3,2.5-3.0,0,Null
elektronik haberlesme muhendisligi,4,3.0-3.5,0,Null
elektrik elektronik muh.,mezun,3.0-4.0,1,Null
yonetim bilisim sistemleri,2,Null,0,Null
siyaset bilimi,4,2.5-3.0,0,Null
japonca ogretmenligi,3,3.0-3.5,0,Null
uluslararasi iliskiler,3,2.5-3.0,0,Null
amerikan kulturu ve edebiyati,3,2.5-3.0,1,Null
elektronik muhendisligi,4,0.0-2.5,0,Null
isletme,3,2.5-3.0,0,Null
isletme,Null,Null,0,Null
uluslararasi iliskiler,mezun,0.0-2.5,1,Null
isletme,4,2.5-3.0,1,Null
sosyal hizmet,2,0.0-2.5,0,Null
makine muhendisligi,3,2.5-3.0,0,Null
insaat muhendisligi %100 ingilizce,3,2.5-3.0,0,Null
elektrik ve enerji,2,2.5-3.0,0,Null
bilgisayar muhendisligi,4,3.0-3.5,0,Null
uluslararasi iliskiler,3,3.0-3.5,0,Null
otomotiv muhendisligi,3,2.5-3.0,0,Null
bitki koruma,2,3.0-3.5,0,Null
elektronik ve haberlesme muhendisligi,3,2.5-3.0,0,Null
kimya muhendisligi,3,3.0-3.5,0,Null
bankacilik ve sigortacilik,2,2.5-3.0,0,Null
turizm isletmeciligi ve otelcilik,hazirlik,Null,0,Null
makine muhendisligi,2,0.0-2.5,1,Null
kimya,4,3.0-3.5,0,Null
fizik,2,3.0-3.5,0,Null
elektrik muhendisligi,4,0.0-2.5,0,Null
almanca isletme,3,0.0-2.5,0,Null
maliye,3,0.0-2.5,0,Null
gemi insaati ve gemi makinalari muhendisligi,1,2.5-3.0,0,Null
iktisat,2,0.0-2.5,0,Null
isletme ing,2,0.0-2.5,0,Null
hukuk fakultesi,4,0.0-2.5,0,Null
makine muhendisligiingilizce,2,0.0-2.5,0,Null
ingilizce isletme,3,Null,0,Null
isletme,4,3.0-4.0,0,Null
insaat muhendisligi,4,2.5-3.0,0,Null
makine muhendisligi,hazirlik,Null,0,Null
ekonometri,3,0.0-2.5,0,Null
hukuk,4,2.5-3.0,0,Null
biyoloji,4,0.0-2.5,0,Null
elektrik muhendisligi,4,0.0-2.5,0,Null
gazetecilik,2,Null,0,Null
makine muhendisligi,4,0.0-2.5,0,Null
"radyo,tv ve sinema",2,3.0-3.5,0,Null
uluslararasi iliskiler,3,2.5-3.0,0,Null
is sagligi ve guvenligi,1,0.0-2.5,0,Null
makine muhendisligi,2,0.0-2.5,0,Null
sanat tarihi,4,Null,0,Null
elektronik ve haberlesme muhendisligi,2,3.0-4.0,0,Null
elektrik muhendisligi,3,2.5-3.0,0,Null
isletme,2,0.0-2.5,0,Null
isletmeingilizce,3,3.0-3.5,0,Null
iktisat,2,2.5-3.0,0,Null
istatistik bolumu,4,2.5-3.0,0,Null
kamu yonetimi,2,0.0-2.5,0,Null
elektrik elektronik muhendisligi,4,3.0-4.0,0,Null
optik ve akustik muhendisligi,hazirlik,Null,0,Null
metalurji ve malzeme muhendisligi,4,3.0-3.5,0,Null
arkeoloji,3,2.5-3.0,0,Null
ceko,3,0.0-2.5,0,Null
aile ve tuketici bilimleri,mezun,2.5-3.0,1,Null
isletme,2,3.0-4.0,0,Null
psikoloji,4,3.0-3.5,0,Null
moda ve tekstil tasarim,4,2.5-3.0,0,Null
elektronik ve haberlesme muhendisligi,2,3.0-4.0,0,Null
sinif ogretmenligi,2,0.0-2.5,0,Null
hukuk,2,2.5-3.0,0,Null
iktisat ingilizce,hazirlik,Null,0,Null
calisma ekonomisi ve endustri iliskileri,4,0.0-2.5,0,Null
iktisat,3,2.5-3.0,0,Null
kimya,4,0.0-2.5,0,Null
calisma ekonomisi ve endustri iliskileri,2,0.0-2.5,0,Null
elektrik-elektronik muhendisligi,2,3.0-3.5,0,Null
mekatronik muhendisligi,4,0.0-2.5,0,Null
isletme enformatigi,1,Null,0,Null
gaazetecilik,3,2.5-3.0,0,Null
bilgisayar muhendisligi %100 ingilizce,2,3.0-4.0,0,Null
makine muhendisligi,3,2.5-3.0,0,Null
isletme bolumu,3,0.0-2.5,0,Null
mimarlik,3,3.0-3.5,0,Null
matematik,4,0.0-2.5,0,Null
isletme,3,Null,0,Null
elektrik muhendisligi,2,0.0-2.5,0,Null
makine muhendisligi,3,2.5-3.0,0,Null
international business and trade,1,Null,0,Null
cevre muhendisligi,1,0.0-2.5,0,Null
psikoloji,3,0.0-2.5,0,Null
ustun zekalilar ogretmenligi,3,0.0-2.5,0,Null
bilgisayar muhendisligi,4,0.0-2.5,0,Null
bulgarca mutercim tercumanlik,4,Null,0,Null
maliye,1,3.0-3.5,0,Null
matematik muhendisligi %100 ing,4,2.5-3.0,0,Null
ekonometri,2,0.0-2.5,0,Null
