Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Kardes Sayisi
egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,7
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,2
ilkokul,hayir,calismiyor,Null,Null,Null,Null
ilkokul,emekli,diger,ilkokul,evet,diger,1
ilkokul,hayir,calismiyor,universite,evet,ozel sektor,1
ilkokul,hayir,calismiyor,ortaokul,evet,diger,1
egitimi yok,hayir,calismiyor,egitimi yok,emekli,calismiyor,7
egitimi yok,hayir,calismiyor,Null,Null,Null,Null
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,4
ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,5
ilkokul,hayir,calismiyor,ilkokul,evet,diger,10
ilkokul,evet,ozel sektor,ilkokul,evet,ozel sektor,1
ilkokul,hayir,calismiyor,universite,evet,ozel sektor,2
ortaokul,evet,diger,ortaokul,evet,diger,2
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,4
ilkokul,hayir,calismiyor,universite,emekli,calismiyor,2
ilkokul,hayir,calismiyor,ilkokul,evet,diger,1
ilkokul,hayir,calismiyor,lise,evet,kamu,2
egitimi yok,hayir,calismiyor,egitimi yok,hayir,calismiyor,4
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,4
lise,evet,kamu,universite,emekli,calismiyor,0
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,2
ortaokul,hayir,calismiyor,universite,hayir,calismiyor,3
ilkokul,hayir,calismiyor,lise,evet,kamu,3
ilkokul,evet,ozel sektor,lise,evet,kamu,1
ilkokul,hayir,calismiyor,universite,hayir,calismiyor,4
lise,emekli,calismiyor,universite,emekli,calismiyor,1
ilkokul,evet,diger,Null,Null,Null,Null
ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,4
egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,6
universite,emekli,calismiyor,universite,evet,kamu,3
ilkokul,hayir,calismiyor,Null,evet,kamu,3
egitimi yok,hayir,calismiyor,lise,emekli,calismiyor,7
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,5
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,2
ortaokul,hayir,calismiyor,universite,evet,kamu,6
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,3
egitimi yok,hayir,calismiyor,lise,emekli,calismiyor,7
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,6
universite,hayir,calismiyor,universite,evet,kamu,2
lise,hayir,calismiyor,universite,emekli,calismiyor,4
universite,emekli,calismiyor,universite,evet,kamu,1
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1
lise,hayir,calismiyor,lise,hayir,calismiyor,4
ilkokul,emekli,calismiyor,ortaokul,emekli,calismiyor,2
egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,2
universite,emekli,ozel sektor,universite,evet,ozel sektor,1
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,3
ilkokul,evet,diger,egitimi yok,hayir,calismiyor,2
ilkokul,hayir,calismiyor,ilkokul,evet,diger,6
ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,3
universite,hayir,calismiyor,ortaokul,emekli,calismiyor,2
universite,evet,kamu,universite,evet,kamu,2
lise,hayir,calismiyor,lise,emekli,calismiyor,4
universite,evet,kamu,universite,hayir,calismiyor,2
universite,hayir,diger,universite,evet,diger,2
lise,hayir,ozel sektor,Null,Null,Null,Null
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
universite,hayir,calismiyor,ortaokul,evet,ozel sektor,2
universite,emekli,calismiyor,universite,emekli,calismiyor,1
lise,emekli,calismiyor,lise,emekli,calismiyor,1
universite,emekli,calismiyor,lise,hayir,calismiyor,0
lise,hayir,calismiyor,lise,hayir,calismiyor,1
lise,emekli,calismiyor,universite,emekli,calismiyor,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
lise,hayir,calismiyor,ilkokul,hayir,calismiyor,1
ortaokul,hayir,calismiyor,ortaokul,hayir,calismiyor,2
egitimi yok,hayir,calismiyor,lise,emekli,calismiyor,4
ilkokul,hayir,calismiyor,ilkokul,evet,kamu,3
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,4
universite,emekli,calismiyor,universite,emekli,calismiyor,1
lise,hayir,calismiyor,ortaokul,hayir,calismiyor,1
ilkokul,hayir,calismiyor,universite,evet,kamu,3
universite,emekli,calismiyor,lise,emekli,calismiyor,2
ilkokul,hayir,calismiyor,ilkokul,evet,diger,2
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
lise,hayir,calismiyor,lise,evet,diger,6
ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,2
ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,5
lise,hayir,calismiyor,universite,emekli,calismiyor,2
universite,hayir,calismiyor,lise,evet,diger,1
universite,emekli,calismiyor,universite,emekli,calismiyor,2
universite,evet,kamu,universite,evet,kamu,1
ilkokul,evet,diger,lise,emekli,calismiyor,1
ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,3
ilkokul,hayir,calismiyor,egitimi yok,evet,ozel sektor,10
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,1
ortaokul,hayir,calismiyor,universite,evet,diger,1
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2
lise,hayir,calismiyor,universite,evet,ozel sektor,1
ilkokul,evet,ozel sektor,ilkokul,evet,ozel sektor,2
ilkokul,evet,diger,ilkokul,hayir,calismiyor,1
lise,hayir,ozel sektor,universite,evet,diger,2
ortaokul,emekli,calismiyor,lise,emekli,calismiyor,1
ortaokul,hayir,calismiyor,lise,emekli,calismiyor,4
ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,1
universite,emekli,calismiyor,universite,emekli,calismiyor,2
ilkokul,evet,kamu,ilkokul,hayir,calismiyor,1
lise,hayir,calismiyor,universite,evet,kamu,3
Null,evet,ozel sektor,universite,evet,kamu,0
lise,emekli,calismiyor,universite,evet,ozel sektor,0
ilkokul,hayir,calismiyor,lise,evet,diger,2
Null,evet,kamu,universite,evet,kamu,2
ortaokul,hayir,calismiyor,ortaokul,evet,ozel sektor,4
Null,evet,ozel sektor,Null,evet,kamu,1
lise,emekli,calismiyor,universite,evet,diger,1
lise,hayir,calismiyor,lise,emekli,calismiyor,1
ilkokul,hayir,calismiyor,ilkokul,evet,diger,4
universite,evet,kamu,universite,emekli,calismiyor,2
universite,evet,ozel sektor,Null,evet,kamu,3
universite,emekli,calismiyor,universite,emekli,calismiyor,3
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
universite,evet,kamu,universite,evet,kamu,1
ortaokul,hayir,calismiyor,lise,emekli,calismiyor,2
ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,1
lise,hayir,calismiyor,lise,evet,ozel sektor,1
universite,emekli,calismiyor,universite,emekli,calismiyor,1
universite,evet,ozel sektor,universite,evet,kamu,1
ortaokul,hayir,calismiyor,universite,emekli,calismiyor,1
universite,hayir,calismiyor,universite,evet,ozel sektor,4
ortaokul,hayir,calismiyor,ortaokul,hayir,calismiyor,2
lise,evet,diger,lise,evet,diger,1
lise,emekli,calismiyor,lise,evet,ozel sektor,1
lise,hayir,calismiyor,ortaokul,emekli,calismiyor,1
lise,hayir,calismiyor,lise,evet,kamu,1
ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,4
universite,evet,kamu,Null,evet,kamu,2
universite,emekli,calismiyor,universite,evet,kamu,0
ortaokul,hayir,calismiyor,lise,evet,kamu,3
universite,evet,kamu,lise,evet,diger,2
lise,emekli,calismiyor,universite,emekli,calismiyor,1
universite,evet,kamu,Null,evet,kamu,2
lise,evet,diger,ortaokul,Null,calismiyor,1
ortaokul,hayir,calismiyor,universite,evet,kamu,1
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,2
lise,hayir,calismiyor,universite,evet,kamu,3
egitimi yok,hayir,calismiyor,ortaokul,emekli,calismiyor,3
ortaokul,hayir,calismiyor,lise,hayir,calismiyor,3
lise,hayir,calismiyor,universite,emekli,calismiyor,3
ilkokul,hayir,calismiyor,ilkokul,evet,diger,4
ortaokul,hayir,calismiyor,lise,evet,ozel sektor,2
universite,evet,kamu,universite,hayir,calismiyor,1
ortaokul,hayir,calismiyor,lise,emekli,calismiyor,2
universite,hayir,calismiyor,lise,emekli,calismiyor,4
universite,evet,kamu,universite,evet,kamu,1
lise,hayir,calismiyor,universite,evet,kamu,3
lise,evet,ozel sektor,universite,emekli,calismiyor,1
universite,hayir,calismiyor,universite,emekli,calismiyor,1
Null,evet,diger,universite,evet,diger,1
universite,evet,ozel sektor,universite,emekli,calismiyor,2
egitimi yok,hayir,calismiyor,lise,evet,ozel sektor,2
ilkokul,emekli,calismiyor,ilkokul,Null,calismiyor,1
ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,2
ortaokul,hayir,calismiyor,ilkokul,evet,diger,4
lise,hayir,calismiyor,universite,evet,ozel sektor,2
universite,evet,kamu,universite,evet,kamu,1
ilkokul,hayir,calismiyor,lise,evet,diger,2
lise,emekli,calismiyor,universite,evet,kamu,0
ilkokul,evet,ozel sektor,ilkokul,evet,ozel sektor,1
universite,emekli,calismiyor,universite,emekli,calismiyor,2
universite,evet,kamu,Null,evet,kamu,1
lise,hayir,calismiyor,universite,evet,diger,1
egitimi yok,hayir,calismiyor,universite,emekli,calismiyor,3
lise,hayir,calismiyor,ilkokul,evet,diger,2
ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,2
universite,hayir,calismiyor,Null,evet,kamu,4
ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,4
universite,evet,ozel sektor,universite,evet,ozel sektor,1
egitimi yok,hayir,calismiyor,lise,emekli,calismiyor,4
lise,hayir,calismiyor,universite,evet,ozel sektor,0
ortaokul,hayir,calismiyor,ortaokul,hayir,calismiyor,1
lise,hayir,calismiyor,universite,emekli,calismiyor,2
universite,hayir,calismiyor,lise,evet,ozel sektor,2
lise,hayir,calismiyor,lise,hayir,calismiyor,1
ilkokul,hayir,calismiyor,lise,evet,diger,5
lise,hayir,calismiyor,ortaokul,hayir,calismiyor,1
lise,evet,ozel sektor,ilkokul,evet,kamu,2
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
lise,hayir,calismiyor,universite,evet,kamu,4
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
egitimi yok,hayir,calismiyor,universite,emekli,calismiyor,1
ilkokul,hayir,calismiyor,ortaokul,evet,kamu,2
ilkokul,hayir,calismiyor,universite,emekli,calismiyor,2
ortaokul,evet,diger,ortaokul,hayir,calismiyor,2
ortaokul,hayir,calismiyor,universite,emekli,calismiyor,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
universite,evet,kamu,universite,evet,kamu,1
lise,emekli,ozel sektor,lise,emekli,calismiyor,2
ilkokul,evet,ozel sektor,ortaokul,evet,ozel sektor,2
universite,emekli,calismiyor,Null,evet,ozel sektor,1
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,2
lise,emekli,calismiyor,ortaokul,emekli,calismiyor,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
universite,emekli,calismiyor,universite,emekli,calismiyor,1
ilkokul,hayir,calismiyor,universite,evet,kamu,1
ortaokul,hayir,calismiyor,universite,evet,kamu,2
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,7
ortaokul,hayir,calismiyor,ilkokul,evet,ozel sektor,2
universite,hayir,calismiyor,Null,evet,kamu,1
ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,4
lise,evet,ozel sektor,universite,emekli,calismiyor,2
lise,hayir,calismiyor,lise,hayir,calismiyor,1
ilkokul,emekli,calismiyor,universite,evet,ozel sektor,3
ilkokul,emekli,calismiyor,lise,hayir,calismiyor,3
ilkokul,hayir,calismiyor,lise,evet,kamu,2
ilkokul,hayir,calismiyor,ilkokul,evet,diger,4
universite,evet,kamu,lise,emekli,calismiyor,0
ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,3
universite,evet,kamu,universite,evet,ozel sektor,2
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2
ilkokul,hayir,calismiyor,universite,evet,kamu,1
ortaokul,hayir,calismiyor,lise,evet,ozel sektor,3
lise,hayir,calismiyor,lise,hayir,calismiyor,2
lise,hayir,calismiyor,lise,evet,diger,1
universite,emekli,calismiyor,universite,evet,ozel sektor,2
lise,hayir,calismiyor,universite,emekli,calismiyor,2
ortaokul,hayir,calismiyor,lise,evet,ozel sektor,3
egitimi yok,evet,diger,lise,evet,ozel sektor,4
ortaokul,hayir,calismiyor,universite,emekli,calismiyor,2
ortaokul,hayir,calismiyor,universite,evet,ozel sektor,2
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,4
lise,emekli,calismiyor,lise,emekli,calismiyor,1
lise,emekli,calismiyor,lise,hayir,calismiyor,2
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,5
ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,1
lise,hayir,calismiyor,universite,evet,kamu,2
lise,hayir,calismiyor,universite,evet,kamu,1
ilkokul,hayir,calismiyor,universite,evet,kamu,1
universite,evet,ozel sektor,universite,evet,kamu,3
lise,hayir,calismiyor,universite,hayir,calismiyor,1
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,4
ilkokul,hayir,calismiyor,ilkokul,evet,diger,4
universite,emekli,calismiyor,universite,emekli,calismiyor,1
lise,emekli,calismiyor,universite,emekli,calismiyor,0
egitimi yok,emekli,calismiyor,ilkokul,hayir,calismiyor,3
lise,hayir,calismiyor,universite,evet,diger,1
universite,evet,kamu,lise,evet,kamu,0
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,5
lise,hayir,calismiyor,universite,evet,kamu,1
Null,evet,ozel sektor,Null,evet,kamu,1
ortaokul,evet,diger,ilkokul,evet,kamu,2
universite,evet,kamu,Null,emekli,calismiyor,2
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
lise,hayir,calismiyor,lise,hayir,calismiyor,1
ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,1
universite,emekli,calismiyor,universite,emekli,calismiyor,1
universite,evet,kamu,universite,emekli,calismiyor,2
ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,4
universite,hayir,calismiyor,lise,emekli,calismiyor,2
universite,emekli,calismiyor,universite,emekli,calismiyor,1
ilkokul,hayir,calismiyor,lise,evet,kamu,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,10
ortaokul,emekli,calismiyor,ortaokul,evet,ozel sektor,3
ortaokul,hayir,calismiyor,universite,evet,kamu,3
egitimi yok,hayir,calismiyor,egitimi yok,evet,ozel sektor,3
lise,evet,kamu,ilkokul,evet,ozel sektor,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,3
lise,evet,ozel sektor,lise,evet,ozel sektor,2
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,3
lise,hayir,calismiyor,lise,emekli,calismiyor,4
ilkokul,hayir,calismiyor,ilkokul,evet,kamu,1
lise,evet,ozel sektor,universite,hayir,calismiyor,2
ilkokul,hayir,calismiyor,ortaokul,evet,diger,2
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,4
lise,hayir,calismiyor,universite,evet,kamu,1
lise,hayir,calismiyor,universite,evet,ozel sektor,1
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,3
lise,hayir,calismiyor,lise,evet,kamu,2
ilkokul,evet,ozel sektor,ilkokul,evet,ozel sektor,3
Null,evet,kamu,universite,emekli,calismiyor,3
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,4
lise,emekli,calismiyor,lise,emekli,calismiyor,0
lise,hayir,calismiyor,lise,evet,kamu,0
lise,hayir,calismiyor,ilkokul,emekli,calismiyor,3
egitimi yok,evet,ozel sektor,ortaokul,evet,ozel sektor,2
lise,hayir,calismiyor,universite,emekli,calismiyor,1
lise,evet,kamu,ortaokul,evet,ozel sektor,1
ilkokul,emekli,calismiyor,ortaokul,hayir,calismiyor,4
ilkokul,evet,diger,lise,evet,diger,2
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
ortaokul,hayir,calismiyor,ortaokul,evet,diger,1
universite,evet,kamu,Null,evet,kamu,1
ortaokul,hayir,calismiyor,ilkokul,emekli,calismiyor,0
universite,evet,kamu,universite,evet,kamu,1
universite,evet,kamu,universite,evet,kamu,1
ilkokul,hayir,calismiyor,universite,evet,kamu,2
Null,evet,kamu,Null,evet,kamu,1
universite,hayir,calismiyor,lise,emekli,calismiyor,1
ilkokul,hayir,calismiyor,lise,hayir,calismiyor,3
lise,hayir,calismiyor,universite,evet,kamu,2
egitimi yok,hayir,calismiyor,lise,evet,diger,4
lise,hayir,calismiyor,lise,evet,ozel sektor,0
lise,evet,ozel sektor,lise,hayir,calismiyor,1
ilkokul,hayir,calismiyor,universite,evet,kamu,1
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2
universite,evet,ozel sektor,ortaokul,hayir,calismiyor,2
ortaokul,evet,ozel sektor,ortaokul,evet,kamu,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
universite,evet,kamu,universite,emekli,calismiyor,2
universite,hayir,calismiyor,Null,evet,kamu,3
egitimi yok,hayir,calismiyor,ortaokul,evet,ozel sektor,10
universite,evet,kamu,universite,evet,kamu,1
lise,evet,ozel sektor,lise,evet,kamu,0
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,7
Null,emekli,calismiyor,universite,emekli,calismiyor,1
universite,evet,kamu,lise,hayir,calismiyor,1
universite,emekli,calismiyor,universite,evet,diger,1
universite,evet,kamu,universite,evet,kamu,1
ilkokul,hayir,calismiyor,ilkokul,evet,diger,3
lise,hayir,calismiyor,universite,evet,kamu,2
universite,hayir,calismiyor,universite,evet,ozel sektor,2
lise,emekli,calismiyor,lise,emekli,calismiyor,2
ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,4
lise,emekli,calismiyor,lise,hayir,calismiyor,1
universite,evet,ozel sektor,universite,evet,kamu,1
ilkokul,emekli,calismiyor,lise,emekli,calismiyor,1
universite,emekli,calismiyor,universite,emekli,calismiyor,1
lise,hayir,calismiyor,lise,emekli,calismiyor,2
universite,evet,diger,lise,Null,calismiyor,1
ilkokul,evet,diger,lise,emekli,calismiyor,0
lise,hayir,calismiyor,universite,emekli,kamu,3
ortaokul,hayir,calismiyor,ortaokul,hayir,calismiyor,1
lise,emekli,calismiyor,ilkokul,hayir,calismiyor,1
egitimi yok,hayir,calismiyor,ilkokul,evet,diger,2
lise,hayir,calismiyor,universite,emekli,calismiyor,1
ortaokul,emekli,calismiyor,lise,emekli,calismiyor,1
universite,evet,ozel sektor,ortaokul,emekli,calismiyor,1
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,2
universite,evet,kamu,universite,evet,kamu,2
universite,evet,ozel sektor,lise,hayir,calismiyor,1
universite,evet,ozel sektor,Null,evet,kamu,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,2
ilkokul,hayir,calismiyor,ilkokul,evet,diger,2
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
ilkokul,hayir,calismiyor,lise,evet,kamu,4
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,3
egitimi yok,hayir,calismiyor,egitimi yok,hayir,calismiyor,3
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,2
ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,1
egitimi yok,hayir,calismiyor,egitimi yok,hayir,calismiyor,10
ilkokul,hayir,calismiyor,universite,evet,kamu,3
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,4
egitimi yok,hayir,calismiyor,ortaokul,evet,diger,4
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1
lise,hayir,calismiyor,universite,evet,diger,1
ilkokul,hayir,calismiyor,universite,evet,ozel sektor,4
ilkokul,hayir,calismiyor,ortaokul,hayir,calismiyor,2
egitimi yok,hayir,calismiyor,ilkokul,evet,diger,6
ortaokul,evet,diger,lise,emekli,calismiyor,2
universite,evet,kamu,universite,evet,diger,1
universite,emekli,calismiyor,universite,evet,kamu,1
egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,10
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,2
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
egitimi yok,hayir,calismiyor,egitimi yok,hayir,calismiyor,0
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
ortaokul,hayir,calismiyor,lise,evet,kamu,2
ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,3
ortaokul,hayir,calismiyor,universite,evet,kamu,1
universite,evet,kamu,universite,emekli,calismiyor,2
ilkokul,hayir,calismiyor,ilkokul,evet,diger,6
ilkokul,hayir,calismiyor,universite,evet,kamu,1
universite,evet,diger,universite,hayir,calismiyor,1
universite,evet,kamu,universite,evet,kamu,2
ilkokul,hayir,calismiyor,ortaokul,evet,diger,1
ilkokul,evet,diger,lise,evet,diger,1
ilkokul,emekli,calismiyor,ilkokul,hayir,calismiyor,4
lise,evet,ozel sektor,universite,emekli,calismiyor,2
ortaokul,evet,ozel sektor,ilkokul,evet,ozel sektor,1
universite,evet,kamu,universite,evet,kamu,2
lise,hayir,calismiyor,universite,evet,kamu,1
universite,evet,kamu,universite,emekli,calismiyor,1
ilkokul,hayir,calismiyor,ortaokul,hayir,calismiyor,7
ilkokul,hayir,calismiyor,universite,hayir,calismiyor,2
ortaokul,hayir,calismiyor,ilkokul,hayir,calismiyor,5
ortaokul,hayir,calismiyor,lise,evet,kamu,1
universite,hayir,calismiyor,universite,evet,ozel sektor,4
lise,hayir,calismiyor,lise,hayir,calismiyor,1
ilkokul,hayir,calismiyor,universite,evet,kamu,5
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,5
lise,hayir,calismiyor,universite,evet,kamu,1
universite,emekli,calismiyor,egitimi yok,Null,calismiyor,0
ilkokul,hayir,calismiyor,universite,evet,kamu,1
egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,10
lise,hayir,calismiyor,universite,evet,kamu,1
ortaokul,hayir,calismiyor,ortaokul,evet,ozel sektor,2
universite,evet,kamu,universite,evet,kamu,1
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
universite,evet,kamu,universite,evet,ozel sektor,1
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,4
universite,evet,kamu,universite,evet,ozel sektor,2
universite,emekli,calismiyor,universite,evet,kamu,1
ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,2
ilkokul,hayir,calismiyor,egitimi yok,hayir,calismiyor,7
lise,hayir,calismiyor,lise,emekli,calismiyor,1
ilkokul,hayir,calismiyor,ilkokul,evet,diger,4
egitimi yok,hayir,calismiyor,lise,evet,kamu,5
lise,hayir,calismiyor,universite,emekli,calismiyor,3
universite,evet,kamu,lise,evet,kamu,2
lise,hayir,calismiyor,lise,evet,ozel sektor,2
universite,evet,ozel sektor,universite,emekli,calismiyor,2
ilkokul,evet,ozel sektor,ortaokul,hayir,calismiyor,2
universite,evet,kamu,Null,evet,kamu,3
egitimi yok,hayir,calismiyor,lise,hayir,calismiyor,6
universite,emekli,calismiyor,universite,emekli,calismiyor,1
universite,emekli,calismiyor,universite,emekli,calismiyor,2
ilkokul,evet,ozel sektor,ilkokul,emekli,calismiyor,7
lise,hayir,calismiyor,universite,evet,ozel sektor,1
lise,hayir,calismiyor,universite,emekli,calismiyor,2
egitimi yok,hayir,calismiyor,ilkokul,evet,ozel sektor,1
lise,evet,diger,lise,emekli,calismiyor,1
ortaokul,emekli,calismiyor,ortaokul,emekli,calismiyor,1
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,4
universite,emekli,calismiyor,universite,evet,ozel sektor,2
ortaokul,hayir,calismiyor,ilkokul,emekli,calismiyor,0
universite,evet,kamu,egitimi yok,Null,calismiyor,0
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,5
ilkokul,hayir,ozel sektor,ilkokul,evet,ozel sektor,1
ilkokul,evet,ozel sektor,ortaokul,Null,calismiyor,1
lise,hayir,calismiyor,ilkokul,evet,diger,3
ilkokul,hayir,calismiyor,ilkokul,evet,diger,3
universite,evet,kamu,ilkokul,hayir,calismiyor,1
ilkokul,evet,ozel sektor,lise,evet,ozel sektor,2
ilkokul,emekli,calismiyor,ilkokul,emekli,calismiyor,2
lise,hayir,calismiyor,lise,emekli,calismiyor,1
lise,hayir,calismiyor,universite,evet,kamu,3
lise,hayir,calismiyor,ilkokul,emekli,calismiyor,1
universite,evet,ozel sektor,lise,evet,ozel sektor,1
ilkokul,evet,ozel sektor,ilkokul,evet,ozel sektor,1
lise,hayir,calismiyor,universite,emekli,calismiyor,5
egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,4
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,5
ilkokul,hayir,calismiyor,ilkokul,evet,diger,3
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,9
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,3
ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,5
ortaokul,hayir,calismiyor,lise,emekli,calismiyor,4
lise,hayir,calismiyor,lise,emekli,calismiyor,1
ilkokul,hayir,calismiyor,lise,evet,diger,3
ilkokul,hayir,calismiyor,ilkokul,evet,diger,2
ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,7
universite,hayir,calismiyor,universite,evet,kamu,4
ilkokul,hayir,calismiyor,lise,evet,ozel sektor,3
lise,evet,ozel sektor,lise,evet,ozel sektor,1
lise,hayir,calismiyor,lise,evet,diger,2
ilkokul,evet,ozel sektor,ortaokul,hayir,calismiyor,2
ortaokul,hayir,calismiyor,lise,evet,ozel sektor,5
ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,5
egitimi yok,hayir,calismiyor,egitimi yok,emekli,calismiyor,0
lise,hayir,calismiyor,universite,emekli,calismiyor,1
ilkokul,hayir,calismiyor,ortaokul,evet,diger,4
ilkokul,hayir,calismiyor,universite,emekli,calismiyor,3
universite,emekli,calismiyor,lise,hayir,calismiyor,0
ortaokul,hayir,calismiyor,lise,evet,diger,3
ilkokul,hayir,calismiyor,ilkokul,evet,diger,2
ortaokul,hayir,calismiyor,ortaokul,evet,diger,1
lise,evet,diger,lise,evet,ozel sektor,0
ortaokul,emekli,calismiyor,universite,evet,kamu,3
lise,emekli,calismiyor,universite,emekli,calismiyor,2
egitimi yok,hayir,calismiyor,lise,emekli,calismiyor,10
ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,4
ilkokul,evet,ozel sektor,lise,evet,kamu,2
ortaokul,hayir,calismiyor,ortaokul,evet,ozel sektor,1
ilkokul,emekli,calismiyor,universite,evet,ozel sektor,1
lise,evet,kamu,universite,evet,kamu,2
