Cinsiyet,Dogum Tarihi,Dogum Yeri,Ikametgah Sehri
erkek,1993/01/07,ankara,corum
erkek,1994/08/22,tekirdag,bursa
kadin,1996/10/11,bitlis,bitlis
kadin,1994/01/05,trabzon,trabzon
erkek,1992/01/01,antalya,isparta
kadin,1995/06/05,sanliurfa,sanliurfa
kadin,1995/04/18,mardin,ankara
erkek,1990/01/05,diyarbakir,diyarbakir
erkek,1996/01/05,diyarbakir,ankara
kadin,1995/08/25,kirsehir,kirsehir
kadin,1994/05/29,kirsehir,kirsehir
kadin,1995/08/20,mardin,mardin
erkek,1992/08/21,kocaeli,kocaeli
kadin,1996/02/16,mersin,mersin
erkek,1991/06/26,agri,istanbul
kadin,1995/01/06,mersin,mersin
kadin,1993/04/11,duzce,eskisehir
kadin,1995/11/19,hatay,aydin
erkek,1992/10/15,bingol,adana
kadin,1994/02/18,Null,Null
kadin,1994/02/08,adana,denizli
kadin,1995/07/18,siirt,bolu
kadin,1996/05/21,mersin,mersin
kadin,1994/08/11,karabuk,istanbul
erkek,1993/06/03,gumushane,erzurum
kadin,1992/07/26,ankara,ankara
kadin,1994/01/31,balikesir,izmir
erkek,1996/02/17,ankara,ankara
kadin,1995/06/11,adana,hatay
kadin,1996/08/05,Null,Null
kadin,1996/10/04,ankara,ankara
kadin,1992/05/16,duzce,burdur
kadin,1996/12/14,istanbul,istanbul
kadin,1994/04/17,mersin,istanbul
kadin,1996/09/12,yozgat,cankiri
kadin,1996/12/17,istanbul,istanbul
erkek,1993/06/19,kocaeli,kocaeli
erkek,1991/09/05,gaziantep,gaziantep
erkek,1993/05/31,antalya,istanbul
erkek,1992/04/26,bolu,bolu
kadin,1995/07/13,istanbul,istanbul
kadin,1993/08/31,istanbul,istanbul
kadin,Null,ankara,ankara
erkek,1994/06/02,ankara,aydin
kadin,1995/07/29,hatay,hatay
kadin,1996/11/12,gaziantep,gaziantep
kadin,1994/02/09,istanbul,istanbul
kadin,1994/01/12,bitlis,bitlis
erkek,1996/11/11,mus,istanbul
erkek,1995/01/02,kirsehir,kayseri
erkek,1995/05/05,kirsehir,kirsehir
kadin,1994/06/18,kayseri,istanbul
erkek,1996/08/24,istanbul,istanbul
kadin,1995/12/22,istanbul,istanbul
erkek,1993/04/14,kirsehir,kocaeli
erkek,1996/10/21,adana,adana
erkek,1996/08/04,gaziantep,izmir
kadin,1996/10/17,izmir,sanliurfa
erkek,1995/04/21,kirsehir,istanbul
erkek,1996/03/04,trabzon,istanbul
kadin,1996/04/20,hatay,hatay
erkek,1996/01/29,sakarya,istanbul
kadin,1995/01/24,bartin,bartin
erkek,1995/08/22,elazig,istanbul
erkek,1993/09/21,hakkari,antalya
erkek,1994/03/18,bursa,istanbul
erkek,1994/01/25,istanbul,istanbul
erkek,1996/02/14,hakkari,van
kadin,1996/02/13,istanbul,istanbul
erkek,1996/08/17,ordu,ankara
kadin,1993/06/05,malatya,kayseri
erkek,1995/09/05,adana,kayseri
erkek,1995/09/01,istanbul,istanbul
erkek,1991/07/28,samsun,samsun
erkek,1995/08/21,bursa,istanbul
kadin,1994/02/22,trabzon,trabzon
kadin,1994/02/15,izmir,izmir
kadin,1996/05/05,kars,osmaniye
erkek,1995/10/02,mersin,aydin
erkek,1997/04/30,istanbul,istanbul
erkek,1995/01/03,Null,rize
erkek,1992/09/10,ankara,ankara
kadin,1994/05/15,mersin,istanbul
kadin,1994/09/01,istanbul,istanbul
kadin,1996/09/05,mugla,istanbul
erkek,1996/09/16,kilis,gaziantep
kadin,1996/05/22,rize,ankara
kadin,1996/03/17,malatya,malatya
kadin,1996/08/07,bursa,kayseri
erkek,1997/01/14,istanbul,istanbul
erkek,1997/03/04,kars,istanbul
kadin,1995/09/22,bursa,ordu
erkek,1997/03/26,hatay,hatay
kadin,1996/05/29,istanbul,istanbul
kadin,1993/01/06,batman,batman
kadin,1996/11/11,adiyaman,malatya
kadin,1995/04/17,izmir,istanbul
erkek,1996/04/26,amasya,amasya
kadin,1990/01/25,ankara,ankara
erkek,1995/07/16,ankara,mersin
kadin,1994/09/15,giresun,manisa
erkek,1995/02/12,antalya,antalya
erkek,1995/07/12,edirne,sakarya
erkek,1992/06/24,ankara,gaziantep
erkek,1995/04/21,tekirdag,kocaeli
kadin,1992/08/14,adana,istanbul
erkek,1992/01/13,adiyaman,hatay
erkek,1994/10/22,denizli,bursa
kadin,1996/01/20,kirsehir,bolu
erkek,1995/10/08,gaziantep,gaziantep
erkek,1991/09/23,hatay,istanbul
erkek,1994/02/06,izmir,isparta
erkek,1993/09/05,osmaniye,sanliurfa
erkek,1993/10/15,antalya,antalya
kadin,1995/10/16,hatay,hatay
erkek,1995/09/27,istanbul,istanbul
erkek,1991/06/11,bursa,bursa
erkek,1992/07/02,ankara,ankara
erkek,1992/01/11,van,istanbul
kadin,1994/07/05,izmir,usak
kadin,1992/10/01,ankara,nigde
kadin,1995/06/02,diyarbakir,diyarbakir
kadin,1990/03/05,denizli,izmir
erkek,1993/06/05,istanbul,ankara
kadin,1995/07/09,bursa,bursa
kadin,1996/03/01,ordu,ordu
kadin,1996/10/14,istanbul,istanbul
kadin,1995/02/01,adiyaman,kars
kadin,1996/09/15,istanbul,istanbul
kadin,1996/03/03,hatay,hatay
kadin,1996/05/13,istanbul,istanbul
kadin,1994/07/05,kocaeli,kocaeli
kadin,1993/02/18,karabuk,karabuk
erkek,1992/06/02,izmir,usak
erkek,1994/03/21,corum,kayseri
kadin,1993/05/05,sirnak,siirt
kadin,1995/09/16,samsun,ankara
erkek,1994/04/26,balikesir,balikesir
kadin,1996/02/16,tokat,istanbul
erkek,1997/01/01,erzurum,erzurum
erkek,1994/09/06,izmir,izmir
kadin,1993/05/20,karaman,aydin
kadin,1995/08/11,ordu,ordu
kadin,1995/10/14,konya,konya
erkek,1994/03/06,ankara,corum
kadin,1995/09/28,istanbul,istanbul
kadin,1996/06/21,istanbul,gumushane
kadin,1994/04/13,kilis,konya
kadin,1994/03/07,kars,tekirdag
kadin,1996/08/05,antalya,antalya
kadin,1996/02/05,istanbul,istanbul
erkek,1995/04/29,mus,mersin
kadin,1996/06/06,diyarbakir,adana
erkek,1996/04/03,bolu,ankara
erkek,1995/08/06,sivas,sivas
kadin,1995/04/17,konya,konya
kadin,1995/07/15,trabzon,trabzon
erkek,1992/08/20,osmaniye,nigde
kadin,1996/01/21,nevsehir,nevsehir
kadin,1995/09/10,istanbul,karabuk
erkek,1996/01/20,rize,artvin
kadin,1994/01/24,istanbul,istanbul
erkek,1996/10/13,kars,istanbul
kadin,1991/08/28,samsun,isparta
kadin,1994/04/09,istanbul,istanbul
erkek,1995/09/15,istanbul,istanbul
erkek,1994/01/17,bursa,bursa
erkek,1994/09/01,van,erzincan
kadin,1994/05/23,edirne,edirne
kadin,1994/08/15,istanbul,istanbul
kadin,1995/10/16,kocaeli,samsun
kadin,1993/05/18,ankara,ankara
kadin,1994/01/11,mersin,mersin
erkek,1992/07/20,bingol,bingol
erkek,1993/10/25,tekirdag,ankara
erkek,1994/02/01,kutahya,kocaeli
erkek,1997/07/22,Null,izmir
kadin,1995/03/11,bursa,bursa
kadin,1994/06/11,ankara,trabzon
kadin,1993/03/16,istanbul,istanbul
kadin,1996/12/25,diyarbakir,kars
erkek,1993/10/18,istanbul,istanbul
erkek,1992/06/29,izmir,trabzon
erkek,1995/07/17,ankara,konya
erkek,1992/08/05,canakkale,canakkale
erkek,1992/10/20,sivas,antalya
kadin,1996/09/11,balikesir,balikesir
kadin,1994/02/17,izmir,izmir
erkek,1990/04/05,bursa,bursa
erkek,1992/04/23,istanbul,bursa
erkek,1992/09/21,istanbul,isparta
erkek,1994/11/27,kocaeli,kocaeli
kadin,1993/10/12,istanbul,trabzon
erkek,1993/03/20,mersin,kayseri
erkek,1995/10/09,ankara,bursa
kadin,1994/06/01,balikesir,bolu
kadin,1993/01/04,zonguldak,zonguldak
erkek,1995/04/20,bingol,bingol
erkek,1995/01/10,agri,denizli
erkek,1994/05/24,istanbul,kocaeli
kadin,1995/07/02,istanbul,istanbul
kadin,1994/05/16,hatay,bartin
erkek,1995/09/05,kutahya,isparta
erkek,1993/08/01,Null,Null
erkek,1995/03/14,malatya,malatya
erkek,1995/08/28,igdir,igdir
kadin,1996/02/08,duzce,duzce
kadin,1993/11/20,istanbul,istanbul
kadin,1993/07/22,elazig,izmir
erkek,1993/02/01,trabzon,bayburt
kadin,1993/08/18,canakkale,bursa
kadin,1995/10/03,antalya,antalya
erkek,1994/08/08,mardin,istanbul
kadin,1994/10/17,balikesir,balikesir
kadin,1993/02/23,kocaeli,bolu
erkek,1992/05/17,Null,kayseri
erkek,1994/03/23,denizli,denizli
kadin,1994/03/03,van,adana
kadin,1994/06/15,istanbul,istanbul
erkek,1994/01/02,giresun,izmir
erkek,1994/07/13,hatay,elazig
erkek,1992/11/14,samsun,trabzon
kadin,1991/07/01,diyarbakir,diyarbakir
kadin,1995/06/14,ankara,ankara
erkek,1995/02/03,ardahan,istanbul
erkek,1994/10/09,trabzon,ankara
kadin,1996/10/29,ordu,bursa
erkek,1992/01/05,malatya,malatya
erkek,1993/02/11,ankara,bursa
erkek,1991/08/30,adana,Null
kadin,1993/06/20,tokat,kocaeli
erkek,1993/09/01,kirklareli,malatya
erkek,1991/06/01,istanbul,istanbul
kadin,1993/02/23,elazig,elazig
kadin,1995/04/17,nevsehir,elazig
kadin,1996/10/02,yozgat,kayseri
erkek,1996/03/15,kayseri,kayseri
kadin,1995/01/12,malatya,malatya
erkek,1990/04/18,adiyaman,adiyaman
kadin,1994/06/14,istanbul,bolu
kadin,1996/06/02,nigde,nigde
erkek,1995/03/02,istanbul,istanbul
erkek,1992/10/05,sakarya,sivas
erkek,1994/09/07,zonguldak,bartin
erkek,1995/03/09,manisa,bursa
erkek,1995/04/19,bursa,bursa
kadin,1995/02/02,elazig,elazig
erkek,1993/07/16,izmir,ankara
erkek,1993/04/09,bartin,yalova
erkek,1991/06/30,batman,batman
erkek,1993/07/17,istanbul,istanbul
erkek,1993/11/16,elazig,elazig
erkek,1992/02/12,erzincan,elazig
erkek,1996/06/18,adana,istanbul
erkek,1993/01/02,batman,izmir
kadin,1991/03/08,Null,gaziantep
kadin,1993/07/01,ankara,sivas
kadin,1995/03/30,antalya,antalya
erkek,1998/02/08,erzurum,istanbul
erkek,1992/07/11,kastamonu,karabuk
kadin,1992/05/12,bolu,bolu
kadin,1993/02/12,sivas,kayseri
erkek,1996/06/30,yozgat,kayseri
kadin,1995/02/03,eskisehir,Null
erkek,1994/08/01,istanbul,adana
erkek,1996/07/05,istanbul,istanbul
kadin,1993/08/21,zonguldak,istanbul
kadin,1994/07/31,kars,ankara
erkek,1990/03/23,tekirdag,isparta
erkek,1993/09/26,ankara,izmir
kadin,1993/09/06,istanbul,antalya
kadin,1995/09/01,istanbul,izmir
erkek,1995/06/11,bursa,istanbul
kadin,1994/03/06,gaziantep,gaziantep
erkek,1992/11/13,eskisehir,isparta
erkek,1995/07/11,Null,denizli
erkek,1993/10/10,malatya,ardahan
kadin,1995/01/02,izmir,usak
erkek,1993/05/24,istanbul,istanbul
kadin,1996/06/10,ankara,ankara
erkek,1994/12/15,zonguldak,zonguldak
kadin,1993/09/22,hatay,aydin
erkek,1994/09/05,isparta,denizli
kadin,1995/02/10,Null,erzurum
erkek,1993/03/15,sakarya,erzurum
erkek,1994/07/15,amasya,eskisehir
kadin,1994/03/15,denizli,denizli
erkek,1997/04/26,istanbul,izmir
erkek,1992/11/28,giresun,giresun
kadin,1995/01/28,bursa,istanbul
erkek,1996/08/15,bursa,isparta
erkek,1995/11/12,Null,Null
erkek,1995/10/05,ordu,ordu
kadin,1993/02/23,van,istanbul
kadin,1994/03/19,ankara,mugla
kadin,1993/05/13,istanbul,izmir
erkek,1993/01/15,istanbul,antalya
erkek,1995/09/07,kocaeli,kocaeli
erkek,1994/07/15,aksaray,ankara
kadin,1995/09/26,kayseri,kutahya
kadin,1994/03/10,diyarbakir,istanbul
kadin,1992/03/25,istanbul,batman
erkek,1995/03/20,malatya,konya
kadin,1994/12/20,Null,konya
erkek,1994/02/20,van,izmir
erkek,1993/01/01,osmaniye,mersin
kadin,1995/10/25,bursa,bursa
erkek,1994/06/11,bolu,istanbul
erkek,1993/02/03,hatay,hatay
erkek,1992/08/15,sanliurfa,sanliurfa
kadin,1993/09/25,mersin,mersin
kadin,1993/11/22,antalya,Null
kadin,1996/12/20,ankara,ankara
kadin,1995/07/06,nevsehir,antalya
erkek,1994/01/11,ankara,ankara
kadin,1994/06/11,aydin,ankara
erkek,1993/04/15,ankara,eskisehir
erkek,1995/08/04,antalya,ankara
erkek,1993/06/22,gaziantep,istanbul
kadin,1995/10/24,Null,Null
erkek,1994/08/27,batman,mardin
erkek,1995/12/29,duzce,duzce
kadin,1996/01/09,kayseri,bursa
erkek,1995/03/05,istanbul,istanbul
kadin,1995/07/27,ankara,ankara
erkek,1994/11/13,istanbul,istanbul
erkek,1993/03/18,kayseri,mugla
kadin,1997/11/11,ardahan,ardahan
erkek,1992/03/06,sanliurfa,gaziantep
erkek,1992/06/20,Null,osmaniye
erkek,1992/02/11,bursa,istanbul
kadin,1994/07/27,eskisehir,eskisehir
erkek,1994/07/05,burdur,kutahya
kadin,1994/03/01,malatya,trabzon
kadin,1995/09/30,kayseri,kayseri
kadin,1996/01/31,gaziantep,gaziantep
erkek,1996/11/22,bursa,ankara
erkek,1993/06/05,bartin,zonguldak
kadin,1994/03/30,istanbul,karabuk
erkek,1994/03/10,batman,mersin
kadin,1996/07/23,antalya,ankara
erkek,1996/01/02,ankara,konya
erkek,1995/04/30,adiyaman,malatya
erkek,1994/02/08,mugla,istanbul
erkek,1994/07/21,istanbul,bitlis
erkek,1993/07/12,denizli,mugla
kadin,1992/01/18,istanbul,istanbul
erkek,1995/01/01,kirsehir,ankara
erkek,1995/05/18,istanbul,istanbul
erkek,1995/02/27,Null,isparta
kadin,1995/11/29,trabzon,ankara
erkek,1994/07/25,ankara,ankara
kadin,1995/07/11,manisa,izmir
erkek,1994/03/21,Null,izmir
erkek,1990/01/01,istanbul,istanbul
kadin,1996/09/18,bursa,Null
kadin,1993/01/30,eskisehir,eskisehir
kadin,1992/07/28,batman,istanbul
erkek,1993/07/26,ankara,ankara
erkek,1994/09/06,izmir,canakkale
erkek,1993/01/18,corum,mersin
kadin,1994/06/02,kayseri,kayseri
erkek,1995/07/28,bursa,bursa
kadin,1996/11/25,aydin,aydin
erkek,1994/09/27,hatay,hatay
erkek,1995/10/01,kayseri,istanbul
kadin,1993/02/20,trabzon,istanbul
erkek,1992/01/25,Null,kilis
kadin,1996/11/16,bursa,bursa
erkek,1994/12/12,hatay,istanbul
kadin,1996/11/20,istanbul,istanbul
kadin,1996/04/17,balikesir,izmir
kadin,1995/10/16,istanbul,trabzon
kadin,1995/01/31,istanbul,istanbul
kadin,1994/05/05,ankara,konya
kadin,1995/09/19,gaziantep,istanbul
kadin,1995/08/03,istanbul,istanbul
erkek,1994/08/04,konya,konya
kadin,1993/05/13,van,istanbul
erkek,1993/03/12,bursa,istanbul
kadin,1992/10/10,erzincan,erzincan
kadin,1994/03/05,ardahan,kastamonu
kadin,1994/02/18,aydin,istanbul
kadin,1990/01/01,batman,hatay
erkek,1993/07/19,Null,Null
kadin,1996/12/11,istanbul,istanbul
kadin,1993/10/10,Null,Null
erkek,1992/09/08,tokat,kocaeli
kadin,1994/10/08,gaziantep,gaziantep
kadin,1996/03/10,istanbul,istanbul
erkek,1996/03/11,kayseri,izmir
erkek,1993/07/13,denizli,denizli
kadin,1995/02/25,ankara,kocaeli
kadin,1993/09/05,malatya,istanbul
erkek,1993/10/18,Null,kutahya
erkek,1995/03/19,adana,aksaray
kadin,1995/11/15,izmir,izmir
kadin,1995/10/01,malatya,malatya
erkek,1992/08/22,mersin,istanbul
kadin,1997/01/01,istanbul,istanbul
kadin,1995/02/20,sinop,sinop
kadin,1992/09/30,istanbul,kocaeli
kadin,1995/03/12,antalya,antalya
erkek,1995/06/07,Null,Null
erkek,1991/03/10,ankara,ankara
erkek,1993/08/13,istanbul,mardin
kadin,1995/05/15,mersin,mersin
kadin,1995/08/20,ankara,ankara
erkek,1997/02/02,isparta,izmir
erkek,1993/09/12,samsun,samsun
erkek,1996/08/18,ankara,ankara
erkek,1996/10/24,adana,antalya
kadin,1995/07/05,hatay,eskisehir
kadin,1993/06/22,aydin,denizli
erkek,1996/10/08,istanbul,istanbul
kadin,1996/01/15,konya,konya
erkek,1995/01/16,izmir,konya
kadin,1994/04/05,isparta,isparta
kadin,1996/08/05,hatay,hatay
erkek,1996/08/16,konya,konya
kadin,1992/02/18,istanbul,balikesir
kadin,1996/01/28,adana,adana
kadin,1995/04/23,zonguldak,antalya
kadin,1995/03/22,manisa,manisa
kadin,1996/02/28,usak,manisa
erkek,1994/07/01,hakkari,mersin
erkek,1994/04/03,ankara,konya
erkek,1995/04/25,aydin,kutahya
kadin,1994/10/01,adana,adana
kadin,1991/08/08,adiyaman,adiyaman
erkek,1993/09/26,nigde,adana
kadin,1994/06/24,izmir,izmir
kadin,1990/08/04,isparta,isparta
erkek,1991/03/14,Null,istanbul
kadin,1995/05/20,adana,adana
erkek,1992/11/16,sanliurfa,izmir
kadin,1990/05/26,istanbul,istanbul
kadin,1992/08/16,adana,isparta
kadin,1995/08/23,gaziantep,adana
erkek,1991/01/02,gaziantep,gaziantep
erkek,1994/07/20,istanbul,istanbul
kadin,1994/07/27,karabuk,samsun
kadin,1995/05/18,trabzon,istanbul
erkek,1993/05/17,hatay,hatay
erkek,1995/07/14,kutahya,kutahya
erkek,1995/12/13,gaziantep,konya
kadin,1990/06/27,bursa,ankara
kadin,1994/01/08,manisa,manisa
kadin,1996/08/15,ordu,ordu
erkek,1992/02/22,giresun,istanbul
kadin,1995/12/25,denizli,bursa
kadin,1993/04/23,istanbul,ankara
kadin,1993/02/07,agri,agri
kadin,1997/04/09,ardahan,ardahan
erkek,1995/03/03,izmir,izmir
kadin,1996/01/01,Null,denizli
kadin,1996/01/31,tekirdag,tekirdag
erkek,1994/01/12,aksaray,aksaray
erkek,1995/04/09,kirikkale,kirikkale
erkek,1996/04/22,samsun,samsun
erkek,1990/10/12,mersin,rize
erkek,1993/01/01,erzurum,erzurum
kadin,1994/06/12,agri,izmir
kadin,1995/07/03,bayburt,istanbul
kadin,1996/01/01,aksaray,denizli
kadin,1992/10/10,kars,istanbul
kadin,1994/07/15,osmaniye,adana
erkek,1996/04/12,balikesir,canakkale
kadin,1995/07/23,kars,istanbul
kadin,1995/09/15,erzincan,erzurum
erkek,1990/09/01,agri,istanbul
kadin,1991/02/24,edirne,edirne
erkek,1992/08/01,mardin,izmir
erkek,1993/01/01,ankara,ankara
kadin,1996/08/03,istanbul,kirklareli
erkek,1993/04/04,diyarbakir,diyarbakir
kadin,1995/06/08,istanbul,istanbul
erkek,1996/02/20,izmir,izmir
erkek,1995/01/29,kocaeli,kocaeli
erkek,1994/04/05,ankara,ankara
erkek,1994/04/05,mugla,bursa
erkek,1995/07/23,van,Null
erkek,1993/09/06,ankara,ankara
kadin,1996/07/27,canakkale,canakkale
erkek,1996/08/16,karaman,kocaeli
kadin,1995/09/15,balikesir,balikesir
erkek,1996/10/28,kars,istanbul
kadin,1996/03/13,balikesir,balikesir
kadin,1995/02/05,antalya,antalya
kadin,1993/11/25,istanbul,istanbul
kadin,1995/05/19,nigde,isparta
erkek,1993/10/25,istanbul,istanbul
erkek,1994/01/24,erzurum,bursa
erkek,1994/10/09,amasya,istanbul
kadin,1996/01/01,tekirdag,tekirdag
kadin,1996/03/25,sakarya,sakarya
erkek,1996/06/22,gaziantep,konya
kadin,1994/11/29,kocaeli,kocaeli
erkek,1990/02/12,istanbul,kocaeli
erkek,1994/09/22,mersin,isparta
kadin,1993/12/20,gaziantep,gaziantep
erkek,1990/11/20,izmir,izmir
kadin,1994/04/15,malatya,sivas
erkek,1994/12/11,kayseri,yozgat
kadin,1994/03/11,sakarya,sakarya
erkek,1994/03/14,sanliurfa,sanliurfa
erkek,1994/01/31,kastamonu,mugla
erkek,1994/01/01,manisa,manisa
erkek,1995/08/29,hatay,istanbul
erkek,1994/04/27,elazig,elazig
erkek,1995/04/15,bayburt,bayburt
erkek,1996/03/05,samsun,samsun
erkek,1996/08/25,konya,konya
erkek,1991/07/01,trabzon,istanbul
erkek,1993/10/29,konya,kayseri
erkek,1991/03/13,izmir,istanbul
erkek,1994/06/05,kirikkale,istanbul
erkek,1994/09/04,van,istanbul
erkek,1995/10/24,istanbul,istanbul
erkek,1993/09/28,bursa,bursa
erkek,1994/08/03,istanbul,istanbul
erkek,1994/09/26,elazig,bursa
erkek,1994/07/08,hatay,hatay
erkek,1994/03/01,denizli,bursa
erkek,1995/08/07,karabuk,karabuk
erkek,1996/08/04,hatay,gaziantep
erkek,1992/07/01,batman,batman
erkek,1993/02/03,sanliurfa,ankara
erkek,1996/01/01,yozgat,yozgat
erkek,1994/01/07,corum,ankara
erkek,1992/06/21,elazig,istanbul
erkek,1993/04/17,Null,kocaeli
erkek,1995/01/28,izmir,istanbul
kadin,1996/04/15,ankara,ankara
erkek,1994/09/11,mersin,istanbul
erkek,1996/01/03,kirsehir,ankara
erkek,1995/09/29,ankara,mersin
erkek,1990/10/05,giresun,isparta
erkek,1995/09/09,erzurum,erzurum
kadin,1995/03/05,bursa,bursa
kadin,1994/10/25,ankara,karabuk
erkek,1991/02/27,usak,ankara
erkek,1995/10/09,balikesir,balikesir
erkek,1995/07/01,bitlis,denizli
kadin,1996/10/10,kutahya,kutahya
erkek,1995/09/02,Null,Null
kadin,1996/07/07,giresun,istanbul
erkek,1996/08/15,trabzon,istanbul
erkek,1995/10/02,antalya,antalya
erkek,1994/09/12,sivas,kirklareli
kadin,1993/02/03,malatya,ankara
erkek,1994/05/18,kocaeli,kocaeli
kadin,1996/01/01,tokat,istanbul
kadin,1995/05/05,mardin,duzce
erkek,1992/04/19,mersin,mersin
kadin,1996/08/05,izmir,izmir
erkek,1995/01/23,elazig,istanbul
kadin,1990/01/01,tokat,ankara
erkek,1994/01/25,manisa,adana
erkek,1995/10/25,kayseri,trabzon
erkek,1996/11/24,gaziantep,eskisehir
erkek,1990/08/07,ankara,sivas
erkek,1995/03/20,sirnak,mardin
kadin,1995/08/12,mardin,mardin
kadin,1995/02/17,malatya,malatya
erkek,1993/03/20,elazig,istanbul
erkek,1996/01/29,hatay,hatay
erkek,1993/03/27,van,istanbul
erkek,1992/06/01,kutahya,duzce
erkek,1994/05/24,istanbul,istanbul
erkek,1995/04/17,agri,ankara
erkek,1993/02/20,erzurum,igdir
erkek,1992/03/15,corum,ankara
kadin,1993/09/15,balikesir,balikesir
kadin,1995/02/14,Null,Null
erkek,1995/12/23,yozgat,adana
kadin,1995/05/28,balikesir,izmir
erkek,1996/02/21,diyarbakir,diyarbakir
erkek,1996/01/03,hakkari,gumushane
erkek,1996/03/14,Null,ankara
erkek,1993/03/03,bursa,bursa
kadin,1994/07/15,Null,eskisehir
erkek,1993/08/20,malatya,malatya
erkek,1994/01/05,konya,istanbul
kadin,1995/08/07,ankara,kirikkale
kadin,1996/08/24,balikesir,kocaeli
kadin,1996/10/10,izmir,izmir
erkek,1994/06/17,mersin,mersin
erkek,1995/11/05,denizli,eskisehir
erkek,1995/05/16,kocaeli,istanbul
erkek,1993/01/11,ankara,ankara
erkek,1993/05/28,eskisehir,eskisehir
kadin,1995/05/25,konya,konya
kadin,1995/07/20,istanbul,kocaeli
erkek,1995/01/01,mardin,bingol
erkek,1995/06/21,aksaray,istanbul
erkek,1993/09/14,manisa,istanbul
kadin,1994/12/16,bursa,izmir
erkek,1990/03/11,sinop,istanbul
erkek,1993/08/24,Null,istanbul
erkek,1995/11/15,konya,ankara
erkek,1996/12/28,sivas,sivas
kadin,1994/08/05,gaziantep,gaziantep
erkek,1995/11/26,adana,istanbul
erkek,1990/10/30,gaziantep,gaziantep
erkek,1996/10/12,kutahya,istanbul
erkek,1996/07/28,bingol,bingol
kadin,1992/10/10,sanliurfa,sanliurfa
erkek,1993/07/11,burdur,izmir
erkek,1992/02/03,corum,ankara
erkek,1995/05/20,istanbul,istanbul
erkek,1993/09/01,mersin,mersin
erkek,1991/10/01,siirt,siirt
kadin,1996/07/30,istanbul,istanbul
erkek,1994/03/26,eskisehir,ankara
kadin,1996/04/09,sivas,sivas
erkek,1995/05/15,diyarbakir,diyarbakir
erkek,1991/10/01,batman,batman
kadin,1992/02/02,mugla,trabzon
kadin,1995/09/12,ankara,ankara
erkek,1993/10/12,mardin,konya
kadin,1996/03/01,mersin,mersin
erkek,1994/02/12,aksaray,kayseri
erkek,1993/09/03,Null,Null
erkek,1994/05/20,kayseri,kayseri
kadin,1994/02/16,kirsehir,karabuk
erkek,1995/12/15,hatay,hatay
erkek,1995/09/04,bingol,mersin
erkek,1993/01/11,Null,bursa
erkek,1992/08/03,adana,tekirdag
erkek,1995/02/07,izmir,kocaeli
kadin,1995/09/10,nevsehir,eskisehir
kadin,1995/04/30,adana,adana
erkek,1996/09/29,bursa,bursa
erkek,1992/10/31,izmir,istanbul
kadin,1995/06/24,zonguldak,zonguldak
kadin,1995/09/25,ankara,ankara
erkek,1996/09/05,trabzon,bursa
erkek,1995/05/18,amasya,yozgat
erkek,1995/11/11,van,istanbul
erkek,1995/10/13,adana,osmaniye
erkek,1992/09/24,van,antalya
erkek,1996/03/01,aksaray,istanbul
erkek,1996/06/21,erzurum,erzurum
erkek,1992/04/09,trabzon,eskisehir
erkek,1994/06/14,kirsehir,ankara
erkek,1992/02/20,mardin,mardin
erkek,1996/06/30,diyarbakir,diyarbakir
erkek,1993/04/11,istanbul,istanbul
erkek,1996/03/20,trabzon,amasya
erkek,1992/01/16,antalya,kocaeli
erkek,1994/01/02,diyarbakir,eskisehir
erkek,1993/02/05,canakkale,istanbul
erkek,1993/01/20,sanliurfa,izmir
erkek,1993/02/01,Null,hatay
erkek,1996/08/22,hatay,adana
erkek,1993/10/15,tekirdag,istanbul
erkek,1996/01/02,canakkale,istanbul
erkek,1996/07/09,balikesir,istanbul
erkek,1993/06/04,van,istanbul
erkek,1993/06/14,bingol,ankara
erkek,1991/11/27,ankara,ankara
erkek,1991/01/23,trabzon,trabzon
erkek,1996/04/03,izmir,izmir
erkek,1993/02/23,elazig,istanbul
erkek,1994/08/07,burdur,burdur
erkek,1992/01/01,sanliurfa,ankara
erkek,1994/07/15,Null,istanbul
erkek,1996/01/11,bitlis,mersin
erkek,1992/10/24,izmir,isparta
erkek,1995/03/01,kirklareli,edirne
erkek,1994/05/19,adiyaman,ankara
erkek,1995/01/01,samsun,bursa
erkek,1988/10/03,bursa,bursa
erkek,1994/06/22,ankara,ankara
erkek,1994/07/03,corum,ankara
erkek,1994/10/20,kayseri,kayseri
erkek,1995/12/30,istanbul,istanbul
erkek,1992/11/27,adana,osmaniye
erkek,1994/02/19,hatay,aydin
erkek,1993/11/15,sakarya,kocaeli
kadin,1994/01/10,bursa,manisa
erkek,1992/03/16,istanbul,istanbul
erkek,1994/06/14,istanbul,tekirdag
kadin,1996/03/21,bursa,antalya
erkek,1998/09/07,istanbul,istanbul
erkek,1994/07/01,mersin,mersin
erkek,1992/04/16,kayseri,istanbul
erkek,1994/10/13,bilecik,bursa
erkek,1995/08/03,istanbul,istanbul
kadin,1995/09/16,istanbul,sakarya
kadin,1995/04/16,gaziantep,karabuk
erkek,1996/02/23,karabuk,istanbul
erkek,1991/08/18,kayseri,kayseri
kadin,1990/09/22,antalya,istanbul
erkek,1996/10/21,istanbul,samsun
kadin,1996/08/17,istanbul,antalya
erkek,1996/08/14,adana,adana
erkek,1992/01/07,tunceli,istanbul
erkek,1996/03/13,hatay,ankara
