Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,Lise Adi,Lise Adi Diger,Lise Sehir,Lise Turu,Lise Bolumu,Lise Bolum Diger,Lise Mezuniyet Notu,Ingilizce Biliyor musunuz?,Ingilizce Seviyeniz?,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
elektrik-elektronik muhendisligi,1,Null,0,marmaris nurettin gencalioglu anadolu lisesi,Null,mugla,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
iktisat,2,3.0-4.0,0,prof.dr. mumtaz turhan sosyal bilimler lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi %50 burslu,4,2.5-3.0,0,izmir ozel turk koleji fen lisesi,Null,izmir,fen lisesi,Null,Null,3.0-3.5,Null,Null,Null
mekatronik muhendisligi,1,0.0-2.5,0,adem tolunay anadolu lisesi,Null,antalya,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
otel yoneticiligi,1,Null,0,kadikoy anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
uluslararasi iliskiler ve ab,2,3.0-3.5,0,sehit erkan ozcan anadolu lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
ingilizce isletme,3,2.5-3.0,0,guner akin lisesi,Null,istanbul,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
uluslararasi iliskiler,3,3.0-3.5,0,cankaya anadolu lisesi,Null,ankara,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
siyaset bilimi ve uluslararas iliskiler,2,3.0-3.5,0,tekirdag ebru nayim fen lisesi,Null,tekirdag,fen lisesi,sayisal,Null,2.5-3.0,Null,Null,Null
uluslararasi iliskiler / ekonomi cift anadal,3,3.0-3.5,0,levent aydin anadolu lisesi,Null,antalya,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
uluslararasi ticaret ve pazarlama %100 ingilizce,4,3.0-4.0,0,bayrakli lisesi,Null,izmir,duz lise,esit agirlik,Null,3.0-4.0,Null,Null,Null
psikoloji,2,3.0-4.0,0,zonguldak ataturk anadolu lisesi,Null,zonguldak,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
hukuk,3,2.5-3.0,0,elif serenay,Null,Null,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
endustri muhendisligi,2,3.0-4.0,0,ankara fen lisesi,Null,ankara,fen lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
turizm ve otel isletmeciligi,1,3.0-3.5,0,canakkale denizcilik anadolu meslek lises,Null,canakkale,meslek lisesi,Null,Null,2.5-3.0,Null,Null,Null
"kimya-biyoloji muhendisligi, endustri muhendisligi cift anadal programi",3,3.0-3.5,0,"bahcesehir koleji, bahcesehir fen ve teknoloji lisesi",Null,istanbul,Özel,Null,Null,3.0-3.5,Null,Null,Null
hukuk,1,Null,0,mustafa eminoglu anadolu lisesi,Null,kayseri,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
makine muhendisligi,4,0.0-2.5,0,ozel nilufer fen lisesi,Null,bursa,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
isletme,2,2.5-3.0,0,cumhuriyet lisesi,Null,eskisehir,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
hukuk,1,Null,0,tokat anadolu lisesi,Null,tokat,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
uluslararasi lojistik ve tasimacilik,4,3.0-4.0,0,behiye dr. nevhiz isil anadolu lisesi,Null,istanbul,anadolu lisesi,fen bilimleri,Null,3.0-3.5,Null,Null,Null
hukuk,2,2.5-3.0,0,cibali,Null,istanbul,duz lise,esit agirlik,Null,2.5-3.0,Null,Null,Null
bilgisayar muhendisligi,3,3.0-4.0,0,kadikoy anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi,2,3.0-4.0,0,biga ataturk anadolu lisesi,Null,canakkale,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
fizik tedavi ve rehabilitasyon,1,Null,0,erdem koleji,Null,gaziantep,Özel,sayisal,Null,3.0-4.0,Null,Null,Null
isletme - yari burs tr siralama: 5000,2,2.5-3.0,0,ozel amerikan robert lisesi,Null,istanbul,Özel,esit agirlik,Null,2.5-3.0,Null,Null,Null
gemi makineleri isletme muhendisligi,1,3.0-4.0,0,bayrampasa rifat canayakin lisesi,Null,istanbul,duz lise,fen bilimleri,Null,3.0-4.0,Null,Null,Null
uluslararasi lojistik ve tasimacilik,1,Null,0,mersin ticaret ve sanayi odasi anadolu lisesi,Null,mersin,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
yazilim muhendisligi,4,3.0-3.5,0,cumhuriyet anadolu lisesi,Null,ankara,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
matematik bilgisayar,mezun,0.0-2.5,1,mevlana anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi,2,2.5-3.0,0,mevlana lisesi,Null,istanbul,duz lise,fen bilimleri,Null,3.0-4.0,Null,Null,Null
hukuk,4,0.0-2.5,0,hasan colak anadolu lisesi,Null,Null,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
ekonomi,2,3.0-4.0,0,fetih anadolu lisesi,Null,istanbul,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
iktisat,1,3.0-4.0,0,ozel samanyolu cemal sasmaz koleji,Null,ankara,Özel,esit agirlik,Null,3.0-4.0,Null,Null,Null
elektrik-elektronik muhendisligi ingilizce,2,2.5-3.0,0,polatli anadolu lisesi,Null,ankara,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
elektrik elektronik muhendisligi ingilizce,2,0.0-2.5,0,mustafa eraslan lisesi,Null,kayseri,duz lise,sayisal,Null,3.0-4.0,Null,Null,Null
uluslararasi ticaret ve finansingilizce,4,Null,0,cumhuriyet anadolu lisesi,Null,duzce,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
hemsirelik,2,0.0-2.5,0,necati dolen lisesi,Null,antalya,duz lise,fen bilimleri,Null,3.0-3.5,Null,Null,Null
okul oncesi ogretmenligi,3,3.0-3.5,0,anamur kiz teknik ve meslek lisesi,Null,mersin,meslek lisesi,cocuk gelisimi,Null,3.0-4.0,Null,Null,Null
uluslararasi girisimcilik,1,0.0-2.5,0,adem tolunay anadolu lisesi,Null,antalya,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
mimarlik,1,Null,0,malatya anadolu lisesi,Null,malatya,anadolu lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
hukukingilizce,3,3.0-3.5,0,imkb anadolu ogretmen lisesi,Null,adana,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
malzeme bilimi ve nanoteknoloji muhendisligi,2,3.0-3.5,0,aksaray fen lisesi,Null,aksaray,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
"biemf - bachelor of international economics, management and finance",3,Null,0,ozel saint joseph fransiz lisesi,Null,istanbul,Özel,sayisal,Null,3.0-4.0,Null,Null,Null
elektrik elektronik muh.,2,3.0-3.5,0,nevzat ayaz anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
ingilizce isletme,2,0.0-2.5,0,haydarpasa anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
tip fakultesi,3,3.0-4.0,0,istek atanur oguz,Null,istanbul,anadolu lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,3,2.5-3.0,0,ozel bilkent erzurum laboratuar lisesi,Null,Null,Özel,sayisal,Null,3.0-3.5,Null,Null,Null
mekatronik muhendisligi,4,3.0-3.5,0,karsiyaka,Null,izmir,anadolu lisesi,fen bilimleri,Null,3.0-3.5,Null,Null,Null
siyaset bilimi ve kamu yonetimi,mezun,3.0-4.0,0,hekimhan lisesi,Null,malatya,duz lise,esit agirlik,Null,3.0-4.0,Null,Null,Null
insaat teknolojileri,2,0.0-2.5,0,umraniye endustri meslek lisesi,Null,istanbul,meslek lisesi,Null,Null,3.0-3.5,Null,Null,Null
yonetim bilisim sistemleri,3,2.5-3.0,0,alanya anadolu teknik lisesi,Null,antalya,meslek lisesi,bilisim teknolojileri,Null,3.0-3.5,Null,Null,Null
hukuk,4,3.0-3.5,0,turk telekom mehmet kaplan sosyal bilimler lisesi,Null,ankara,fen lisesi,Null,Null,3.0-4.0,Null,Null,Null
uluslararasi ticaret ve isletmecilik,3,0.0-2.5,0,besiktas sakip sabanci anadolu lisesi,Null,Null,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
ilahiyat,2,3.0-4.0,0,salihli anadolu imam hatip lisesi,Null,manisa,imam hatip lisesi,Null,Null,3.0-4.0,Null,Null,Null
international relations,3,2.5-3.0,0,necip fazil kisakurek lisesi,Null,istanbul,duz lise,esit agirlik,Null,3.0-4.0,Null,Null,Null
ulualararasi lojistik ve tasimacilikingilizce,hazirlik,Null,0,mehmet sam anadolu ticaret meslek lisesi,Null,istanbul,meslek lisesi,bilisim teknolojileri,Null,3.0-3.5,Null,Null,Null
ekonomi ve finans,2,3.0-4.0,0,yuksekova lisesi,Null,hakkari,duz lise,esit agirlik,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,2,3.0-3.5,0,kuvendi i arberit,Null,Null,duz lise,Null,Null,3.0-4.0,Null,Null,Null
insaat muhendisligi,1,Null,0,sanliurfa gap anadolu lisesi,Null,sanliurfa,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
endustri muhendisligi,4,3.0-4.0,0,ozel devran anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
molekuler biyoloji ve genetik,mezun,3.0-4.0,0,nevzat karalp anadolu lisesi,Null,denizli,anadolu lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
political science and international relations,3,3.0-3.5,0,fahreddin kerim gokay,Null,istanbul,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
sosyal bilgiler ogretmenligi,2,2.5-3.0,0,emire gozu lisesi,Null,mardin,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
endustri muhendisligi,3,3.0-3.5,0,pertevniyal anadolu lisesi,Null,istanbul,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
kontrol ve otomasyon muhendisligiingilizce,hazirlik,Null,0,malatya imam hatip lisesi,Null,malatya,imam hatip lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi,4,3.0-4.0,0,kadriye calik anadolu lisesi,Null,kahramanmaras,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
computer technology and information systems,2,2.5-3.0,0,adnan menderes anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
hukuk fakultesi,4,2.5-3.0,0,hurriyet anadolu lisesi,Null,ankara,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
endustri muhendisligi,3,3.0-4.0,0,besiktas anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
dis ticaretingilizce,2,2.5-3.0,0,yuvacik mehmet suha ucar lojistik anadolu meslek lisesi,Null,kocaeli,meslek lisesi,Null,Null,3.0-3.5,Null,Null,Null
endustri muhendisligi ingilizce,3,2.5-3.0,0,milas cumhuriyet anadolu lisesi,Null,mugla,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
elektrik-elektronik muhendisligi,2,2.5-3.0,0,elvankent bilgi anadolu lisesi,Null,ankara,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
genetik ve biyomuhendislik,2,2.5-3.0,0,karamursel anadolu lisesi,Null,kocaeli,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
mimarlik,2,3.0-3.5,0,ankara lisesi anadolu,Null,ankara,anadolu lisesi,fen bilimleri,Null,3.0-3.5,Null,Null,Null
psikoloji,1,Null,0,ankara milli egitim vakfi koleji,Null,ankara,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
psikoloji %100 burslu,4,3.0-3.5,0,turgutlu anadolu lisesi,Null,manisa,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi,4,0.0-2.5,0,ted ankara koleji,Null,ankara,Özel,sayisal,Null,3.0-3.5,Null,Null,Null
televizyon haberciligi ve programciligi,4,3.0-3.5,0,karsiyaka atakent anadolu lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
uluslararasi ticaret ve finansman,4,3.0-4.0,0,konak anadolu lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,4,0.0-2.5,0,kirklareli anadolu lisesi,Null,kirklareli,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
ekonomi,4,3.0-4.0,0,trabzon anadolu lisesi,Null,trabzon,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
uluslararasi lojistik - isletme ing cap,3,2.5-3.0,0,edremit anadolu lisesi,Null,balikesir,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
mimarlik,2,0.0-2.5,0,karatay suleyman demirel milli piyango anadolu lisesi,Null,konya,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
isletme,3,0.0-2.5,0,huseyin burge anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
lojistik yonetimi,3,3.0-3.5,0,nazilli anadolu lisesi,Null,aydin,anadolu lisesi,Null,Null,3.0-3.5,Null,Null,Null
sosyal hizmet,4,0.0-2.5,0,kalaba,Null,ankara,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
uluslararasi ticaret,2,2.5-3.0,0,ted koleji,Null,Null,Özel,esit agirlik,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,4,0.0-2.5,0,odtu gelistirme vakfi ozel lisesi,Null,ankara,Özel,sayisal,Null,3.0-3.5,Null,Null,Null
uluslararasi ticaret ve finansman,4,3.0-4.0,0,izmir kiz lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
uluslararasi iliskiler,4,3.0-4.0,0,narlidere anadolu lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
psikoloji,2,2.5-3.0,0,istanbul ataturk anadolu lisesi,Null,istanbul,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
uluslararasi finans,3,2.5-3.0,0,anadolu erkek lisesi,Null,bursa,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
political science and international relations,2,0.0-2.5,0,sehremini anadolu lisesi,Null,Null,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
insan ve toplum bilimleri,2,0.0-2.5,0,kirimli fazilet olcay anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
mimarlik,1,Null,0,muammer dereli anadolu ogretmen lisesi,Null,kocaeli,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
eczacilik,4,3.0-3.5,0,aydin suleyman demirel anadolu lisesi,Null,aydin,anadolu lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
peyzaj mimarligi,2,3.0-3.5,0,uskudar halide edip adivar lisesi,Null,istanbul,duz lise,fen bilimleri,Null,3.0-3.5,Null,Null,Null
reklamcilik/ sanat ve kultur yonetimi yandal,4,3.0-3.5,0,bursa celebi mehmet lisesi,Null,bursa,duz lise,sozel,Null,3.0-4.0,Null,Null,Null
uluslararasi finans,1,0.0-2.5,0,mehmet celikel anadolu lisesi,Null,zonguldak,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
matematik,3,3.0-3.5,0,diltas anadolu lisesi,Null,konya,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
"enformasyon teknolojileri,endustri muhendisligi",4,3.0-3.5,0,mugla anadolu lisesi,Null,mugla,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
isletme,1,3.0-3.5,0,karsiyaka emlakbank suleyman demirel anadolu lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
mimarlik,4,0.0-2.5,0,sivas fen lisesi,Null,sivas,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
karsilastirmali edebiyat,4,2.5-3.0,0,izmir turk koleji,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
felsefe,3,0.0-2.5,1,umraniye imam hatip lisesi,Null,istanbul,imam hatip lisesi,Null,Null,0.0-2.5,Null,Null,Null
turk dili ve edebiyati,3,0.0-2.5,0,fethiye fatih anadolu,Null,Null,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi,3,2.5-3.0,0,manisa anadolu ogretmen lisesi,Null,manisa,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,4,3.0-3.5,0,sakarya anadolu lisesi,Null,sakarya,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
muhasebe ve finans yonetimi,4,0.0-2.5,1,avcilar suleyman nazif anadolu lisesi,Null,istanbul,duz lise,esit agirlik,Null,2.5-3.0,Null,Null,Null
endustri muhendisligi,4,3.0-4.0,0,istanbul erkek lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
mekatronik muhendisligi,1,0.0-2.5,0,ismail safa ozler almanca anadolu lisesi,Null,adana,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
endustri muhendisligi,3,3.0-4.0,0,konya meram fen lisesi,Null,konya,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
ekonomi,3,3.0-3.5,0,cukurova elektrik anadolu lisesi,Null,kahramanmaras,anadolu lisesi,Null,Null,3.0-3.5,Null,Null,Null
hukuk,2,2.5-3.0,0,esenyurt nakipoglu cumhuriyet anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
sinema tv,4,2.5-3.0,0,ozel esayan lisesi,Null,istanbul,Özel,Null,Null,3.0-3.5,Null,Null,Null
elektronik muhendisligi,4,0.0-2.5,0,denizli anadolu lisesi,Null,denizli,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
isletme,mezun,0.0-2.5,0,samanyolu,Null,ankara,Özel,esit agirlik,Null,3.0-3.5,Null,Null,Null
elektronik ve haberlesme muh.,3,0.0-2.5,0,13 nisan anadolu lisesi,Null,izmir,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
makine muhendisligi,1,Null,0,kirikkale fen lisesi,Null,kirikkale,fen lisesi,Null,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,3,2.5-3.0,0,nuh mehmet kucukcalik anadolu lisesi,Null,kayseri,anadolu lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,4,2.5-3.0,0,bandirma anadolu ogretmen lisesi,Null,Null,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
uluslararasi ticaret ve isletmecilik,2,Null,0,mugla gazi anadolu lisesi,Null,mugla,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
mimarlik ingilizce tam burslu,1,3.0-3.5,0,sehremini anadolu lisesi,Null,istanbul,anadolu lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
muhasebe bilgi sistemleri,2,2.5-3.0,0,alanya hasan colak anadolu lisesi,Null,antalya,anadolu lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
isletme,4,3.0-3.5,0,altinbasak kolej,Null,isparta,Özel,esit agirlik,Null,3.0-4.0,Null,Null,Null
vcd gorsel iletisim tasarim,1,Null,0,mustafa saffet anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
insaat muhendisligi,2,0.0-2.5,0,ataturk anadolu lisesi,Null,antalya,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
iletisim tasarimi,1,Null,0,ibrahim turhan anadolu,Null,istanbul,anadolu lisesi,sozel,Null,3.0-4.0,Null,Null,Null
rehberlik ve psikolojik danismanlik,2,3.0-4.0,0,viransehir anadolu lisesi,Null,sanliurfa,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
uluslararasi iliskiler,2,3.0-3.5,0,umraniye lisesi,Null,istanbul,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
elektrik-elektronik muhendisligi - psikoloji cift anadal,3,3.0-3.5,0,adile mermerci anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
"endustri muhendisligi anadal, bilgisayar muhendisligi cift anadal",4,3.0-4.0,0,ermenek imkb anadolu ogretmen lisesi,Null,karaman,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
endustri ve sistem muhendisligi,hazirlik,3.0-4.0,0,tekirdag anadolu ogretmen lisesi,Null,tekirdag,meslek lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
ingilizce mutercim- tercumanlik,3,3.0-4.0,0,mustafa dogan anadolu lisesi,Null,erzincan,anadolu lisesi,dil,Null,3.0-3.5,Null,Null,Null
isletme,4,2.5-3.0,0,ozel ceceli anadolu lisesi,Null,ankara,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
isletme muhendisligi,hazirlik,Null,0,izmir cengiz aytmatov sosyal bilimler lisesi,Null,izmir,fen lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,3,2.5-3.0,0,kirklareli fen lisesi,Null,kirklareli,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
hukuk,2,2.5-3.0,0,ozel fatih sultan lisesi,Null,Null,Özel,esit agirlik,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,3,3.0-3.5,0,samanyolu koleji,Null,ankara,Özel,sayisal,Null,3.0-4.0,Null,Null,Null
insaat muhendisligi,2,3.0-3.5,0,nevzat saygan-levent saygan anadolu lisesi,Null,antalya,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
yazilim muhendisligi,4,2.5-3.0,0,istek acibadem fen lisesi,Null,istanbul,fen lisesi,Null,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi,yuksek lisans,Null,1,modern educational complex,Null,Null,Özel,sayisal,Null,3.0-4.0,Null,Null,Null
enerji sistemleri muhendisligi,2,2.5-3.0,0,sevket pozcu lisesi,Null,mersin,duz lise,fen bilimleri,Null,2.5-3.0,Null,Null,Null
hukuk,2,3.0-3.5,0,golbasi anadolu lisesi,Null,ankara,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
ekonomi-sosyoloji cift ana dal,3,3.0-3.5,0,robert college,Null,istanbul,Özel,esit agirlik,Null,3.0-3.5,Null,Null,Null
isletme,4,3.0-4.0,0,kirikkale anadolu ogretmen lisesi,Null,kirikkale,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
elektrik-elektronik muhendisligi,1,Null,0,simav anadolu ogretmen lisesi,Null,kutahya,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
gazetecilik,4,2.5-3.0,0,acik ogretim lisesi,Null,izmir,duz lise,sozel,Null,3.0-3.5,Null,Null,Null
televizyon haberciligi ve programciligi,1,Null,0,yusuf kalkavan anadolu lisesi,Null,mersin,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
sosyal hizmet,2,3.0-4.0,0,acik lise,Null,Null,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
insaat muhendisligiingilizce,1,Null,0,batman anadolu lisesi,Null,batman,anadolu lisesi,Null,Null,3.0-3.5,Null,Null,Null
hemsirelik,2,0.0-2.5,0,akdeniz lisesi,Null,mersin,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
isletme,3,3.0-3.5,0,fevzi cakmak anadolu lisesi,Null,kayseri,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
uluslararasi iliskiler,2,3.0-3.5,0,cumhuriyet anadolu lisesi,Null,ankara,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
isletme-girisimcilik,4,3.0-3.5,0,haydarpasa anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
ingilizce isletme,3,0.0-2.5,0,beyoglu anadolu imam hatip lisesi,Null,istanbul,imam hatip lisesi,Null,Null,3.0-3.5,Null,Null,Null
uluslararasi finans,4,3.0-3.5,0,necmi asfuroglu,Null,hatay,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
elektrik-elektronik muhendisligianadal / yazilim muhendisligicift anadal,4,2.5-3.0,0,mersin mehmet adnan ozcelik anadolu lisesi,Null,mersin,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
uluslararasi ticaret,3,3.0-3.5,0,cemal bozkurt anadolu lisesi,Null,kayseri,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
lojistik yonetimi,4,3.0-4.0,0,buca 85.yil anadolu lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
mutercim-tercumanlik,4,2.5-3.0,0,24 kasim anadolu lisesi,Null,osmaniye,anadolu lisesi,dil,Null,3.0-4.0,Null,Null,Null
isletmeingilizce,2,3.0-4.0,0,ozel yakacik doga anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
tip,3,2.5-3.0,0,yamanlar,Null,izmir,Özel,sayisal,Null,3.0-4.0,Null,Null,Null
ingilizce isletme,4,2.5-3.0,0,sema yazar anadolu lisesi,Null,kayseri,anadolu lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,3,2.5-3.0,0,tokat m.p.i.b fen lisesi,Null,tokat,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
uluslararasi iliskiler ingilizce,2,3.0-4.0,0,cumhuriyet lisesi,Null,istanbul,duz lise,esit agirlik,Null,3.0-4.0,Null,Null,Null
ucak muhendisligi,2,3.0-4.0,0,sincan suleyman demirel anadolu lisesi,Null,ankara,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
uluslararasi ticaret ve isletme,3,3.0-4.0,0,alanya anadolu lisesi,Null,antalya,anadolu lisesi,Null,Null,3.0-3.5,Null,Null,Null
isletme,2,3.0-4.0,0,adem tolunay anadolu lisesi,Null,antalya,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
isletme,1,Null,0,20 mayis vakfi turgut ozal anadolu lisesi,Null,malatya,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
siyaset bilimi ve uluslararasi iliskiler,3,3.0-4.0,0,gaziantep bayraktar lisesi,Null,gaziantep,duz lise,Null,Null,3.0-4.0,Null,Null,Null
molekuler biyoloji ve genetik,4,3.0-3.5,0,derince necip fazil anadolu lisesi,Null,kocaeli,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
isletme-ekonomi,1,Null,0,ozel tan anadolu lisesi,Null,bursa,Özel,esit agirlik,Null,3.0-4.0,Null,Null,Null
