Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Uye Oldugunuz Kulubun Ismi,Profesyonel Bir Spor Daliyla Mesgul musunuz?,Spor Dalindaki Rolunuz Nedir?,Aktif olarak bir STK üyesi misiniz?,Hangi STK'nin Uyesisiniz?,Stk Projesine Katildiniz Mi?,Girisimcilikle Ilgili Deneyiminiz Var Mi?,Girisimcilikle Ilgili Deneyiminizi Aciklayabilir misiniz?
1,ieee kulubu ve galatasaray kulubu,1,bireysel,1,otizm farkindalik projesi icin internet ortaminda paylasimlarda bulunma.,1,1,"universitemiz de oryantasyon asistanligi yapmis bulunmaktayim. bir cok seminer ve programlara katilmis bulunmaktayim. kulup te sunuculuk ve aktif olarak calismis bulunmaktayim. tesekkur sertifikam, basari sertifikalarim ve kariyer sertifikalarim bulunmaktadir.simdi ise universitemizin iletisim dau tv de gonullu asistan olarak calismaktayim."
1,etudans,0,yok,1,huzurevi ziyaret,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,"endustri ve verimlilik toplulugu, sosyal dayanisma toplulugu, tiyatro toplulugu",0,yok,0,Null,1,0,Null
1,losev,0,yok,0,Null,1,0,Null
1,apollon solar car,0,yok,0,Null,0,0,Null
1,fittness form klup,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,1,1,dunyaya faydali bir birey olmak icin yeni seyler yapmak istiyorum.sosyal konularda kendime guveniyorum.girisimcilik konusunda bireysel olarak hayatima yon verebilecek kararlar aliyorum.
1,estiem - avrupa endustri muhendisligi toplulugu,0,yok,0,Null,1,0,Null
1,tiyatro klubu,1,bireysel,0,Null,0,1,"herhangi bir firma kuramadim cunku cift anadal ogrencisi oldugum icin bos zamanim cok kalmiyor ancak hayatta yaptigimiz bircok sey ornek olarak verilebilir.benim anlatacagim 2 tane girisimcilik ornegim var.1.cisi lise hayatimda istanbulda ve mekatronik muhendisliginde okumaya karar verdim.ilk sene istedigim bolum tutmadi bu yuzden pes etmeden,1 sene daha ama eskisinden daha fazla calisip,ossde yeterli puani alip,istedigim bolumu istanbuda kazandim.bu deneyim bana pes etmemeyi ogretti.2.ci deneyimim ise staj icin aksaray iline gitmekti.staj yapmak istedigim firma beni aksaray iline cagirdi ve bir saniye dahi dusunmeden gittim.bu deneyimle bircok sey ogrendim."
0,Null,0,yok,0,Null,0,0,Null
0,muzik,1,bireysel,0,Null,0,0,Null
1,"yazilim klubu, muzikal klubu",0,yok,0,Null,1,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,"e-ticaret kulubu, girisimcilik kulubu",0,yok,1,"alt bolumde bir ornegi yer alan sosyal sorumluluk projelerimize ek olarak akademi konseptini devam ettirecegiz eticaretakademi.org, dpakademi.org. bunlara ek olarak, dernegimize gelir getirmesi acisindan yabanci turistlere yerellik hissi verecek ozel tur konseptlerimiz olacak. hepsinin aktif calismasi devam ediyor.",1,1,"internet medyasi uzerine birkac kucuk girisimim oldu, bunun disinda girisimcilere 10,000-100,000tl arasi yatirim yapmis egitimler duzenledim ve onlarca girisimci dostum oldu, onlarin tecrubelerine ortak oldum."
Null,Null,Null,Null,Null,Null,Null,Null,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,1,vakif catisi altindaher turlu sosyal ve maddi yardim,1,0,Null
1,girisimcilik klubu ve eko ve finans klubu,1,bireysel,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,1,0,Null
1,ozgur dusunce kulubu,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,uluslararasi af orgutune maddi manevi destek veriyorum .uyeligimi ekonomiik sikintilarimdan dolayi dondurdum ama hala calismalarini maille aliyorum.,0,0,sosyal aglar uzerinden baslattigim kampanyalarim vardi. bunlar ihtiyac sahipleri icin giyim yiyecek ve kitap seklindeydi.
1,girisimci inovatif liderler takimigilt,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,bilgisayar muhendisligi klubu,0,yok,0,Null,1,0,Null
1,ozgur yazilim ogrenci kulubu,0,yok,0,Null,1,1,3 adet girisimcilik yarismasina katildim henuz basari elde edemedim ama elimden geldigince takim arkadaslarimizla mucadelemize devam ediyoruz.
0,Null,0,yok,0,Null,1,0,Null
1,endustri muhendisligi klubu,0,yok,1,senior leaders development program 2014,1,1,bus102 dersinde girisimcilik projesi yapip business planini yazdim.ayrica eng102 dersinde sosyal girisimcilik projesi hazirladim.
0,Null,0,yok,0,Null,0,0,Null
1,"endustri muh. kulubu ,cevre ve dogayi koruma. kulubu, kutuphanecilîk kulubu, okulun organizasyon kulubu gibi.",1,bireysel,0,Null,1,0,Null
0,ieee,1,bireysel,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,1,bireysel,0,Null,0,0,Null
1,"fotografcilik klubu, tema, tegv, habitat icin genclik dernegi",0,yok,1,bircok projede aktif yer aldim.,1,0,Null
1,"greenpeace akdeniz, losev, etu esli danslar toplulugu",0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,1,web alaninda hep fikir sahibi olmusundue ancak projelerimi gerceklestirme imkani kaynagi bulamadim
0,Null,0,yok,0,Null,0,0,Null
1,okan universitesi uluslararasi lojistik toplulugu,0,yok,0,Null,0,1,cok kucuk yaslarda kendi uretimimiz olan zeytin ve zeytin yaglarini e-ticaret ile satisa sundum.
0,ultraslan uni,0,yok,0,Null,1,1,egitim danismanlik sirketinin universite liderligi icin basvurdum.
1,sinema kulubu,0,bireysel,0,Null,1,0,Null
1,lojistik klubu,0,yok,0,Null,1,1,okulca izmirde yapilan universiteler arasi girisimcilik ve yaraticilik yarismasinda 2. olmustuk ve kosgeb sertifikam var.
1,elestrel dusunce,0,yok,0,Null,0,0,Null
1,"gercek hayat ve toplulugu,dans kulubu,sosyal sorumluluk kulupleri",0,yok,0,Null,1,0,Null
1,Null,1,kaptan,1,Null,1,0,Null
1,erasmus student network,0,yok,0,Null,1,0,Null
1,izmir ozel fatih koleji,0,bireysel,0,Null,0,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
0,Null,1,bireysel,0,Null,0,0,Null
1,"siyasal dusunce toplulugu, tiyatro toplulugu",0,yok,0,Null,0,1,esev kurumuna bagli tiyatro kurumu ve minik gamzeler yardim kurulusunun cocuklari sevindirmek eglendirmek yardim eli uzatabilmek konusunda yaptigi is birliginin onculerinden olma serefine eristim. bulundugum okullarda yardim kampanyalarini ve tiyatro basta olmak uzere sosyal etkinlikleri organize etme sorumlulugunu edindim.
0,Null,0,yok,0,Null,0,0,Null
1,fotografcilik spor ve muzik,1,bireysel,0,Null,0,0,Null
1,tema,1,bireysel,0,Null,1,0,Null
1,tugusat,0,yok,1,avrupa birligi destekli genclik projeleri,1,0,Null
1,baboon animasyon kulubu,0,yok,1,cocuklarla etut calismalari,1,0,Null
1,"y-mun, edebiyat toplulugu, isletme klubu, ataturkcu dusunce klubu, lojistik klubu",0,yok,0,Null,1,0,Null
1,inovatif internet toplulugu,1,kaptan,0,Null,1,1,girisimciligi anlamak adina belirttigim gibi girisimcilik zirvessi koordinatorlugu gorevini yuruttum.
1,girisimci inovatif liderler takimi,0,yok,0,Null,0,0,Null
0,kariyer klubu,0,yok,0,Null,0,0,Null
1,afam,0,yok,0,Null,1,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
0,Null,0,yok,0,Null,0,0,bilgisayar
0,Null,0,yok,0,Null,0,1,"tobb etude bulunan garajda bir proje ekibine katildim, 2 aylik bir surecte bu projeyi gelistirdik fakat istedigimiz geri donutu alamadigimiz icin vazgecme karari aldik, suan aktif olarak baska bir proje ekibinde calismaktayim. google playde sirket kurduk ve ilk projemizi yayinladik. isterseniz asagidaki linkten ulasabilirsiniz: https://play.google.com/store/apps/detailsidcom.clixoft.pictap"
1,bilkent bilgi tanitim ofisi,0,yok,0,Null,0,0,Null
1,"turk hava kurumu, istanbul aydin universitesi turkce yasam klubu",1,bireysel,0,Null,1,1,turk patent enstisunde 1 tescillenmis faydali model belgesi2012/13560 surecidevam eden 2 patent basvurusu.
Null,Null,Null,Null,Null,Null,Null,Null,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,dagcilik kulubu,0,yok,0,Null,0,0,Null
1,bilkent iktisadi arastirmalar toplulugu,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,1,"okulun ya da belediyelerin yuruttugu girisimcilik faaliyetlerine , konferans ve sempozyumlara katilmaya calisiyorum."
1,sinema klubleri,0,yok,0,Null,0,1,simdiye kadar bircok girisimim oldu. 2 senedir devam ettirdigim bir projemi yatirimcilar ile bulusturup bu sene yayina sokuyoruz.
0,Null,1,bireysel,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,paintball,0,yok,0,Null,1,0,Null
1,yonetisim ve liderlik,0,yok,0,Null,1,1,kendi mobil uygulamami hayata gecirmek icin calisiyorum.
1,"hacettepe girisim ve yatirim toplulugugiyat, hacettepe endustri ve sistem topluluguhends, hacettepe otomotiv topluluguhot",0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,bilkent brand club 2011-2012 bilkent turk dunyasi arastirmalari toplulugu 2011- bilkent yatirim klubu 2014-,0,yok,1,turk milletine cagri bildirgesi,0,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
0,muzik,0,bireysel,0,Null,1,1,"genc basari egitim vakfi, yaraticilik ve yenilikcilik kabatas erkek lisesi, 2012 genc basari egitim vakfi, sirket programi ticaret fuari marmara forum, 2012, borusan en iyi satis-pazarlama odulu junior achievement international students company festival riga-latvia, 2012"
1,folklor kulubu,1,kaptan,0,Null,1,1,okulumda bulundugum bolumun bolum baskanligini yurutuyorum.
0,Null,0,yok,0,Null,0,1,ben ve arkadaslarim bir giysi urunu uzerine bir satis baslattik fakat o zamanin kosullarindan dolayi pek ilgi cekmedi ve gormediginden dolayi faaliyete son verdik
0,Null,0,yok,0,Null,0,0,Null
0,muzik,1,bireysel,0,Null,0,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,"zirve universitesi bilgisayar muhendisligi, zirve universitesi endustri muhendisligi klubu, zirve universitesi genc isadamlari klubu, zirve universitesi is ve kariyer klubu",1,bireysel,0,Null,1,1,"universite ve lise hayatimda bircok girisimcilik faaliyetinde bulundum arkadasimla birlikte websitesi tasarladik ve halen tasarliyoruz, esnaflara kartvisit bastirdik, bir matbaa ile anlaisip brosur, degi, ilan, karvisit bastirdik.gaziantepde bir sirket icin siparis sistemi, depo yonetimi. uretim yonetimi sistemi, uretim planlama sistemi yazilimi gelistrimeye ugrasiyorum halen bu isle ugrasiyorum.ayrica memleketim ermenek/karaman da mesu olan yoresel urunleri ceviz,pekmez,kiraz... konya ve gaziantepde pazarladim ve ufak bir kar elde ettim.ayrica izmirde bulunan bir temizlik maddesi fabrikasi icin kucuk bir komisyonla bu temizlik maddesni gaziantepde pazarladim. aklimda bircok kucklu buyukluis fikri var ama bu isler icin maddi durumum yok ve bircogunu ertelemek zorunda kaldim."
1,yeditepe universitesi muzik klubu-yeditepe universitesi dans klubu,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,"medya ve reklamcilik kulubu, sehir volunteers society",0,yok,0,Null,1,0,girisimcilik dersinde konusan kitaplar uzerine bir proje hazirlayip is
1,girsimcilik ve projeler kulubu,0,yok,0,Null,1,1,tubitak liseler arasi girisimcilik yarismasinda derece aldim kalder yasamda kalite yarismasinda fikir kategorisinde birinci oldum girne amerikan universitesi yaratici fikirler yarismasinda ikincilik odulu aldim.
1,fotografcilik kulubu,0,yok,0,Null,0,0,Null
1,yeni ufuklar kulubu,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,1,universite egitimi suresince girisimcilik hakkinda aldigim dersler ve katildigim seminerler bulunmaktadir.
1,uluslararasi antalya universitesi insaat muhendisligi toplulugu,0,yok,0,Null,0,1,bir blog projemiz var bunu hayata gecirmek icin ugrasiyoruz
1,yazilim muhendisleri kulubu,0,yok,0,Null,1,1,e-tohum basta olmak uzere cesitli girisimcilik etkinliklerine katildim.
1,odtu bilgisayar toplulugu,0,yok,0,Null,0,1,startup-weekend-baku turnivasinda 3 kisilik takimla 2. olduk. hussein khanji-den entrepreneurshiple ilgili dersler aldim bu turnuva icinde. e-tohumun girisimcilik egitimlerine katildim.
1,istanbul bilgi universitesi teknoloji kulubu,0,yok,1,"sosyal sorumluluk, motivasyon projelerinde calistim, kisisel gelisim etkinlikleri gerceklestirdik. su an kulubumuzun sekreterlik gorevini yurutmekteyim.",1,1,2013 haziran ayinda sinema kulubu ile okulumuzda sinema vesaire adinda bir sinema dergisi yarattik. dergi kurulu baskanligini ve editorlugunu yurutmekteyim.
0,Null,0,yok,0,Null,0,0,Null
1,"ekonomi kulubu, borsa kulubu, radyo kulubu, rugby takimi",1,bireysel,0,Null,1,0,Null
1,yonetisim ve liderlik toplulugu / baskan,0,bireysel,0,Null,1,0,Null
1,teknoloji ve robotik kulubu,0,yok,0,Null,1,1,"2013 startup turkeye katildim, dereceye giremesem de network acisindan cok guzel bir deneyimdi benim icin."
1,"bilim ve felsefe kulubu, iletisim kulubu",0,yok,0,Null,0,1,"gazimagusada bir arkadasim ile birlikte gevrek organizasyon adinda bir organizasyon isine giristik. biscolata erkegi carlosu adaya ilk kez getirdik, daha sonra ise cesitli konser ve ogrenci partileri gerceklestirdik."
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
0,Null,0,yok,0,Null,0,0,Null
1,ygayoung guru academy,1,kaptan,1,"oku dusun paylas, kot liderler projesi",1,1,"cinden kilit sistemi ithal ederek universitelerin spor salonlarinda kullanilmak uzere satisini gerceklestirdim. calistigim firmalardan bazilari bilkent universitesi, dogus universitesi"
0,girisimcilik klubu,0,yok,0,Null,0,0,Null
1,lojistik kulubu,0,yok,0,Null,1,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,business management,0,yok,1,fikir uretme kampi start up boot camp istanbul calismalari,1,1,ben yurt ici ve yurt disinda finans alaninda ciddi inovasyonlara ihtiyac oldugunu dusunen birisiyim. bunun icinde degisik ulkelerde finans arastirmasi yapiyorum. proje finansmani/leasing gibi bankacilik enstrumanlari hangi ulkede ne kosullarda bulunabiliyor onlarin arastirmasini yapiyorum. bu kapsam icerisinde proje finansmani teknigini kullanarak irtibatta oldugum fon sirketleriyle turkiyede bir proje gerceklestirmek istedik. bunun icinde tecrubesi olan bir sirket bulmam gerekti. bunun uzerine inanlar grup yonetim kurulu baskani serdar inan beyle bir kac defa toplanti yaptik. ama benim tecrubesizligim nedeniyle is yapamadik. ama firsat kapida beklerken ben duramazdim.ve inatla aramaya devam ettim. ve su siralar oflaz sirketler grubuyla mugla/milas/kiyikislacikta bir resort yapimi icin calisiyoruz. tabi sonu ne olur bilemiyorum. ama olmasi icin elimden geleni yapiyorum...
1,erasmus buddy-caliente dance,0,yok,1,torunum olur musun,0,0,Null
1,erasmus student network,0,yok,1,ogrenci hareketliligi ve demokratik platformlarda aktif katilim,1,1,2011 yilinda melek yatirimci araciligi ile avukatlara yonelik bir icra programi gelistirdik. bu calismada gorevim melek yatirimciyi bulmak ve sonrasinda satis ve halkla iliskileri yonetmek oldu.
0,Null,1,bireysel,0,Null,0,0,Null
1,sifa universitesi bilimsel arastirmalar toplulugu,1,bireysel,0,Null,0,0,Null
1,fikir kulubu,1,kaptan,1,"habitat kalkinma ve yonetisim dernegi catisi altinda bir cok projede calistim. asil projem gelecegini simdi yonet isimli finansal bilinc projesiydi. bunun disinda yine finansal bilinc alaninda parami yonetebiliyorum projesine yardim ettim. kartal belediyesi ile ortak yuruttugumuz bir projede liselere ve ortaokullara girisimcilik dersleri verdim, seminer boyutunda.",1,1,"aslen kayseriliyim, girisimcilik kanimda var sanirim her zaman her yerde firsatlar ararim. bayramdan bir gun once sokaklarda kazak sattim kayseride, yapgmur yagarken bir anda gidip semsiyeler alip onlari satip ev kirami cikardim iki saatin icinde. bunun gibi bir cok ornegin yani sira, 2011 yilinda okulumuda yapilan viral reklam yarismasinda birinci olmustum. daha sonra ise bus102- girisimcilik dersiminizin konusu sifirdan bir girisim kurmakti. ben de viral cekmek uzerine uzmanlasmis bir sirket kurma fikriyle yola ciktim. daha sonra derste hocanin kabulunu gorup basarili olunca orada olusan fikri uygulamak istedim ve bir start up olarak bir kac arkadasim ile yola ciktim. daha once de kose yazarligi yaptigim icin bir internet sitesinde metin yazarligini ve kreatif isleri ben ustlendim. bir kac firma ile gorustuk, bunlardan biri kuponnowdi. ama yola ciktigim arkadaslarim start-upa benim kadar efor ve deger vermedikleri icin devam edemedik. suanda ise hayata gecirmek istedigim baska fikirlerim var, bunlardan bir tanesi de crowdfunding sitesi kurmak. okulumdan hocalarimla konustum, fikirler uzerine business planlarimi yapip investorlarla gorusecegim. bunun disinda ortaokullarda ve liselerde girisimcilik egitimleri verdim daha once de soyledigim gibi."
1,computer society,0,yok,0,Null,1,0,Null
1,afak arastirmaci fatihliler ve akademisyenler kulubu,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,aal09 doga sporlari,0,yok,0,Null,1,1,ailemden para almayi kestigim zamandan beri farkli ticari girisimlerim oldu. suanda bazi tekstil urunlerini online platformlardan pazarlayarak gecimimi sagliyorum ve egitimimi surdurmeye calisiyorum.
1,ozu genc tema,0,yok,1,"akademide devam eden yoga, muzik, dans atolyelerinde gonullu olarak yer almaktayim.",1,1,2013 yili ortasinda ortagimla birlikte bir ingilizce egitim veren kursun subesini devraldik. bir isletmenin calismasini saglarken tum detaylari gozlemleme imkânim oldu ancak ne var ki reklam ve ekip yonetimi alaninda ciddi hatalarim oldu ve bu hatalar isi iyi yonetemeyip batirmama sebep oldu. yine de bu surecte girisimcilik adina yapmam/yapmamam gereken cok sey ogrendim.
0,Null,1,bireysel,0,Null,0,1,girisimcilik zirvesi toplantilari
1,hasan kalyoncu universitesi halk oyunlari klubu,0,yok,0,Null,0,0,Null
0,Null,1,bireysel,0,Null,1,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,turk hava kurumu genc kanatlar,0,yok,0,Null,0,1,konferanslar be referanslar
1,bahcesehir universitesi ceitcomputer education and instructional technologykulubu/baskan,0,yok,0,Null,0,0,Null
1,gediz hukuk klubu,0,yok,0,Null,0,1,daha once genc girisimciler adli bir projeye basvuruda bulunmustum ancak sinav doneminde bulunmamdan dolayi ve sehir disina cikmam zor olacagi icin gerekli ilgiyi gosteremedim.
0,Null,0,yok,0,Null,0,0,Null
1,"koc universitesi gonulluleri kulubu, krav maga kulubu,munazara kulubu",0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,1,0,Null
1,fatih universitesi cevre kulubu,0,yok,1,"online projelerde aktivist oldum.ornegin; nukleer enerjiye karsi,yenilenebilir enerjiyi kullanmayi destekleyip,herkesle bunu paylastim",1,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
0,Null,0,yok,0,Null,0,1,bulundugum okulda girisimcilik dersi var girisimcilik hakkinda yeterli bilgim ve etkinligim var.
0,Null,0,yok,0,Null,1,1,"muzik benim icin cok onemli. 2 arkadasimla birlikte stolen paradise adinda bir youtube kanalimiz var. yurtdisinda cok basarili ornekleri olan bu isi ilk defa biz turkiyede yapmaya basladik. dunyanin her yerinden deep house/chill-out tarzindaki remixleri ve parcalari bulup sarkinin hislerini anlatan resimlerle duzenleyip tanitici yazilarla birlikte sayfamizda paylasiyoruz. hobi olarak arastirma, muzik dinleme ve tasarim acisindan oldukca tatmin edici olmasinin yaninda dunyadan ornek aldigimiz kisilerin bu isi oldukca profesyonel bir platformda festivaller, kendi toplama albumleriicra etmeleri bizim icin oldukca motive edici bir unsur olusturuyor. su an icin 4500 goruntulenmemiz var ve bu sayiyi arttirmak, sevdigimiz ve kaliteli yaptigimiz isimizi daha cok kisiyle paylasmak icin her gun ugrasiyoruz. https://www.youtube.com/user/stolenparadise3j"
1,"girisimcilik kulubu, uluslararasi ogrenciler kulubu sayman",1,bireysel,0,Null,1,1,"robert kolejde dort yil boyunca girisimcilik kulubunun etkin bir uyesiydim ve cesitli yarismalara katilip, bazi yarismalarin organizasyonunda rol aldim. universitemde ise girisimcilik kulubunde calisiyorum; elevator pitch gibi onemli yarismalarin organizasyon timinde gorev alip, mezunlari ve ogrencileribiraraya getiren networking etkinliklerini duzenliyorum. uluslararasi sirketlerde cesitli stajlar yaparak kendimi gelistirdigime inaniyorum.kampuste de bircok farkli iste calismaktayim."
0,Null,0,yok,1,"2010 liman genclik yaz ve somestr okulugenclik lideri 2011 liman genclik yaz ve somestr okulugenclik lideri 2012 liman genclik yaz ve somestr okulugenclik lideri 2011 9.sinif ogrencileri danismanligi 2013 kardes okul projesi genclik lideri 2013-2014 kariyer gunleri konusmaci:it ve mis uzerine 2012-2014 universitelilerle proje calismalari ekip lideri 2012-2014 ogrenci motivasyon seminerleriogrenci danismani 2012-2014 yetim kardesligi projesikatilimci,yurutucu",1,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,istanbul 29 mayis universitesi gelisim kulubu kurucu uyesi ve baskaniyim,0,yok,0,Null,1,1,"girisimcilik alaninda 10 kisilik ekiple bir kitap olusturulduk, ve bu projenin kordinatoru olarak 2 konu uzerinden tez yazdim. basari notu : 89 4 uzerinden 3.5 :ba"
1,tema,0,yok,0,Null,0,0,Null
1,erasmus student network,0,yok,0,Null,1,1,"turkiyede biyomedikal muhendisligi ogrencilerinin bulusup mesleki egitimleri hakkinda tartisabilecegi bir platform olusturmak amaciyla 2012 ve 2013 senelerinde olmak uzere biomeb adi altinda bir etkinlik organize edildi.kurucu baskanligini yuruttugum isik universitesi biyomedikal muhendisligi toplulugu olarak etkinligin planlanmasi , organizasyonu ve tanitimi konusunda turkiyede ilk kez bu konuda insiyatif alindi."
0,Null,0,yok,0,Null,0,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,rotekrobot ve teknoloji kulubu yonetim kurulu baskan yardimciligi,1,kaptan,0,Null,0,0,Null
1,"turk psikoloji ogrencileri calisma grubutpocg, saglik ogrencileri platformu, izmir ekonomi universitesi psikoloji kulubu",0,yok,0,Null,0,0,Null
1,"su alti sporlari klubu, matematiki klubu, radyo klubu",0,yok,0,Null,0,1,kluplerde aktif calismamla birlikte ikul ogrencilei kluplerimize uye olmasi icin ikna ettik. daha yeni kurdugumuz su alti sporlari klubu olarak 25 kisiyi egitim almalari icin klubumuze uye yaptik ve ayvalika giderek brovelerini almalarina yardimci olduk.
1,"akademik kariyer kulubu, gazetebilkent",0,yok,0,Null,1,0,Null
0,Null,1,bireysel,0,Null,0,1,Null
0,Null,0,yok,0,Null,0,0,Null
1,karikatur ve mizah kulubu ozyegin universitesi,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,1,"emlak alim satim kiralama , apart otel isletme"
0,Null,0,yok,0,Null,0,0,Null
1,gazetebilkent,0,yok,1,oku-dusun-paylas,1,1,2011 yilinda bilkent universitesinde duzenlenen mayfest etkinliklerinde iki arkadasimla beraber actigimiz standimizda kendi hazirladgimiz anneler gunu temali ebru ve cince kaligrafi calismalarinin satisini gerceklestirmistik.
1,liverpool fc official supporters club turkey okul disi,0,yok,0,Null,0,1,bir e-ticaret sayfasi uzerinde calisiyorum. henuz taslak asamasinda.
0,Null,0,yok,0,Null,0,0,Null
1,"siyaset ve demokrasi kulubu, isletme kulubu, satranc kulubu",0,bireysel,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,yonetisim ve liderlik kulubu,1,kaptan,0,Null,1,0,Null
0,Null,0,yok,0,Null,1,1,is kurun duzenledigi kurslardan bilgi alip o duzeyde kendimi gelistirmey calistim
1,bilkent genc isadamlari kulubu,1,bireysel,0,Null,1,0,Null
1,"endustri muhendisligi kulubu,dans kulubu",0,yok,0,Null,1,1,kosgeb belgem mevcuttur.
0,sinema klubu,0,bireysel,0,Null,1,0,Null
1,istanbul aydinli kartallar,0,yok,0,Null,1,1,universite de okurken is hayatina atildim ; egitim danismani olarak gorev yaptim.
1,bilkent universitesi inovatif internet toplulugu,0,yok,0,Null,1,0,Null
1,bilkent universitesi inovatif internet toplulugu,0,yok,0,Null,1,0,Null
1,cagdas hukukcular klubu bilgi birikim kulubu,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,"bilkent ieee , bilkent enerji toplulugu , tureb uyeligi , bilkent universitesi ogrenci konseyi",0,yok,0,Null,1,0,Null
1,zirve universitesi surdurulebilirlik kulubu,0,yok,0,Null,1,1,gaziantepe ilk gittigim siralar kendimde olduguna inandigim satis yetenegimi ve bir arkadasimin yapmakta oldugu web sitesi tasarim isini birlestirerek sirketlesme yoluna gitmistik. lakin okulda derslerimizin yogun olmasi sebebiyle yeterli ilgi gostermedigimiz icin 2 yil icinde iflas ettik. daha sonrasinda ise kucuk ticari islerle ve naksan holdingte yari zamanli muhendis olarak is hayatima devam ettim.
1,endustri ve verimlilik toplulugu,0,yok,0,Null,1,0,Null
1,yazilim muhendisligi,0,yok,0,Null,0,1,"yaklasik 6 yildir sektor icerisinde olup her turlu gelismeyi dikkatli bir sekilde takip eden ve piyasadan haberdar olan ve kar odakli isler cikarabilen, yaptigimiz girsimlerin gelir modellerini en basindan beri yola cikarak duzenleyen,genelde global piyasada calismalar yuruttugumuz aylik 5 milyon tekil ziyaretcili web siteleri reklam gosterimi yaptigimiz bir network agi ile sektore yon veriyoruz."
1,tobb etu bisiklet klubu,0,yok,0,Null,1,1,"startup weekend calismalarina katildim, universitedeki ilk senemde bisiklet takimi kurdum."
1,lefke avrupa universitesi turizm klupu,0,yok,0,Null,0,0,Null
1,iaeste yeditepe,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,1,1,network marketing
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,yeni ufuklar klubu,0,yok,1,yok..,0,0,Null
1,"reklamcilik kulubu, muzik kulubu",0,yok,0,Null,1,0,Null
1,"endustri ve verimlilik toplulugu, engelsiz etu",1,bireysel,0,Null,1,0,Null
1,dogus universitesi girisimcilik kulubu,0,yok,0,Null,1,1,arkadasimin sahip oldugu bebek giyim magazasi icin e-ticaret sitesi hazìirladik.
0,Null,1,bireysel,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
