index2,Basvuru Yili,Degerlendirme Puani,Cinsiyet,Dogum Tarihi,Dogum Yeri,Ikametgah Sehri,Kardes Sayisi
10014,2020,60.0,erkek,1998/04/21,istanbul,istanbul,1
10015,2020,60.0,erkek,1997/06/07,istanbul,batman,0
10016,2020,28.0,kadin,1997/04/11,istanbul,kahramanmaras,1
10017,2020,31.0,kadin,1998/08/18,elazig,istanbul,1
10018,2020,54.0,erkek,1998/05/30,istanbul,erzurum,3
10019,2020,18.0,erkek,1999/08/27,izmir,ardahan,0
10020,2020,30.0,kadin,1999/06/15,giresun,ankara,1
10021,2020,31.0,kadin,1997/02/28,adiyaman,istanbul,3
10022,2020,28.0,kadin,1999/09/19,kahramanmaras,istanbul,2
10023,2020,33.0,erkek,1999/10/14,ankara,konya,1
10024,2020,18.0,erkek,1998/06/29,istanbul,istanbul,1
10025,2020,28.0,kadin,1999/04/09,sanliurfa,bursa,0
10026,2020,59.0,erkek,1998/02/17,mersin,bingol,1
10027,2020,51.0,kadin,1999/01/01,ankara,istanbul,2
10028,2020,61.0,kadin,1997/07/14,istanbul,ankara,0
10029,2020,56.0,erkek,1997/04/17,istanbul,istanbul,1
10030,2020,37.0,kadin,1999/08/11,istanbul,trabzon,1
10031,2020,64.0,erkek,1970/01/01,balikesir,Null,1
10032,2020,43.0,kadin,1999/01/02,izmir,istanbul,2
10033,2020,45.0,kadin,1999/07/14,istanbul,sirnak,1
10034,2020,54.0,kadin,1999/04/06,istanbul,konya,1
10035,2020,35.0,kadin,1998/01/26,ankara,istanbul,3
10036,2020,39.0,erkek,1996/11/10,istanbul,istanbul,0
10037,2020,74.0,erkek,1997/11/21,izmir,isparta,0
10038,2020,33.0,kadin,1998/03/20,izmir,diyarbakir,1
10039,2020,52.0,erkek,1998/06/10,istanbul,samsun,2
10040,2020,30.0,kadin,2000/05/25,istanbul,istanbul,1
10041,2020,33.0,erkek,1970/01/01,istanbul,istanbul,2
10042,2020,26.0,kadin,1998/11/19,istanbul,istanbul,1
10043,2020,65.0,kadin,2001/06/20,tekirdag,istanbul,1
10044,2020,42.0,erkek,1998/01/06,ankara,istanbul,2
10045,2020,36.0,kadin,1998/03/13,istanbul,yalova,1
10046,2020,31.0,erkek,1970/01/01,Null,istanbul,1
10047,2020,33.0,kadin,1998/08/25,hatay,canakkale,1
10048,2020,38.0,kadin,1999/01/07,istanbul,Null,1
10049,2020,25.0,kadin,1997/11/08,istanbul,izmir,2
10050,2020,39.0,erkek,1997/08/25,izmir,istanbul,0
10051,2020,56.0,kadin,2001/08/05,ankara,ankara,1
10052,2020,30.0,kadin,1970/01/01,mugla,giresun,5
10053,2020,73.0,kadin,1998/02/19,adana,denizli,1
10054,2020,15.0,kadin,1970/01/01,van,mersin,2
10055,2020,28.0,kadin,1998/05/15,izmir,istanbul,1
10056,2020,23.0,kadin,2001/01/01,izmir,aksaray,1
10057,2020,59.0,erkek,1998/02/10,istanbul,sanliurfa,1
10058,2020,33.0,erkek,1999/07/31,hatay,afyonkarahisar,1
10059,2020,35.0,kadin,1998/12/23,samsun,istanbul,1
10060,2020,28.0,kadin,1999/12/14,istanbul,hatay,1
10061,2020,29.0,erkek,1996/01/01,istanbul,istanbul,1
10062,2020,43.0,erkek,1997/01/08,kocaeli,istanbul,1
10063,2020,23.0,kadin,1998/05/10,Null,samsun,1
10064,2020,55.0,kadin,1999/09/13,ankara,Null,1
10065,2020,28.0,kadin,2001/01/24,istanbul,edirne,2
10066,2020,38.0,kadin,1998/01/22,bursa,sivas,2
10067,2020,23.0,Null,Null,Null,Null,1
10068,2020,36.0,Null,Null,Null,Null,Null
10069,2021,45.0,erkek,1999/01/01,nigde,istanbul,1
10070,2021,32.0,kadin,2000/10/28,izmir,izmir,1
10071,2021,47.0,kadin,1998/10/21,samsun,sinop,1
10072,2021,5.0,erkek,1999/06/05,istanbul,istanbul,1
10073,2021,7.0,kadin,2000/11/25,igdir,igdir,4
10074,2021,15.0,kadin,2000/03/29,yozgat,yozgat,2
10075,2021,29.0,kadin,2001/09/14,izmir,izmir,1
10076,2021,20.0,kadin,2002/09/16,bursa,bursa,1
10077,2021,7.0,kadin,2000/08/08,samsun,samsun,3
10078,2021,5.0,erkek,Null,hatay,hatay,2
10079,2021,42.0,kadin,1999/09/07,istanbul,istanbul,4
10080,2021,20.0,kadin,2001/01/04,hatay,adana,4
10081,2021,20.0,erkek,1999/07/11,sivas,sivas,1
10082,2021,50.0,kadin,1999/07/24,istanbul,istanbul,1
10083,2021,15.0,erkek,1998/10/12,istanbul,istanbul,1
10084,2021,38.0,erkek,2000/03/01,adana,istanbul,5
10085,2021,5.0,erkek,1998/08/07,batman,diyarbakir,2
10086,2021,14.0,kadin,2001/10/14,istanbul,istanbul,1
10087,2021,12.0,kadin,2000/02/12,mardin,istanbul,2
10088,2021,25.0,erkek,1999/08/27,ankara,ankara,1
10089,2021,50.0,kadin,2000/02/02,balikesir,balikesir,1
10090,2021,38.0,erkek,2001/11/29,ankara,tokat,2
10091,2021,30.0,kadin,2000/09/12,sanliurfa,gaziantep,5
10092,2021,29.0,kadin,1999/09/25,izmir,izmir,1
10093,2021,52.0,kadin,1998/12/08,istanbul,istanbul,0
10094,2021,26.0,erkek,2000/01/15,kahramanmaras,kahramanmaras,1
10095,2021,46.0,erkek,1998/02/17,mersin,istanbul,1
10096,2021,27.0,kadin,2001/07/02,istanbul,istanbul,2
10097,2021,15.0,kadin,2000/01/17,agri,agri,0
10098,2021,32.0,kadin,2002/05/23,giresun,giresun,1
10099,2021,30.0,kadin,2000/04/25,adiyaman,adiyaman,4
10100,2021,51.0,erkek,1999/07/31,hatay,istanbul,1
10101,2021,62.0,kadin,1999/07/29,izmir,izmir,0
10102,2021,34.0,kadin,2000/01/14,izmir,izmir,2
10103,2021,19.0,kadin,2001/02/02,malatya,malatya,4
10104,2021,17.0,kadin,2000/10/05,giresun,istanbul,1
10105,2021,32.0,kadin,1999/07/08,konya,konya,3
10106,2021,64.0,erkek,2001/09/03,igdir,istanbul,3
10107,2021,37.0,kadin,2000/04/13,ankara,ankara,1
10108,2021,46.0,kadin,2001/09/26,diyarbakir,adana,2
10109,2021,22.0,kadin,2001/12/05,tekirdag,tekirdag,1
10110,2021,22.0,kadin,1998/12/26,istanbul,istanbul,1
10111,2021,44.0,kadin,1998/08/07,amasya,kahramanmaras,1
10112,2021,23.0,kadin,2001/01/14,malatya,istanbul,2
10113,2021,13.0,erkek,2000/04/22,istanbul,istanbul,0
10114,2021,30.0,kadin,2000/04/04,van,ankara,5
10115,2021,40.0,kadin,1999/08/07,kars,mugla,2
10116,2021,12.0,kadin,2001/09/09,kutahya,istanbul,1
10117,2021,15.0,kadin,2000/05/29,istanbul,istanbul,1
10118,2021,20.0,kadin,2001/02/03,istanbul,istanbul,3
10119,2021,7.0,kadin,2001/03/06,istanbul,istanbul,1
10120,2021,34.0,kadin,2001/09/04,afyonkarahisar,afyonkarahisar,1
10121,2021,29.0,kadin,1999/03/17,isparta,istanbul,1
10122,2021,15.0,erkek,2000/02/15,sivas,sivas,3
10123,2021,50.0,erkek,2000/08/08,istanbul,istanbul,2
10124,2021,22.0,kadin,1999/10/20,mersin,istanbul,1
10125,2021,22.0,kadin,1998/03/21,istanbul,istanbul,0
10126,2021,25.0,kadin,1998/11/25,burdur,burdur,2
10127,2021,38.0,kadin,1999/09/10,hakkari,istanbul,4
10128,2021,33.0,erkek,2000/04/14,istanbul,istanbul,0
10129,2021,48.0,erkek,1998/06/16,antalya,istanbul,2
10130,2021,46.0,kadin,2000/04/10,izmir,izmir,1
10131,2021,28.0,kadin,2001/05/01,izmir,izmir,1
10132,2021,35.0,kadin,2000/04/27,erzincan,erzincan,2
10133,2021,26.0,kadin,2000/08/11,izmir,izmir,1
10134,2021,25.0,kadin,2000/01/18,bursa,istanbul,1
10135,2021,57.0,kadin,1998/11/21,bursa,canakkale,1
10136,2021,61.0,kadin,2000/08/08,izmir,izmir,1
10137,2021,12.0,kadin,1999/01/13,istanbul,istanbul,2
10138,2021,37.0,kadin,2001/08/25,trabzon,sanliurfa,2
10139,2021,53.0,erkek,2000/11/04,mardin,mardin,3
10140,2021,22.0,kadin,1997/11/06,gaziantep,istanbul,0
10141,2021,29.0,kadin,2001/07/19,istanbul,istanbul,2
10142,2021,22.0,kadin,1999/07/07,istanbul,istanbul,0
10143,2021,24.0,kadin,2000/05/31,gaziantep,gaziantep,1
10144,2021,39.0,erkek,2000/01/04,ankara,ankara,1
10145,2021,36.0,erkek,2001/08/17,izmir,izmir,0
10146,2021,12.0,erkek,2001/05/25,giresun,istanbul,3
10147,2021,27.0,kadin,1998/07/23,istanbul,istanbul,4
10148,2020,38.0,kadin,2001/02/16,isparta,diyarbakir,4
10149,2021,35.0,erkek,1999/08/20,hakkari,hakkari,0
10150,2021,40.0,kadin,1970/01/01,istanbul,istanbul,1
10151,2021,29.0,kadin,1998/06/15,Null,ankara,3
10152,2021,39.0,kadin,1999/11/08,ankara,ankara,0
10153,2020,51.0,erkek,1970/01/01,istanbul,izmir,3
10154,2020,33.0,kadin,1970/01/01,denizli,samsun,2
10155,2020,52.0,erkek,1998/08/05,kastamonu,eskisehir,3
10156,2020,43.0,erkek,1996/06/17,ankara,agri,1
10157,2020,13.0,erkek,1998/09/11,kirklareli,hatay,1
10158,2020,28.0,kadin,1998/06/12,konya,gaziantep,2
10159,2020,27.0,kadin,1998/08/17,canakkale,istanbul,1
10160,2020,32.0,kadin,2000/05/26,istanbul,diyarbakir,2
10161,2020,28.0,kadin,1997/11/15,Null,ordu,Null
10162,2020,26.0,erkek,1997/05/19,sanliurfa,aydin,0
10163,2020,40.0,kadin,1998/07/22,istanbul,izmir,1
10164,2020,48.0,kadin,1999/10/11,aksaray,adana,2
10165,2020,13.0,erkek,1970/01/01,hakkari,mersin,Null
10166,2020,39.0,erkek,1970/01/01,sanliurfa,mardin,3
10167,2020,37.0,erkek,1998/04/27,Null,konya,1
10168,2020,38.0,kadin,1999/03/03,diyarbakir,Null,1
10169,2020,29.0,erkek,1998/12/10,gaziantep,ankara,0
10170,2020,15.0,kadin,1999/09/15,erzurum,elazig,2
10171,2020,8.0,erkek,1998/09/23,sirnak,Null,5
10172,2021,27.0,erkek,1970/01/01,istanbul,Null,2
10173,2021,30.0,erkek,2000/08/08,adiyaman,adiyaman,1
10174,2021,10.0,erkek,2002/09/04,istanbul,diyarbakir,1
10175,2021,13.0,erkek,2001/04/10,mus,istanbul,5
10176,2021,20.0,kadin,1999/08/04,van,van,0
10177,2021,20.0,erkek,1997/11/12,istanbul,istanbul,1
10178,2021,20.0,kadin,2000/07/18,igdir,igdir,2
10179,2021,30.0,erkek,2001/06/23,konya,konya,2
10180,2021,54.0,kadin,2000/11/30,sakarya,istanbul,2
10181,2021,12.0,kadin,2002/09/05,istanbul,istanbul,2
10182,2021,40.0,erkek,1970/01/01,gaziantep,Null,Null
10183,2021,22.0,kadin,1970/01/01,Null,hakkari,0
10184,2021,66.0,erkek,1998/06/08,ankara,kirklareli,2
10185,2021,13.0,erkek,2000/04/14,istanbul,istanbul,1
10186,2021,33.0,erkek,2001/02/12,istanbul,istanbul,3
10187,2021,47.0,kadin,2002/11/03,afyonkarahisar,kocaeli,2
10188,2021,18.0,erkek,2001/08/17,sakarya,sakarya,1
10189,2021,20.0,kadin,2001/07/01,mardin,diyarbakir,0
10190,2021,7.0,kadin,2000/09/10,van,ankara,4
10191,2021,22.0,kadin,1999/01/23,mersin,mersin,2
10192,2021,42.0,erkek,2001/06/27,tokat,kayseri,3
10193,2021,37.0,kadin,2000/03/15,sanliurfa,antalya,1
10194,2021,20.0,kadin,2002/07/21,izmir,izmir,2
10195,2021,18.0,erkek,2001/08/30,istanbul,istanbul,1
10196,2021,35.0,kadin,2002/03/26,izmir,izmir,2
10197,2021,29.0,erkek,1998/07/17,istanbul,istanbul,0
10198,2021,27.0,erkek,2002/11/04,hatay,hatay,1
10199,2021,60.0,erkek,2001/03/01,van,van,4
10200,2021,32.0,kadin,2000/05/04,eskisehir,ankara,1
10201,2021,37.0,kadin,2001/01/01,sanliurfa,sanliurfa,4
10202,2021,30.0,erkek,2001/01/21,istanbul,istanbul,1
10203,2021,23.0,erkek,2000/01/15,sanliurfa,sanliurfa,0
10204,2021,22.0,kadin,1970/01/01,kutahya,kutahya,2
10205,2021,21.0,erkek,2002/06/26,manisa,manisa,3
10206,2020,30.0,kadin,1970/01/01,istanbul,adiyaman,Null
10207,2020,18.0,kadin,1999/07/28,duzce,Null,2
10208,2020,36.0,erkek,1998/02/19,istanbul,sakarya,1
10209,2021,20.0,kadin,1999/04/04,adiyaman,adiyaman,4
10210,2021,20.0,kadin,2000/11/01,istanbul,istanbul,2
10211,2021,22.0,kadin,1996/07/15,istanbul,istanbul,4
10212,2020,28.0,Null,1970/01/01,tekirdag,ankara,1
10213,2021,22.0,kadin,1998/03/08,izmir,izmir,2
10214,2021,12.0,kadin,2001/07/26,agri,agri,2
10215,2021,30.0,erkek,2001/09/06,bursa,bursa,2
10216,2020,56.0,kadin,1970/01/01,istanbul,mersin,1
10217,2020,21.0,erkek,1970/01/01,kocaeli,istanbul,2
10218,2020,20.0,kadin,1970/01/01,istanbul,istanbul,0
10219,2020,38.0,kadin,1970/01/01,corum,giresun,2
10220,2020,51.0,erkek,1970/01/01,istanbul,istanbul,0
10221,2020,40.0,kadin,1970/01/01,istanbul,istanbul,0
10222,2020,38.0,erkek,1999/10/31,ankara,bolu,3
10223,2020,45.0,kadin,1997/07/10,ankara,istanbul,2
10224,2020,18.0,kadin,1970/01/01,istanbul,istanbul,1
10225,2021,21.0,erkek,1970/01/01,elazig,diyarbakir,1
10226,2021,21.0,kadin,2001/01/19,istanbul,istanbul,0
10227,2021,39.0,kadin,2000/05/20,istanbul,istanbul,1
10228,2021,14.0,kadin,2001/07/11,mardin,istanbul,2
10229,2021,20.0,kadin,2000/10/24,bursa,istanbul,3
10230,2021,46.0,erkek,2000/11/15,konya,kocaeli,2
10231,2020,15.0,kadin,1998/04/13,giresun,mersin,1
10232,2021,25.0,erkek,2002/06/18,izmir,izmir,0
10233,2020,51.0,erkek,1999/12/14,ankara,Null,1
10234,2020,38.0,Null,Null,Null,denizli,2
10235,2020,8.0,erkek,1999/07/29,kahramanmaras,istanbul,2
10236,2020,56.0,kadin,2001/08/05,ankara,istanbul,1
10237,2020,30.0,kadin,1998/02/17,malatya,sanliurfa,2
10238,2021,15.0,erkek,1970/01/01,istanbul,istanbul,1
10239,2021,22.0,kadin,2002/08/02,diyarbakir,mersin,4
10240,2021,15.0,kadin,2002/06/06,mersin,mersin,4
10241,2021,35.0,Null,1970/01/01,Null,Null,2
10242,2021,32.0,kadin,1970/01/01,Null,konya,Null
10243,2020,20.0,kadin,1970/01/01,istanbul,izmir,Null
10244,2020,45.0,kadin,1970/01/01,istanbul,konya,3
10245,2020,33.0,erkek,1999/10/22,agri,ankara,1
10246,2020,40.0,kadin,1998/01/01,ardahan,kocaeli,4
10247,2020,34.0,erkek,1997/05/18,agri,sanliurfa,3
10248,2020,26.0,Null,Null,Null,kastamonu,1
10249,2020,15.0,kadin,2000/02/17,trabzon,istanbul,2
10250,2020,19.0,erkek,1970/01/01,antalya,bursa,4
10251,2020,56.0,kadin,2000/09/16,agri,istanbul,2
10252,2021,54.0,erkek,2000/03/02,istanbul,istanbul,4
10253,2021,18.0,erkek,1970/01/01,malatya,malatya,1
10254,2021,32.0,erkek,2000/11/17,istanbul,istanbul,3
10255,2021,59.0,erkek,1995/02/19,istanbul,istanbul,2
10256,2021,21.0,erkek,2004/07/01,malatya,malatya,1
10257,2021,14.0,kadin,2000/11/24,konya,ankara,1
10258,2021,54.0,erkek,1970/01/01,batman,batman,5
10259,2021,5.0,erkek,2000/05/25,adiyaman,adiyaman,1
10260,2021,45.0,kadin,2002/03/02,gaziantep,gaziantep,0
10261,2021,28.0,erkek,1997/01/01,mus,istanbul,5
10262,2021,28.0,Null,Null,Null,Null,1
10263,2021,17.0,erkek,2000/08/18,diyarbakir,diyarbakir,3
10264,2021,12.0,kadin,2000/01/12,adiyaman,adiyaman,5
10265,2021,44.0,kadin,1999/07/07,nigde,eskisehir,0
10266,2021,25.0,kadin,2001/06/16,antalya,antalya,1
10267,2021,37.0,kadin,1998/05/24,kirsehir,ankara,1
10268,2021,38.0,Null,1970/01/01,Null,ankara,1
10269,2014,61.0,erkek,1991/09/11,hatay,hatay,1
10270,2014,19.0,erkek,1991/05/05,adiyaman,kahramanmaras,8
10271,2014,38.0,erkek,1990/01/02,Null,adana,3
10272,2014,8.0,erkek,1994/10/04,Null,istanbul,4
10273,2014,34.0,erkek,1993/12/14,Null,istanbul,2
10274,2014,24.0,erkek,1992/10/12,Null,bursa,1
10275,2014,22.0,erkek,1992/10/11,batman,batman,6
10276,2014,24.0,erkek,1991/10/05,izmir,istanbul,4
10277,2014,12.0,erkek,1993/08/05,gumushane,gumushane,3
10278,2014,24.0,erkek,1993/03/20,samsun,samsun,5
10279,2014,24.0,erkek,1994/06/07,kocaeli,izmir,1
10280,2014,20.0,erkek,1995/05/14,konya,manisa,2
10281,2014,16.0,erkek,1993/04/05,bolu,konya,1
10282,2014,18.0,erkek,1995/02/27,kahramanmaras,isparta,4
10283,2014,48.0,erkek,1992/09/06,Null,istanbul,2
10284,2014,8.0,erkek,1994/02/04,sanliurfa,ankara,8
10285,2014,8.0,erkek,1993/09/10,diyarbakir,diyarbakir,2
10286,2014,18.0,kadin,1986/01/01,agri,kocaeli,6
10287,2014,24.0,erkek,1995/01/18,Null,istanbul,3
10288,2014,49.0,erkek,1993/06/01,gaziantep,mersin,4
10289,2014,14.0,erkek,1993/12/15,mardin,mardin,7
10290,2014,24.0,erkek,1995/03/06,kocaeli,kocaeli,3
10291,2014,12.0,erkek,1993/07/14,istanbul,istanbul,3
10292,2014,14.0,erkek,1994/11/23,Null,istanbul,3
10293,2014,24.0,erkek,1994/07/10,Null,istanbul,3
10294,2014,49.0,erkek,1993/09/05,Null,istanbul,0
10295,2014,14.0,erkek,1992/04/24,Null,tekirdag,3
10296,2014,14.0,erkek,1993/08/20,malatya,istanbul,4
10297,2014,14.0,erkek,1994/09/30,afyonkarahisar,ankara,Null
10298,2014,36.0,erkek,1992/02/10,sanliurfa,sanliurfa,3
10299,2014,24.0,erkek,1992/06/05,Null,canakkale,3
10300,2014,44.0,erkek,1993/05/18,bursa,eskisehir,3
10301,2014,14.0,erkek,1991/05/15,adiyaman,adiyaman,7
10302,2014,40.0,erkek,1991/09/05,gaziantep,kastamonu,2
10303,2014,8.0,erkek,1994/06/01,Null,kutahya,2
10304,2014,16.0,erkek,1994/08/03,istanbul,istanbul,3
10305,2014,34.0,erkek,1994/10/11,giresun,giresun,1
10306,2014,14.0,erkek,1992/07/05,isparta,isparta,Null
10307,2014,29.0,erkek,1992/12/11,Null,zonguldak,3
10308,2014,26.0,erkek,1993/03/01,adiyaman,yalova,9
10309,2014,8.0,erkek,1995/01/18,yozgat,yozgat,2
10310,2014,40.0,erkek,1992/01/01,ankara,izmir,3
10311,2014,28.0,erkek,1995/01/15,Null,mersin,6
10312,2014,20.0,erkek,1993/09/09,Null,istanbul,Null
10313,2014,42.0,erkek,1993/10/30,Null,istanbul,5
10314,2014,54.0,erkek,1993/09/20,Null,istanbul,3
10315,2014,31.0,erkek,1995/07/14,kayseri,istanbul,2
10316,2014,48.0,erkek,1991/08/23,karaman,istanbul,2
10317,2014,12.0,erkek,1990/01/02,adiyaman,Null,8
10318,2014,12.0,erkek,1990/02/11,balikesir,usak,1
10319,2014,27.0,erkek,1993/06/29,istanbul,istanbul,2
10320,2014,34.0,erkek,1992/07/26,Null,istanbul,3
10321,2014,32.0,erkek,1992/10/16,antalya,antalya,1
10322,2014,41.0,erkek,1993/08/11,mersin,istanbul,2
10323,2014,14.0,erkek,1994/06/30,Null,kahramanmaras,8
10324,2014,28.0,erkek,1992/06/11,kars,konya,2
10325,2014,12.0,erkek,1991/01/17,Null,istanbul,2
10326,2014,28.0,erkek,1991/05/20,kastamonu,sakarya,4
10327,2014,14.0,erkek,1970/01/01,samsun,samsun,4
10328,2014,32.0,erkek,1994/04/19,agri,istanbul,3
10329,2014,13.0,erkek,1995/03/20,erzurum,erzurum,7
10330,2014,12.0,erkek,1994/02/01,Null,bartin,7
10331,2014,49.0,erkek,1994/06/30,bartin,manisa,4
10332,2014,19.0,erkek,1993/07/01,diyarbakir,istanbul,3
10333,2014,12.0,erkek,1990/11/15,Null,istanbul,4
10334,2014,12.0,erkek,1993/02/15,kayseri,ankara,6
10335,2014,22.0,kadin,1991/12/16,Null,istanbul,2
10336,2014,14.0,erkek,1991/01/28,batman,batman,10
10337,2014,12.0,erkek,1992/10/22,istanbul,istanbul,5
10338,2014,22.0,erkek,1994/10/12,sanliurfa,istanbul,1
10339,2014,44.0,erkek,1993/04/12,Null,Null,6
10340,2014,48.0,erkek,1993/06/20,corum,bursa,Null
10341,2014,28.0,erkek,1991/01/08,istanbul,istanbul,1
10342,2014,28.0,erkek,1995/02/14,gaziantep,gaziantep,4
10343,2014,53.0,kadin,1993/07/08,van,diyarbakir,10
10344,2014,18.0,erkek,1993/09/01,mus,istanbul,4
10345,2014,26.0,erkek,1993/02/27,Null,ankara,1
10346,2014,21.0,erkek,1994/10/15,ankara,ankara,1
10347,2014,14.0,erkek,1993/08/10,batman,bursa,4
10348,2014,14.0,erkek,1993/01/16,bursa,bursa,3
10349,2014,16.0,erkek,1993/07/10,giresun,aydin,Null
10350,2014,16.0,erkek,1990/04/30,bursa,istanbul,1
10351,2014,22.0,erkek,1993/02/15,antalya,antalya,Null
10352,2014,24.0,erkek,1992/01/02,Null,istanbul,2
10353,2014,12.0,erkek,1991/01/09,diyarbakir,antalya,2
10354,2014,24.0,erkek,1995/11/11,kocaeli,kocaeli,0
10355,2014,18.0,erkek,1991/03/05,cankiri,ankara,2
10356,2014,49.0,erkek,1994/05/29,karaman,konya,5
10357,2014,39.0,erkek,1992/09/17,bingol,izmir,1
10358,2014,8.0,erkek,1992/02/25,Null,osmaniye,1
10359,2014,24.0,erkek,1990/10/11,Null,bartin,3
10360,2014,34.0,erkek,1992/07/13,karaman,ankara,4
10361,2014,34.0,erkek,1987/06/24,usak,usak,2
10362,2014,10.0,erkek,1994/08/05,manisa,manisa,1
10363,2014,24.0,erkek,1993/02/08,erzincan,istanbul,Null
10364,2014,12.0,erkek,1992/10/11,izmir,izmir,1
10365,2014,34.0,erkek,1994/08/31,istanbul,istanbul,1
10366,2014,28.0,erkek,1994/10/22,trabzon,istanbul,1
10367,2014,24.0,erkek,1994/01/01,gaziantep,izmir,2
10368,2014,32.0,erkek,1990/02/01,mardin,erzurum,12
10369,2014,8.0,erkek,1991/03/05,cankiri,istanbul,2
10370,2014,20.0,erkek,1993/01/07,Null,istanbul,3
10371,2014,12.0,erkek,1994/04/08,tokat,izmir,2
10372,2014,28.0,erkek,1993/01/01,Null,manisa,Null
10373,2014,37.0,erkek,1993/08/06,kocaeli,istanbul,1
10374,2014,28.0,erkek,1991/10/11,ankara,istanbul,1
10375,2014,47.0,erkek,1989/01/10,izmir,izmir,2
10376,2014,49.0,erkek,1992/04/11,aksaray,konya,2
10377,2014,32.0,erkek,1991/01/04,batman,istanbul,3
10378,2014,34.0,erkek,1992/01/31,Null,istanbul,3
10379,2014,27.0,erkek,1992/10/01,konya,ankara,3
10380,2014,18.0,erkek,1994/07/07,Null,bursa,0
10381,2014,12.0,erkek,1995/02/17,kahramanmaras,istanbul,2
10382,2014,38.0,erkek,1990/04/26,trabzon,kocaeli,4
10383,2014,12.0,erkek,1994/02/10,istanbul,istanbul,7
10384,2014,19.0,erkek,1992/09/24,bingol,mersin,1
10385,2014,8.0,erkek,1990/08/02,malatya,ankara,Null
10386,2014,32.0,erkek,1992/07/14,izmir,ankara,2
10387,2014,18.0,erkek,1994/03/06,malatya,istanbul,4
10388,2014,8.0,erkek,1995/10/21,bursa,bursa,1
10389,2014,36.0,erkek,1991/03/22,samsun,istanbul,1
10390,2014,17.0,erkek,1992/05/27,Null,istanbul,2
10391,2014,46.0,kadin,1993/02/06,Null,izmir,1
10392,2014,20.0,erkek,1993/10/06,malatya,istanbul,1
10393,2014,8.0,erkek,1991/06/07,Null,hatay,4
10394,2014,22.0,erkek,1993/02/20,hatay,istanbul,2
10395,2014,37.0,erkek,1993/01/14,manisa,eskisehir,0
10396,2014,36.0,erkek,1993/04/01,Null,ankara,2
10397,2014,44.0,erkek,1994/12/13,Null,istanbul,3
10398,2014,16.0,erkek,1994/04/24,Null,istanbul,2
10399,2014,42.0,erkek,1990/09/04,sakarya,sakarya,1
10400,2014,12.0,erkek,1991/04/08,Null,izmir,1
10401,2014,29.0,erkek,1992/01/02,Null,istanbul,6
10402,2014,24.0,erkek,1992/10/17,Null,tokat,3
10403,2014,26.0,kadin,1987/10/18,Null,ankara,7
10404,2014,24.0,erkek,1992/08/18,balikesir,izmir,1
10405,2014,20.0,erkek,1995/09/29,balikesir,balikesir,5
10406,2014,24.0,erkek,1993/03/30,Null,balikesir,1
10407,2014,48.0,erkek,1992/08/06,Null,istanbul,Null
10408,2014,26.0,erkek,1991/11/20,Null,izmir,2
10409,2014,50.0,erkek,1993/10/29,mersin,istanbul,1
10410,2014,8.0,erkek,1994/01/07,Null,osmaniye,Null
10411,2014,14.0,erkek,1992/04/29,diyarbakir,diyarbakir,4
10412,2014,48.0,erkek,1995/03/15,istanbul,istanbul,2
10413,2014,24.0,erkek,1994/11/27,istanbul,istanbul,0
10414,2014,24.0,erkek,1992/02/05,istanbul,istanbul,0
10415,2014,24.0,erkek,1991/06/05,erzurum,ankara,2
10416,2014,14.0,erkek,1990/06/22,bingol,osmaniye,2
10417,2014,12.0,erkek,1989/08/05,ankara,ankara,2
10418,2014,22.0,erkek,1990/04/29,Null,ankara,4
10419,2014,18.0,erkek,1992/10/03,Null,antalya,0
10420,2014,24.0,erkek,1991/11/15,batman,trabzon,5
10421,2014,28.0,erkek,1991/11/25,mardin,gaziantep,4
10422,2014,14.0,erkek,1993/10/30,kahramanmaras,kahramanmaras,2
10423,2014,22.0,erkek,1993/02/22,izmir,izmir,1
10424,2014,36.0,erkek,1992/05/15,Null,bursa,3
10425,2014,12.0,erkek,1995/09/21,Null,istanbul,3
10426,2014,17.0,erkek,1993/05/23,kayseri,istanbul,2
10427,2014,24.0,erkek,1994/08/02,kahramanmaras,kahramanmaras,3
10428,2014,14.0,erkek,1995/06/24,antalya,karaman,Null
10429,2014,28.0,erkek,1994/06/18,istanbul,istanbul,3
10430,2014,18.0,kadin,1995/07/13,ankara,ankara,1
10431,2014,28.0,kadin,1993/07/05,Null,balikesir,3
10432,2014,48.0,kadin,1992/02/18,Null,istanbul,2
10433,2014,34.0,erkek,1991/07/07,diyarbakir,istanbul,3
10434,2014,42.0,erkek,1992/09/26,Null,eskisehir,1
10435,2014,36.0,kadin,1993/02/06,isparta,istanbul,2
10436,2014,68.0,erkek,1990/02/11,zonguldak,izmir,1
10437,2014,47.0,erkek,1994/07/25,istanbul,istanbul,1
10438,2014,8.0,erkek,1994/07/16,adana,adana,2
10439,2014,70.0,erkek,1992/07/17,izmir,izmir,4
10440,2014,39.0,erkek,1993/08/12,sakarya,sakarya,0
10441,2014,22.0,erkek,1995/10/05,konya,karaman,2
10442,2014,16.0,erkek,1994/09/04,konya,konya,1
10443,2014,8.0,erkek,1993/06/04,izmir,izmir,0
10444,2014,26.0,kadin,1970/01/01,kahramanmaras,aydin,Null
10445,2014,29.0,kadin,1992/07/23,trabzon,trabzon,3
10446,2014,38.0,erkek,1994/08/11,Null,burdur,3
10447,2014,12.0,erkek,1991/03/01,adana,istanbul,1
