index2,Universite Adi,Universite Turu
14308,bulent ecevit universitesi,devlet
14309,marmara universitesi,devlet
14310,karadeniz teknik universitesi,devlet
14311,istanbul universitesi,devlet
14312,karadeniz teknik universitesi,devlet
14313,kocaeli universitesi,devlet
14314,dokuz eylul universitesi,devlet
14315,gazi universitesi,devlet
14316,dokuz eylul universitesi,devlet
14317,istanbul universitesi,devlet
14318,istanbul universitesi,devlet
14319,kirikkale universitesi,devlet
14320,marmara universitesi,devlet
14321,dokuz eylul universitesi,devlet
14322,bogazici universitesi,devlet
14323,gazi universitesi,devlet
14324,istanbul universitesi,devlet
14325,cumhuriyet universitesi,devlet
14326,yildiz teknik universitesi,devlet
14327,orta dogu teknik universitesi,devlet
14328,yildirim beyazit universitesi,devlet
14329,istanbul universitesi,devlet
14330,sakarya universitesi,devlet
14331,karadeniz teknik universitesi,devlet
14332,uludag universitesi,devlet
14333,karadeniz teknik universitesi,devlet
14334,dokuz eylul universitesi,devlet
14335,dokuz eylul universitesi,devlet
14336,bingol universitesi,devlet
14337,dicle universitesi,devlet
14338,selcuk universitesi,devlet
14339,akdeniz universitesi,devlet
14340,akdeniz universitesi,devlet
14341,istanbul universitesi,devlet
14342,gazi universitesi,devlet
14343,adnan menderes universitesi,devlet
14344,erciyes universitesi,devlet
14345,akdeniz universitesi,devlet
14346,marmara universitesi,devlet
14347,istanbul universitesi,devlet
14348,ankara universitesi,devlet
14349,bingol universitesi,devlet
14350,karadeniz teknik universitesi,devlet
14351,istanbul universitesi,devlet
14352,aksaray universitesi,devlet
14353,dokuz eylul universitesi,devlet
14354,canakkale onsekiz mart,devlet
14355,yalova universitesi,devlet
14356,afyon kocatepe universitesi,devlet
14357,anadolu universitesi,devlet
14358,istanbul universitesi,devlet
14359,eskisehir osmangazi universitesi,devlet
14360,gazi universitesi,devlet
14361,recep tayyip erdogan universitesi,devlet
14362,yildiz teknik universitesi,devlet
14363,marmara universitesi,devlet
14364,celal bayar universitesi,devlet
14365,canakkale onsekiz mart,devlet
14366,hacettepe universitesi,devlet
14367,anadolu universitesi,devlet
14368,istanbul universitesi,devlet
14369,yildiz teknik universitesi,devlet
14370,canakkale onsekiz mart,devlet
14371,kilis 7 aralik universitesi,devlet
14372,osmaniye korkut ata universitesi,devlet
14373,gebze yuksek teknoloji enstitusu,devlet
14374,orta dogu teknik universitesi,devlet
14375,mersin universitesi,devlet
14376,yildiz teknik universitesi,devlet
14377,karadeniz teknik universitesi,devlet
14378,ege universitesi,devlet
14379,yildirim beyazit universitesi,devlet
14380,istanbul teknik universitesi,devlet
14381,kilis 7 aralik universitesi,devlet
14382,galatasaray universitesi,devlet
14383,kocaeli universitesi,devlet
14384,istanbul universitesi,devlet
14385,pamukkale universitesi,devlet
14386,hacettepe universitesi,devlet
14387,gazi universitesi,devlet
14388,hacettepe universitesi,devlet
14389,marmara universitesi,devlet
14390,istanbul teknik universitesi,devlet
14391,akdeniz universitesi,devlet
14392,yalova universitesi,devlet
14393,yildiz teknik universitesi,devlet
14394,adiyaman universitesi,devlet
14395,marmara universitesi,devlet
14396,yildirim beyazit universitesi,devlet
14397,yildiz teknik universitesi,devlet
14398,gazi universitesi,devlet
14399,istanbul universitesi,devlet
14400,canakkale onsekiz mart,devlet
14401,dokuz eylul universitesi,devlet
14402,kocaeli universitesi,devlet
14403,eskisehir osmangazi universitesi,devlet
14404,marmara universitesi,devlet
14405,anadolu universitesi,devlet
14406,anadolu universitesi,devlet
14407,nigde universitesi,devlet
14408,dokuz eylul universitesi,devlet
14409,istanbul universitesi,devlet
14410,ataturk universitesi,devlet
14411,marmara universitesi,devlet
14412,nigde universitesi,devlet
14413,karabuk universitesi,devlet
14414,dumlupinar universitesi,devlet
14415,karadeniz teknik universitesi,devlet
14416,karabuk universitesi,devlet
14417,selcuk universitesi,devlet
14418,cukurova universitesi,devlet
14419,kirklareli universitesi,devlet
14420,recep tayyip erdogan universitesi,devlet
14421,akdeniz universitesi,devlet
14422,istanbul universitesi,devlet
14423,aksaray universitesi,devlet
14424,dumlupinar universitesi,devlet
14425,akdeniz universitesi,devlet
14426,dumlupinar universitesi,devlet
14427,istanbul universitesi,devlet
14428,istanbul universitesi,devlet
14429,namik kemal universitesi,devlet
14430,anadolu universitesi,devlet
14431,aksaray universitesi,devlet
14432,istanbul universitesi,devlet
14433,gazi universitesi,devlet
14434,afyon kocatepe universitesi,devlet
14435,sakarya universitesi,devlet
14436,karadeniz teknik universitesi,devlet
14437,kastamonu universitesi,devlet
14438,kocaeli universitesi,devlet
14439,gaziantep universitesi,devlet
14440,dicle universitesi,devlet
14441,kastamonu universitesi,devlet
14442,aksaray universitesi,devlet
14443,istanbul universitesi,devlet
14444,istanbul universitesi,devlet
14445,istanbul universitesi,devlet
14446,kocaeli universitesi,devlet
14447,istanbul universitesi,devlet
14448,yildiz teknik universitesi,devlet
14449,dokuz eylul universitesi,devlet
14450,anadolu universitesi,devlet
14451,istanbul universitesi,devlet
14452,abant izzet baysal universitesi,devlet
14453,uludag universitesi,devlet
14454,hacettepe universitesi,devlet
14455,cukurova universitesi,devlet
14456,cukurova universitesi,devlet
14457,erciyes universitesi,devlet
14458,istanbul teknik universitesi,devlet
14459,istanbul universitesi,devlet
14460,ege universitesi,devlet
14461,anadolu universitesi,devlet
14462,giresun universitesi,devlet
14463,marmara universitesi,devlet
14464,bingol universitesi,devlet
14465,cankiri karatekin universitesi,devlet
14466,ordu universitesi,devlet
14467,firat universitesi,devlet
14468,kastamonu universitesi,devlet
14469,batman universitesi,devlet
14470,yalova universitesi,devlet
14471,canakkale onsekiz mart,devlet
14472,canakkale onsekiz mart,devlet
14473,anadolu universitesi,devlet
14474,erzincan universitesi,devlet
14475,hacettepe universitesi,devlet
14476,bilecik seyh edebali universitesi,devlet
14477,harran universitesi,devlet
14478,suleyman demirel universitesi,devlet
14479,bingol universitesi,devlet
14480,ataturk universitesi,devlet
14481,dokuz eylul universitesi,devlet
14482,anadolu universitesi,devlet
14483,dicle universitesi,devlet
14484,suleyman demirel universitesi,devlet
14485,istanbul universitesi,devlet
14486,adnan menderes universitesi,devlet
14487,bilecik seyh edebali universitesi,devlet
14488,istanbul universitesi,devlet
14489,orta dogu teknik universitesi,devlet
14490,bogazici universitesi,devlet
14491,ankara universitesi,devlet
14492,mersin universitesi,devlet
14493,yildiz teknik universitesi,devlet
14494,cukurova universitesi,devlet
14495,marmara universitesi,devlet
14496,yuzuncu yil universitesi,devlet
14497,bogazici universitesi,devlet
14498,bitlis eren universitesi,devlet
14499,abant izzet baysal universitesi,devlet
14500,cumhuriyet universitesi,devlet
14501,sakarya universitesi,devlet
14502,dokuz eylul universitesi,devlet
14503,kocaeli universitesi,devlet
14504,istanbul universitesi,devlet
14505,bogazici universitesi,devlet
14506,istanbul teknik universitesi,devlet
14507,uludag universitesi,devlet
14508,yuzuncu yil universitesi,devlet
14509,marmara universitesi,devlet
14510,anadolu universitesi,devlet
14511,hacettepe universitesi,devlet
14512,gazi universitesi,devlet
14513,kocaeli universitesi,devlet
14514,anadolu universitesi,devlet
14515,istanbul universitesi,devlet
14516,mustafa kemal universitesi,devlet
14517,marmara universitesi,devlet
14518,marmara universitesi,devlet
14519,canakkale onsekiz mart,devlet
14520,ege universitesi,devlet
14521,ege universitesi,devlet
14522,recep tayyip erdogan universitesi,devlet
14523,ankara universitesi,devlet
14524,istanbul universitesi,devlet
14525,istanbul teknik universitesi,devlet
14526,suleyman demirel universitesi,devlet
14527,istanbul universitesi,devlet
14528,suleyman demirel universitesi,devlet
14529,gaziosmanpasa universitesi,devlet
14530,bartin universitesi,devlet
14531,izmir yuksek teknoloji enstitusu,devlet
14532,ankara universitesi,devlet
14533,istanbul teknik universitesi,devlet
14534,firat universitesi,devlet
14535,istanbul universitesi,devlet
14536,uludag universitesi,devlet
14537,kocaeli universitesi,devlet
14538,marmara universitesi,devlet
14539,cukurova universitesi,devlet
14540,adnan menderes universitesi,devlet
14541,istanbul universitesi,devlet
14542,erciyes universitesi,devlet
14543,trakya universitesi,devlet
14544,dicle universitesi,devlet
14545,sakarya universitesi,devlet
14546,bogazici universitesi,devlet
14547,karabuk universitesi,devlet
14548,dokuz eylul universitesi,devlet
14549,gazi universitesi,devlet
14550,cumhuriyet universitesi,devlet
14551,yildiz teknik universitesi,devlet
14552,eskisehir osmangazi universitesi,devlet
14553,inonu universitesi,devlet
14554,yildirim beyazit universitesi,devlet
14555,marmara universitesi,devlet
14556,mugla sitki kocman universitesi,devlet
14557,namik kemal universitesi,devlet
14558,istanbul teknik universitesi,devlet
14559,uludag universitesi,devlet
14560,mustafa kemal universitesi,devlet
14561,ataturk universitesi,devlet
14562,mehmet akif ersoy universitesi,devlet
14563,karabuk universitesi,devlet
14564,anadolu universitesi,devlet
14565,suleyman demirel universitesi,devlet
14566,trakya universitesi,devlet
14567,istanbul universitesi,devlet
14568,pamukkale universitesi,devlet
14569,istanbul universitesi,devlet
14570,eskisehir osmangazi universitesi,devlet
14571,yildiz teknik universitesi,devlet
14572,karabuk universitesi,devlet
14573,yildiz teknik universitesi,devlet
14574,hacettepe universitesi,devlet
14575,kocaeli universitesi,devlet
14576,istanbul teknik universitesi,devlet
14577,sakarya universitesi,devlet
14578,cumhuriyet universitesi,devlet
14579,dicle universitesi,devlet
14580,dumlupinar universitesi,devlet
14581,bilecik seyh edebali universitesi,devlet
14582,istanbul teknik universitesi,devlet
14583,trakya universitesi,devlet
14584,anadolu universitesi,devlet
14585,trakya universitesi,devlet
14586,dokuz eylul universitesi,devlet
14587,dicle universitesi,devlet
14588,cankiri karatekin universitesi,devlet
14589,istanbul universitesi,devlet
14590,karadeniz teknik universitesi,devlet
14591,yildiz teknik universitesi,devlet
14592,ondokuz mayis universitesi,devlet
14593,bogazici universitesi,devlet
14594,yildirim beyazit universitesi,devlet
14595,sakarya universitesi,devlet
14596,orta dogu teknik universitesi,devlet
14597,adnan menderes universitesi,devlet
14598,kocaeli universitesi,devlet
14599,anadolu universitesi,devlet
14600,ankara universitesi,devlet
14601,kocaeli universitesi,devlet
14602,orta dogu teknik universitesi,devlet
14603,kirikkale universitesi,devlet
14604,ahi evran universitesi,devlet
14605,pamukkale universitesi,devlet
14606,bogazici universitesi,devlet
14607,kafkas universitesi,devlet
14608,istanbul universitesi,devlet
14609,yildiz teknik universitesi,devlet
14610,istanbul teknik universitesi,devlet
14611,istanbul universitesi,devlet
14612,harran universitesi,devlet
14613,selcuk universitesi,devlet
14614,mimar sinan guzel sanatlar,devlet
14615,abant izzet baysal universitesi,devlet
14616,istanbul universitesi,devlet
14617,anadolu universitesi,devlet
14618,karadeniz teknik universitesi,devlet
14619,istanbul teknik universitesi,devlet
14620,selcuk universitesi,devlet
14621,karabuk universitesi,devlet
14622,selcuk universitesi,devlet
14623,trakya universitesi,devlet
14624,akdeniz universitesi,devlet
14625,suleyman demirel universitesi,devlet
14626,ordu universitesi,devlet
14627,kocaeli universitesi,devlet
14628,celal bayar universitesi,devlet
14629,marmara universitesi,devlet
14630,anadolu universitesi,devlet
14631,dumlupinar universitesi,devlet
14632,marmara universitesi,devlet
14633,uludag universitesi,devlet
14634,kocaeli universitesi,devlet
14635,anadolu universitesi,devlet
14636,kocaeli universitesi,devlet
14637,akdeniz universitesi,devlet
14638,sakarya universitesi,devlet
14639,dokuz eylul universitesi,devlet
14640,sakarya universitesi,devlet
14641,orta dogu teknik universitesi,devlet
14642,karabuk universitesi,devlet
14643,kocaeli universitesi,devlet
14644,mugla sitki kocman universitesi,devlet
14645,karadeniz teknik universitesi,devlet
14646,adiyaman universitesi,devlet
14647,bozok universitesi,devlet
14648,selcuk universitesi,devlet
14649,karabuk universitesi,devlet
14650,yildirim beyazit universitesi,devlet
14651,bogazici universitesi,devlet
14652,yildiz teknik universitesi,devlet
14653,firat universitesi,devlet
14654,dumlupinar universitesi,devlet
14655,namik kemal universitesi,devlet
14656,firat universitesi,devlet
14657,ege universitesi,devlet
14658,bingol universitesi,devlet
14659,karadeniz teknik universitesi,devlet
14660,bilecik seyh edebali universitesi,devlet
14661,uludag universitesi,devlet
14662,trakya universitesi,devlet
14663,ataturk universitesi,devlet
14664,istanbul universitesi,devlet
14665,karabuk universitesi,devlet
14666,cumhuriyet universitesi,devlet
14667,karadeniz teknik universitesi,devlet
14668,marmara universitesi,devlet
14669,ankara universitesi,devlet
14670,gazi universitesi,devlet
14671,trakya universitesi,devlet
14672,anadolu universitesi,devlet
14673,dicle universitesi,devlet
14674,istanbul teknik universitesi,devlet
14675,adnan menderes universitesi,devlet
14676,ataturk universitesi,devlet
14677,gazi universitesi,devlet
14678,pamukkale universitesi,devlet
14679,yildiz teknik universitesi,devlet
14680,bogazici universitesi,devlet
14681,anadolu universitesi,devlet
14682,dokuz eylul universitesi,devlet
14683,selcuk universitesi,devlet
14684,erciyes universitesi,devlet
14685,cumhuriyet universitesi,devlet
14686,gazi universitesi,devlet
14687,ege universitesi,devlet
14688,dumlupinar universitesi,devlet
14689,gumushane universitesi,devlet
14690,yildiz teknik universitesi,devlet
14691,balikesir universitesi,devlet
14692,yildiz teknik universitesi,devlet
14693,marmara universitesi,devlet
14694,ordu universitesi,devlet
14695,yildiz teknik universitesi,devlet
14696,inonu universitesi,devlet
14697,istanbul universitesi,devlet
14698,kahramanmaras sutcu imam,devlet
14699,akdeniz universitesi,devlet
14700,suleyman demirel universitesi,devlet
14701,adiyaman universitesi,devlet
14702,ordu universitesi,devlet
14703,kahramanmaras sutcu imam,devlet
14704,namik kemal universitesi,devlet
14705,istanbul teknik universitesi,devlet
14706,orta dogu teknik universitesi,devlet
14707,bulent ecevit universitesi,devlet
14708,ankara universitesi,devlet
14709,ondokuz mayis universitesi,devlet
14710,ankara universitesi,devlet
14711,hacettepe universitesi,devlet
14712,eskisehir osmangazi universitesi,devlet
14713,istanbul universitesi,devlet
14714,karabuk universitesi,devlet
14715,istanbul universitesi,devlet
14716,eskisehir osmangazi universitesi,devlet
14717,marmara universitesi,devlet
14718,kocaeli universitesi,devlet
14719,orta dogu teknik universitesi,devlet
14720,marmara universitesi,devlet
14721,kocaeli universitesi,devlet
14722,yildiz teknik universitesi,devlet
14723,hacettepe universitesi,devlet
14724,bingol universitesi,devlet
14725,kocaeli universitesi,devlet
14726,bulent ecevit universitesi,devlet
14727,istanbul universitesi,devlet
14728,cumhuriyet universitesi,devlet
14729,gumushane universitesi,devlet
14730,eskisehir osmangazi universitesi,devlet
14731,cukurova universitesi,devlet
14732,kahramanmaras sutcu imam,devlet
14733,dokuz eylul universitesi,devlet
14734,cukurova universitesi,devlet
14735,gaziantep universitesi,devlet
14736,yildirim beyazit universitesi,devlet
14737,mustafa kemal universitesi,devlet
14738,adnan menderes universitesi,devlet
14739,dokuz eylul universitesi,devlet
14740,kahramanmaras sutcu imam,devlet
14741,kahramanmaras sutcu imam,devlet
14742,istanbul universitesi,devlet
14743,balikesir universitesi,devlet
14744,namik kemal universitesi,devlet
14745,ankara universitesi,devlet
14746,pamukkale universitesi,devlet
14747,erciyes universitesi,devlet
14748,istanbul universitesi,devlet
14749,karadeniz teknik universitesi,devlet
14750,firat universitesi,devlet
14751,anadolu universitesi,devlet
14752,suleyman demirel universitesi,devlet
14753,eskisehir osmangazi universitesi,devlet
14754,istanbul universitesi,devlet
14755,istanbul universitesi,devlet
14756,istanbul teknik universitesi,devlet
14757,kocaeli universitesi,devlet
14758,istanbul teknik universitesi,devlet
14759,yildiz teknik universitesi,devlet
14760,istanbul teknik universitesi,devlet
14761,ege universitesi,devlet
14762,dokuz eylul universitesi,devlet
14763,kocaeli universitesi,devlet
14764,selcuk universitesi,devlet
14765,istanbul universitesi,devlet
14766,kocaeli universitesi,devlet
14767,dokuz eylul universitesi,devlet
14768,marmara universitesi,devlet
14769,kirklareli universitesi,devlet
14770,cukurova universitesi,devlet
14771,orta dogu teknik universitesi,devlet
14772,istanbul teknik universitesi,devlet
14773,marmara universitesi,devlet
14774,istanbul universitesi,devlet
14775,cukurova universitesi,devlet
14776,kocaeli universitesi,devlet
14777,istanbul teknik universitesi,devlet
14778,cukurova universitesi,devlet
14779,sakarya universitesi,devlet
14780,ankara universitesi,devlet
14781,gaziantep universitesi,devlet
14782,marmara universitesi,devlet
14783,karadeniz teknik universitesi,devlet
14784,gazi universitesi,devlet
14785,gaziantep universitesi,devlet
14786,gazi universitesi,devlet
14787,mugla sitki kocman universitesi,devlet
14788,gazi universitesi,devlet
14789,cankiri karatekin universitesi,devlet
14790,canakkale onsekiz mart,devlet
14791,bogazici universitesi,devlet
14792,kocaeli universitesi,devlet
14793,dokuz eylul universitesi,devlet
14794,ankara universitesi,devlet
14795,yildiz teknik universitesi,devlet
14796,marmara universitesi,devlet
14797,anadolu universitesi,devlet
14798,orta dogu teknik universitesi,devlet
14799,ankara universitesi,devlet
14800,dokuz eylul universitesi,devlet
14801,selcuk universitesi,devlet
14802,dokuz eylul universitesi,devlet
14803,yildiz teknik universitesi,devlet
14804,eskisehir osmangazi universitesi,devlet
14805,dokuz eylul universitesi,devlet
14806,adiyaman universitesi,devlet
14807,dokuz eylul universitesi,devlet
14808,kahramanmaras sutcu imam,devlet
14809,dokuz eylul universitesi,devlet
14810,sakarya universitesi,devlet
14811,namik kemal universitesi,devlet
14812,sakarya universitesi,devlet
14813,karabuk universitesi,devlet
14814,recep tayyip erdogan universitesi,devlet
14815,ondokuz mayis universitesi,devlet
14816,yildiz teknik universitesi,devlet
14817,balikesir universitesi,devlet
14818,gaziantep universitesi,devlet
14819,balikesir universitesi,devlet
14820,gazi universitesi,devlet
14821,karabuk universitesi,devlet
14822,bogazici universitesi,devlet
14823,marmara universitesi,devlet
14824,istanbul teknik universitesi,devlet
14825,hacettepe universitesi,devlet
14826,necmettin erbakan universitesi,devlet
14827,karabuk universitesi,devlet
14828,erciyes universitesi,devlet
14829,istanbul universitesi,devlet
14830,recep tayyip erdogan universitesi,devlet
14831,ege universitesi,devlet
14832,yildiz teknik universitesi,devlet
14833,marmara universitesi,devlet
14834,suleyman demirel universitesi,devlet
14835,istanbul universitesi,devlet
14836,istanbul universitesi,devlet
14837,canakkale onsekiz mart,devlet
14838,yuzuncu yil universitesi,devlet
14839,erciyes universitesi,devlet
14840,akdeniz universitesi,devlet
14841,trakya universitesi,devlet
14842,kocaeli universitesi,devlet
14843,karadeniz teknik universitesi,devlet
14844,dicle universitesi,devlet
14845,ankara universitesi,devlet
14846,bogazici universitesi,devlet
14847,cukurova universitesi,devlet
14848,istanbul medeniyet universitesi,devlet
14849,marmara universitesi,devlet
14850,agri ibrahim cecen universitesi,devlet
14851,canakkale onsekiz mart,devlet
14852,selcuk universitesi,devlet
14853,adiyaman universitesi,devlet
14854,istanbul universitesi,devlet
14855,adnan menderes universitesi,devlet
14856,ataturk universitesi,devlet
14857,bartin universitesi,devlet
14858,gazi universitesi,devlet
14859,firat universitesi,devlet
14860,hacettepe universitesi,devlet
14861,bogazici universitesi,devlet
14862,marmara universitesi,devlet
14863,abdullah gul universitesi,devlet
14864,karabuk universitesi,devlet
14865,celal bayar universitesi,devlet
14866,kilis 7 aralik universitesi,devlet
14867,hacettepe universitesi,devlet
14868,cumhuriyet universitesi,devlet
14869,suleyman demirel universitesi,devlet
14870,istanbul universitesi,devlet
14871,celal bayar universitesi,devlet
14872,selcuk universitesi,devlet
14873,yildiz teknik universitesi,devlet
14874,kocaeli universitesi,devlet
14875,abant izzet baysal universitesi,devlet
14876,istanbul teknik universitesi,devlet
14877,hacettepe universitesi,devlet
14878,ataturk universitesi,devlet
14879,akdeniz universitesi,devlet
14880,istanbul universitesi,devlet
14881,istanbul teknik universitesi,devlet
14882,izmir yuksek teknoloji enstitusu,devlet
14883,namik kemal universitesi,devlet
14884,karadeniz teknik universitesi,devlet
14885,firat universitesi,devlet
14886,marmara universitesi,devlet
14887,sakarya universitesi,devlet
14888,gazi universitesi,devlet
14889,istanbul universitesi,devlet
14890,ege universitesi,devlet
14891,ege universitesi,devlet
14892,mersin universitesi,devlet
14893,celal bayar universitesi,devlet
14894,trakya universitesi,devlet
14895,dokuz eylul universitesi,devlet
14896,bartin universitesi,devlet
14897,ege universitesi,devlet
14898,dokuz eylul universitesi,devlet
14899,kocaeli universitesi,devlet
14900,ege universitesi,devlet
14901,canakkale onsekiz mart,devlet
14902,bartin universitesi,devlet
14903,balikesir universitesi,devlet
14904,gaziosmanpasa universitesi,devlet
14905,harran universitesi,devlet
14906,sabanci universitesi,devlet
14907,pamukkale universitesi,devlet
14908,anadolu universitesi,devlet
14909,marmara universitesi,devlet
14910,ankara universitesi,devlet
14911,orta dogu teknik universitesi,devlet
14912,artvin coruh universitesi,devlet
14913,anadolu universitesi,devlet
14914,kocaeli universitesi,devlet
14915,yalova universitesi,devlet
14916,cumhuriyet universitesi,devlet
14917,trakya universitesi,devlet
14918,igdir universitesi,devlet
14919,kocaeli universitesi,devlet
14920,erciyes universitesi,devlet
14921,istanbul universitesi,devlet
14922,necmettin erbakan universitesi,devlet
14923,mehmet akif ersoy universitesi,devlet
14924,gazi universitesi,devlet
14925,abant izzet baysal universitesi,devlet
14926,istanbul teknik universitesi,devlet
14927,mugla sitki kocman universitesi,devlet
14928,istanbul teknik universitesi,devlet
14929,erciyes universitesi,devlet
14930,cukurova universitesi,devlet
14931,dicle universitesi,devlet
14932,yildiz teknik universitesi,devlet
14933,sakarya universitesi,devlet
14934,gebze yuksek teknoloji enstitusu,devlet
14935,mimar sinan guzel sanatlar,devlet
14936,pamukkale universitesi,devlet
14937,kocaeli universitesi,devlet
14938,uludag universitesi,devlet
14939,sakarya universitesi,devlet
14940,gazi universitesi,devlet
14941,yildiz teknik universitesi,devlet
14942,yildiz teknik universitesi,devlet
14943,istanbul universitesi,devlet
14944,yildirim beyazit universitesi,devlet
14945,suleyman demirel universitesi,devlet
14946,suleyman demirel universitesi,devlet
14947,uludag universitesi,devlet
14948,kocaeli universitesi,devlet
14949,gaziantep universitesi,devlet
14950,karadeniz teknik universitesi,devlet
14951,cumhuriyet universitesi,devlet
14952,orta dogu teknik universitesi,devlet
14953,bulent ecevit universitesi,devlet
14954,canakkale onsekiz mart,devlet
14955,pamukkale universitesi,devlet
14956,selcuk universitesi,devlet
14957,erzincan universitesi,devlet
14958,ege universitesi,devlet
14959,selcuk universitesi,devlet
14960,bilecik seyh edebali universitesi,devlet
14961,adnan menderes universitesi,devlet
14962,mugla sitki kocman universitesi,devlet
14963,karadeniz teknik universitesi,devlet
14964,ataturk universitesi,devlet
14965,selcuk universitesi,devlet
14966,uludag universitesi,devlet
14967,yildiz teknik universitesi,devlet
14968,yildirim beyazit universitesi,devlet
14969,cukurova universitesi,devlet
14970,namik kemal universitesi,devlet
14971,sakarya universitesi,devlet
14972,karadeniz teknik universitesi,devlet
14973,istanbul universitesi,devlet
14974,dokuz eylul universitesi,devlet
14975,cukurova universitesi,devlet
14976,ankara universitesi,devlet
14977,cukurova universitesi,devlet
14978,yildiz teknik universitesi,devlet
14979,yuzuncu yil universitesi,devlet
14980,gaziantep universitesi,devlet
14981,selcuk universitesi,devlet
14982,bulent ecevit universitesi,devlet
14983,dokuz eylul universitesi,devlet
14984,giresun universitesi,devlet
14985,yildiz teknik universitesi,devlet
14986,adnan menderes universitesi,devlet
14987,anadolu universitesi,devlet
14988,giresun universitesi,devlet
14989,namik kemal universitesi,devlet
14990,ataturk universitesi,devlet
14991,balikesir universitesi,devlet
14992,dicle universitesi,devlet
14993,istanbul universitesi,devlet
14994,yildiz teknik universitesi,devlet
14995,suleyman demirel universitesi,devlet
14996,suleyman demirel universitesi,devlet
14997,selcuk universitesi,devlet
14998,karabuk universitesi,devlet
14999,adiyaman universitesi,devlet
15000,suleyman demirel universitesi,devlet
15001,adnan menderes universitesi,devlet
15002,firat universitesi,devlet
15003,ege universitesi,devlet
15004,dokuz eylul universitesi,devlet
15005,karabuk universitesi,devlet
15006,sakarya universitesi,devlet
15007,cukurova universitesi,devlet
15008,adnan menderes universitesi,devlet
15009,siirt universitesi,devlet
15010,dumlupinar universitesi,devlet
15011,anadolu universitesi,devlet
15012,istanbul universitesi,devlet
15013,balikesir universitesi,devlet
15014,karadeniz teknik universitesi,devlet
15015,istanbul universitesi,devlet
15016,gumushane universitesi,devlet
15017,eskisehir osmangazi universitesi,devlet
15018,istanbul universitesi,devlet
15019,ege universitesi,devlet
15020,adnan menderes universitesi,devlet
15021,balikesir universitesi,devlet
15022,marmara universitesi,devlet
15023,namik kemal universitesi,devlet
15024,cukurova universitesi,devlet
15025,akdeniz universitesi,devlet
15026,bogazici universitesi,devlet
15027,ondokuz mayis universitesi,devlet
15028,trakya universitesi,devlet
15029,kastamonu universitesi,devlet
15030,karadeniz teknik universitesi,devlet
15031,istanbul universitesi,devlet
15032,yildiz teknik universitesi,devlet
15033,anadolu universitesi,devlet
15034,marmara universitesi,devlet
15035,yildiz teknik universitesi,devlet
15036,dokuz eylul universitesi,devlet
15037,dicle universitesi,devlet
15038,trakya universitesi,devlet
15039,abant izzet baysal universitesi,devlet
15040,dicle universitesi,devlet
15041,kocaeli universitesi,devlet
15042,selcuk universitesi,devlet
15043,istanbul universitesi,devlet
15044,usak universitesi,devlet
15045,ankara universitesi,devlet
15046,istanbul teknik universitesi,devlet
15047,istanbul universitesi,devlet
15048,orta dogu teknik universitesi,devlet
15049,trakya universitesi,devlet
15050,karadeniz teknik universitesi,devlet
15051,kocaeli universitesi,devlet
15052,ardahan universitesi,devlet
15053,cukurova universitesi,devlet
15054,hacettepe universitesi,devlet
15055,yuzuncu yil universitesi,devlet
15056,uludag universitesi,devlet
15057,istanbul universitesi,devlet
15058,karabuk universitesi,devlet
15059,karabuk universitesi,devlet
15060,sakarya universitesi,devlet
15061,abant izzet baysal universitesi,devlet
15062,abant izzet baysal universitesi,devlet
15063,giresun universitesi,devlet
15064,karadeniz teknik universitesi,devlet
15065,dumlupinar universitesi,devlet
15066,anadolu universitesi,devlet
15067,dokuz eylul universitesi,devlet
15068,sakarya universitesi,devlet
15069,erciyes universitesi,devlet
15070,yildiz teknik universitesi,devlet
15071,dokuz eylul universitesi,devlet
15072,sakarya universitesi,devlet
15073,celal bayar universitesi,devlet
15074,anadolu universitesi,devlet
15075,eskisehir osmangazi universitesi,devlet
15076,cumhuriyet universitesi,devlet
15077,gazi universitesi,devlet
15078,ankara universitesi,devlet
15079,anadolu universitesi,devlet
15080,mus alparslan universitesi,devlet
15081,yildiz teknik universitesi,devlet
15082,cukurova universitesi,devlet
15083,gaziantep universitesi,devlet
15084,firat universitesi,devlet
15085,suleyman demirel universitesi,devlet
15086,ankara universitesi,devlet
15087,selcuk universitesi,devlet
15088,kocaeli universitesi,devlet
15089,pamukkale universitesi,devlet
15090,dumlupinar universitesi,devlet
15091,ordu universitesi,devlet
15092,karadeniz teknik universitesi,devlet
15093,bogazici universitesi,devlet
15094,afyon kocatepe universitesi,devlet
15095,kastamonu universitesi,devlet
15096,cumhuriyet universitesi,devlet
15097,pamukkale universitesi,devlet
15098,inonu universitesi,devlet
15099,dicle universitesi,devlet
15100,cumhuriyet universitesi,devlet
15101,cukurova universitesi,devlet
15102,erciyes universitesi,devlet
15103,erciyes universitesi,devlet
15104,karadeniz teknik universitesi,devlet
15105,kirikkale universitesi,devlet
15106,yildirim beyazit universitesi,devlet
15107,hacettepe universitesi,devlet
15108,dokuz eylul universitesi,devlet
15109,bogazici universitesi,devlet
15110,abant izzet baysal universitesi,devlet
15111,karabuk universitesi,devlet
15112,istanbul teknik universitesi,devlet
15113,tunceli universitesi,devlet
15114,anadolu universitesi,devlet
15115,istanbul universitesi,devlet
15116,dokuz eylul universitesi,devlet
15117,istanbul universitesi,devlet
15118,yalova universitesi,devlet
15119,cumhuriyet universitesi,devlet
