index,index1,index2,Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
430,430,430,lojistik yonetimi // uluslararasi ticaret ve finansmancap,4,3.0-4.0,0,Null
431,431,431,ingilizce isletme,3,2.5-3.0,0,Null
432,432,432,elektrik-elektronik muhendisligi,hazirlik,Null,0,Null
433,433,433,"enerji sistemleri muhendisligi,elektrik-elektronik muhendisligicift anadal",3,3.0-3.5,0,Null
434,434,434,bankacilik ve finans,4,3.0-3.5,0,Null
435,435,435,psikoloji,4,3.0-3.5,0,Null
436,436,436,isletme ve reklamcilik. cap yapiyorum.,4,3.0-3.5,0,Null
437,437,437,hemsirelik,2,2.5-3.0,0,Null
438,438,438,uluslararasi ticaret ve isletmecilik,3,2.5-3.0,0,Null
439,439,439,bilgisayar muhendisligi anadal/ endustri muhendisligi ikinci anadal,3,3.0-3.5,0,Null
440,440,440,grafik,4,3.0-4.0,1,Null
441,441,441,biyomedikal muhendisligi,3,3.0-4.0,0,Null
442,442,442,uluslararasi ticaret ve finansman,4,3.0-3.5,0,Null
443,443,443,hukuk,4,3.0-3.5,0,Null
444,444,444,ekonomi,hazirlik,Null,0,Null
445,445,445,endustri muhendisligi,3,3.0-4.0,0,Null
446,446,446,yonetim bilisim sistemleri %100 ing.,2,3.0-4.0,0,Null
447,447,447,master of business administration,1,Null,1,Null
448,448,448,gorsel iletisim tasarimi,1,Null,0,Null
449,449,449,sanat sosyal fakultesi,1,Null,0,Null
450,450,450,hukuk ve medya ve iletisim sistemleri anabilim dallarinda %100 osym burslu,4,3.0-4.0,0,Null
451,451,451,ic mimarlik ve cevre tasarimi,1,Null,0,Null
452,452,452,endustri muhendisligi,2,3.0-3.5,0,Null
453,453,453,ekonomi ing,2,3.0-4.0,0,Null
454,454,454,hukuk,3,2.5-3.0,0,Null
455,455,455,bilgisayar muhendisligi,2,2.5-3.0,0,Null
456,456,456,turk dili ve edebiyati,1,Null,0,Null
457,457,457,uluslararasi iliskiler ingilizce,4,3.0-3.5,0,Null
458,458,458,turk dili ve edebiyati,4,2.5-3.0,0,Null
459,459,459,uluslararasi ticaret ve lojistik,4,0.0-2.5,0,Null
460,460,460,petrol ve dogalgaz muhendisligi,2,0.0-2.5,0,Null
461,461,461,uluslararasi ticaret ve lojistik,3,0.0-2.5,0,Null
462,462,462,ingiliz dili ve edebiyati,1,Null,0,Null
463,463,463,geomatik muhendisligi,2,2.5-3.0,0,Null
464,464,464,biyomedikal muhendisligi,4,3.0-3.5,0,Null
465,465,465,mimarlik,3,2.5-3.0,0,Null
466,466,466,psikoloji,2,3.0-3.5,0,Null
467,467,467,halkla iliskiler,2,3.0-3.5,0,Null
468,468,468,isletmeanadal - endustri muhendisligiyandal,2,3.0-3.5,0,Null
469,469,469,insaat muhendisligi ing,1,Null,0,Null
470,470,470,uluslararasi ticaret ve finansman,3,0.0-2.5,0,Null
471,471,471,harita kadastro,2,3.0-4.0,0,Null
472,472,472,isletme,2,0.0-2.5,0,Null
473,473,473,siyaset bilimi ve kamu yonetimi,1,3.0-3.5,0,Null
474,474,474,uluslararasi isletme yonetimi,3,0.0-2.5,0,Null
475,475,475,endustri muhendisligi,2,3.0-3.5,0,Null
476,476,476,elektrik-elektronik muhendisligi,3,2.5-3.0,0,Null
477,477,477,endustri muhendisligi,2,2.5-3.0,0,Null
478,478,478,otomotiv teknolojileri,mezun,Null,0,Null
479,479,479,bilgisayar muhendisligi,3,3.0-3.5,0,Null
480,480,480,tibbi dokumantasyon ve sekreterlik,2,3.0-3.5,0,Null
481,481,481,muhasebe,mezun,3.0-3.5,1,Null
482,482,482,endustri muhendisligi,1,Null,0,Null
483,483,483,saglik kurumlari isletmeciligi,1,3.0-3.5,0,Null
484,484,484,yazilim muhendisligi,2,3.0-4.0,0,Null
485,485,485,eczacilik bolumu,4,3.0-4.0,0,Null
486,486,486,kentsel tasarim ve peyzaj mimarligi,3,2.5-3.0,0,Null
487,487,487,makine,2,0.0-2.5,0,Null
488,488,488,isletme,1,Null,0,Null
489,489,489,ekonomi,2,2.5-3.0,0,Null
490,490,490,endustri muhendisligi,2,3.0-4.0,0,Null
491,491,491,siyaset bilimi ve kamu yonetimi,2,3.0-3.5,0,Null
492,492,492,halkla iliskiler ve reklamcilik,2,3.0-3.5,0,Null
493,493,493,endustri muhendisligi,3,2.5-3.0,0,Null
494,494,494,elektronik muhendisligi,4,3.0-3.5,0,Null
495,495,495,bilgisayar muhendisligi,3,0.0-2.5,0,Null
496,496,496,elektronik ve haberlesme muh.,2,0.0-2.5,0,Null
497,497,497,gazetecilik,4,0.0-2.5,0,Null
498,498,498,halkla iliskiler ve reklamcilik,1,Null,0,Null
499,499,499,otomotiv muhendisligi%100 ing,2,3.0-4.0,0,Null
500,500,500,ekonomi - yonetim bilimleri,1,3.0-3.5,0,Null
501,501,501,ingiliz dili ve edebiyati,2,2.5-3.0,0,Null
502,502,502,bilgisayar muhendisligi,4,3.0-3.5,1,Null
503,503,503,bilgisayar muhendisligi,3,3.0-3.5,0,Null
504,504,504,bilisim sistemleri muhendisligi,mezun,3.0-3.5,0,Null
505,505,505,yazilim muhendisligi,4,2.5-3.0,0,Null
506,506,506,endustri muhendisligi,2,Null,0,Null
507,507,507,computer science engineering,3,2.5-3.0,0,Null
508,508,508,halkla iliskiler,4,3.0-3.5,0,Null
509,509,509,elektronik ve haberlesme muhendisligi,2,0.0-2.5,0,Null
510,510,510,hukuk,1,Null,0,Null
511,511,511,endustri muhendisligi,4,2.5-3.0,0,Null
512,512,512,mimarlik,hazirlik,Null,0,Null
513,513,513,turizm ve otel iletmeciligi,2,3.0-3.5,0,Null
514,514,514,isletme,2,3.0-3.5,0,Null
515,515,515,kontrol ve otomasyon muhendisligi,4,3.0-3.5,0,Null
516,516,516,elektrik elektronik muhendisligi,3,3.0-3.5,0,Null
517,517,517,gazetecilik,2,3.0-4.0,0,Null
518,518,518,makine muhendisligi,3,3.0-3.5,0,Null
519,519,519,hukuk,2,2.5-3.0,0,Null
520,520,520,isletme,2,0.0-2.5,0,Null
521,521,521,isletme,1,Null,0,Null
522,522,522,saglik yonetimi / psikoloji cift anadal,3,3.0-3.5,0,Null
523,523,523,matematik / iktisat cift anadal,3,3.0-3.5,0,Null
524,524,524,siyaset bilimi ve uluslararasi iliskiler,1,Null,0,Null
525,525,525,bilgisayar muhendisligi,4,2.5-3.0,0,Null
526,526,526,endustri muhendisligi,4,3.0-3.5,0,Null
527,527,527,ic mimarlik ve cevre tasarimi,2,2.5-3.0,0,Null
528,528,528,hukuk fakultesi,1,Null,0,Null
529,529,529,uluslararasi finans,3,2.5-3.0,0,Null
530,530,530,bilgisayar muhendisligi ingilizce,4,2.5-3.0,0,Null
531,531,531,endustri muhendisligi,2,2.5-3.0,0,Null
532,532,532,mimarlik bolumu,3,3.0-4.0,0,Null
533,533,533,halkla iliskiler ve reklamcilik,1,Null,0,Null
534,534,534,uluslararasi ticaret,2,2.5-3.0,0,Null
535,535,535,isletme ingilizce,4,0.0-2.5,0,Null
536,536,536,endustri muhendisligi,3,3.0-3.5,0,Null
537,537,537,ingilizce isletme,3,2.5-3.0,0,Null
538,538,538,iktisatingilizce,2,3.0-3.5,0,Null
539,539,539,fizyoterapi ve rehabilitasyon,1,Null,0,Null
540,540,540,kamu yonetimi,4,2.5-3.0,0,Null
541,541,541,gida muhendisligi,4,3.0-4.0,0,Null
542,542,542,ingilizce matematik,1,Null,0,Null
543,543,543,elektrik ve elektronik muendisligi,3,2.5-3.0,0,Null
544,544,544,iktisat,3,3.0-3.5,0,Null
545,545,545,isletme,3,2.5-3.0,1,Null
546,546,546,ingiliz dili ve edebiyati,3,2.5-3.0,0,Null
547,547,547,ingilizce uluslararasi iliskiler,2,2.5-3.0,0,Null
548,548,548,isletme ingilizce,4,3.0-3.5,0,Null
549,549,549,halkla iliskiler ve tanitim,3,3.0-4.0,0,Null
550,550,550,sosyal hizmet,2,3.0-3.5,0,Null
551,551,551,siyaset bilimi ve uluslar arasi iliskiler,hazirlik,Null,0,Null
552,552,552,molekuler biyoloji ve genetik,1,3.0-3.5,0,Null
553,553,553,tip fakultesi,1,Null,0,Null
554,554,554,gida muhendisligi,1,Null,0,Null
555,555,555,bilgisayar programciligi,2,2.5-3.0,0,Null
556,556,556,mimarlik ingilizce,3,3.0-3.5,0,Null
557,557,557,elektrik ve elektronik muhendisligi,4,3.0-3.5,0,Null
558,558,558,yonetim bilimleri,1,Null,0,Null
559,559,559,"otel yoneticiligi lisans ingilizce / hotel management, %100 burslu",hazirlik,Null,0,Null
560,560,560,tip,2,3.0-3.5,0,Null
561,561,561,bilgisayar muhendisligi,4,3.0-4.0,0,Null
562,562,562,muhasebe bilgi sistemler,3,3.0-3.5,0,Null
563,563,563,lojistik yonetimi,2,3.0-4.0,0,Null
564,564,564,elektrik elektronik,3,0.0-2.5,0,Null
565,565,565,isletme bolumu ingilizce,2,2.5-3.0,0,Null
566,566,566,biyomedikal muhendisligi,3,2.5-3.0,0,Null
567,567,567,kimya muhendisligi,4,3.0-3.5,0,Null
568,568,568,endustri muhendisligi,2,2.5-3.0,0,Null
569,569,569,"matematik-bilgisayar, yazilim muhendisligicift anadal",3,3.0-4.0,0,Null
570,570,570,bilgisayar muhendisligi,3,0.0-2.5,0,Null
571,571,571,maliye,3,Null,0,Null
572,572,572,endustri muhendisligi,4,3.0-4.0,0,Null
573,573,573,girisimcilik,hazirlik,Null,0,Null
574,574,574,halkla iliskiler - reklamcilik,4,3.0-4.0,0,Null
575,575,575,ingilizce ekonomi,2,3.0-3.5,0,Null
576,576,576,ic mimarlik ve cevre tasarimi,1,3.0-4.0,0,Null
577,577,577,bilgisayar muhendisligi,3,3.0-4.0,0,Null
578,578,578,dis ticaret,mezun,2.5-3.0,0,Null
579,579,579,bankacilik ve finans,3,3.0-3.5,0,Null
580,580,580,tip fakultesi,2,3.0-3.5,0,Null
581,581,581,saglik yonetimi,3,3.0-3.5,0,Null
582,582,582,isletme bilgi yonetimi,3,3.0-4.0,0,Null
583,583,583,elektrik - elektronik muhendisligi,3,2.5-3.0,0,Null
584,584,584,uluslararasi ticaret ve isletmecilik,2,2.5-3.0,0,Null
585,585,585,sigortacilik ve risk yonetimi,2,0.0-2.5,0,Null
586,586,586,elektrik ve elektronik muhendisligi,2,3.0-3.5,0,Null
587,587,587,edebiyat,3,Null,0,Null
588,588,588,uluslararasi girisimcilik,3,2.5-3.0,0,Null
589,589,589,mekatronik muhendisligi,1,Null,0,Null
590,590,590,bilisim sistemleri muhendisligi,2,2.5-3.0,0,Null
591,591,591,undecleared,2,0.0-2.5,0,Null
592,592,592,mekatronik muhendisligi,2,3.0-4.0,0,Null
593,593,593,hukuk,2,Null,0,Null
594,594,594,bilgisayar muhendisligi,4,0.0-2.5,0,Null
595,595,595,makina muhendisligi,2,3.0-4.0,0,Null
596,596,596,yazilim muhendisligi,4,3.0-3.5,1,Null
597,597,597,hukuk,3,3.0-4.0,0,Null
598,598,598,endustri muhendisligi,4,0.0-2.5,0,Null
599,599,599,kimya muhendisligi,4,2.5-3.0,0,Null
600,600,600,isletme,4,0.0-2.5,0,Null
601,601,601,yazilim muhendisligi,4,0.0-2.5,0,Null
602,602,602,hemsirelik,1,2.5-3.0,0,Null
603,603,603,bilgisayar muhendisligi,mezun,0.0-2.5,0,Null
604,604,604,makine muhendisligi %100 ingilizce,4,3.0-4.0,0,Null
605,605,605,tip fakultesi,3,2.5-3.0,0,Null
606,606,606,kamu yonetimi / siyaset bilimi ve uluslararasi iliskiler/ gazetecilik,4,3.0-4.0,1,Null
607,607,607,turizm ve otel isletmeciligi,2,3.0-3.5,0,Null
608,608,608,uluslararasi ticaret ve lojistik,3,3.0-3.5,0,Null
609,609,609,endustri muhendisligi,2,3.0-4.0,0,Null
610,610,610,bilgisayar muhendisligi,4,0.0-2.5,0,Null
611,611,611,uluslararasi iliskiler,2,3.0-4.0,0,Null
612,612,612,hukuk,2,3.0-4.0,0,Null
613,613,613,hukuk,2,3.0-4.0,0,Null
614,614,614,endustri muhendisligi,4,3.0-4.0,0,Null
615,615,615,tip,4,3.0-4.0,0,Null
616,616,616,hukuk,3,2.5-3.0,0,Null
617,617,617,matematik,3,2.5-3.0,0,Null
618,618,618,bilgisayar muhendisligi,4,2.5-3.0,0,Null
619,619,619,isletme,2,3.0-4.0,0,Null
620,620,620,isletme / endustri muhendisligi cap,4,3.0-3.5,0,Null
621,621,621,endustri muhendisligi,3,2.5-3.0,0,Null
622,622,622,siyaset bilimi ve kamu yonetimi%100 yok burslu-%100 ingilizce,1,3.0-4.0,0,Null
623,623,623,endustri muhendisligi,2,0.0-2.5,0,Null
624,624,624,iktisatingilizce ve hukukcap / istanbul universitesi sosyoloji acik ve uzaktan egitim fakultesi,4,3.0-3.5,0,Null
625,625,625,endustri muhendisligi,4,0.0-2.5,0,Null
626,626,626,biyomedikal muhendisligi,2,2.5-3.0,0,Null
627,627,627,isletme anadal bolumu 4. sinif - endustri muhendisligi cift anadal bolumu 3. sinif,4,3.0-4.0,0,Null
628,628,628,endustri muhendisligi,2,3.0-4.0,0,Null
629,629,629,isletme,3,3.0-4.0,0,Null
630,630,630,endustri muhendisligi,3,3.0-4.0,0,Null
631,631,631,halkla iliskiler ve reklamcilik,2,2.5-3.0,0,Null
632,632,632,endustri muhendisligi,2,3.0-4.0,0,Null
633,633,633,hukuk fakultesi,4,2.5-3.0,0,Null
634,634,634,elektrik-elektronik muhendisligi,3,2.5-3.0,0,Null
635,635,635,isletme,4,3.0-3.5,0,Null
636,636,636,yonetim bilimleri programlari,4,3.0-4.0,0,Null
637,637,637,uluslararasi isletmecilik ve ticaret,2,3.0-4.0,0,Null
638,638,638,bilgisayar muhendisligi,2,3.0-4.0,0,Null
639,639,639,yonetim bilisim sistemleri mis,1,Null,0,Null
640,640,640,business administration,2,3.0-4.0,0,Null
641,641,641,yonetim bilimleri programi,1,3.0-3.5,0,Null
642,642,642,isletme,3,3.0-3.5,0,Null
643,643,643,insaat muhendisligi,2,3.0-4.0,0,Null
644,644,644,business administration,2,3.0-4.0,0,Null
645,645,645,"psikoloji, saglik yonetimi",4,3.0-3.5,0,Null
646,646,646,psikoloji,3,3.0-3.5,0,Null
647,647,647,hukuk,4,3.0-3.5,0,Null
648,648,648,elektrik-elektronik muhendisligi,1,3.0-3.5,0,Null
649,649,649,cevre muhendisligi ingilizce,3,3.0-3.5,0,Null
650,650,650,isletme - uluslararasi ticaret ve lojistik yonetimi cap,4,3.0-4.0,0,Null
651,651,651,uluslararasi ticaret ve finansman,2,3.0-3.5,0,Null
652,652,652,ekonomi,2,3.0-3.5,0,Null
653,653,653,endustri muhendisligi,2,3.0-3.5,0,Null
654,654,654,isletmeingilizce,2,3.0-3.5,0,Null
655,655,655,tip fakultesi,3,3.0-3.5,0,Null
656,656,656,bilgisayar muhendisligi,3,3.0-3.5,0,Null
657,657,657,endustri ve sistem muhendisligi,4,2.5-3.0,0,Null
658,658,658,isletme %100 ing.,4,3.0-3.5,0,Null
659,659,659,hukuk fakultesi,2,3.0-3.5,0,Null
660,660,660,ekonomi,2,3.0-4.0,0,Null
661,661,661,ekonomi,2,0.0-2.5,0,Null
662,662,662,yonetim bilimleri,2,3.0-3.5,0,Null
663,663,663,hukuk,3,3.0-3.5,0,Null
664,664,664,psikoloji,3,3.0-3.5,0,Null
665,665,665,hemsirelik,3,2.5-3.0,0,Null
666,666,666,elektrik ve elektronik muhendisligi ingilizce,1,3.0-4.0,0,Null
667,667,667,tarih,3,0.0-2.5,0,Null
668,668,668,beslenme ve diyetetik,1,Null,0,Null
669,669,669,tip,2,2.5-3.0,0,Null
670,670,670,insaat muhendisligi,4,3.0-4.0,0,Null
671,671,671,gorsel iletisim tasarimi,3,3.0-4.0,0,Null
672,672,672,endustri muhendisligi,1,2.5-3.0,0,Null
673,673,673,bilgisayar muhendisligi,3,2.5-3.0,0,Null
674,674,674,uluslararasi ticaret,1,Null,0,Null
675,675,675,tarih,4,0.0-2.5,0,Null
676,676,676,hukuk,1,3.0-3.5,0,Null
677,677,677,istatistik,4,3.0-3.5,0,Null
678,678,678,ekonomi ve finans / siyasal bilimler ciftanadal,2,3.0-4.0,0,Null
679,679,679,isletme,3,3.0-3.5,0,Null
680,680,680,girisimcilik,2,2.5-3.0,0,Null
681,681,681,hemsirelik,4,3.0-3.5,0,Null
682,682,682,sanat tasarim fakultesi / tekstil ve moda tasarimi,2,2.5-3.0,0,Null
683,683,683,isletme muhendisligi,1,3.0-3.5,0,Null
684,684,684,istatistik,3,3.0-3.5,0,Null
685,685,685,mimarlik,4,3.0-3.5,0,Null
686,686,686,hukuk,2,2.5-3.0,0,Null
687,687,687,endustri muhendisligi,4,2.5-3.0,0,Null
688,688,688,endustri muhendisligi,4,2.5-3.0,0,Null
689,689,689,muhendislik ve doga bilimleri,1,3.0-4.0,0,Null
690,690,690,endustri muhendisligi,3,2.5-3.0,0,Null
691,691,691,mimarlik ing,2,3.0-3.5,0,Null
692,692,692,psikoloji,2,3.0-3.5,0,Null
693,693,693,"kimya-biyoloji muhendisligi, endustri muhendisligi cift anadal",4,2.5-3.0,0,Null
694,694,694,malzeme bilimi ve muhendisligi,1,2.5-3.0,0,Null
695,695,695,uluslararasi girisimcilik,2,2.5-3.0,0,Null
696,696,696,elektrik - elektronik muhendisligi,3,2.5-3.0,0,Null
697,697,697,uluslararasi ticaret ve finansman,4,3.0-4.0,0,Null
698,698,698,ingilizce isletme,1,0.0-2.5,0,Null
699,699,699,endustri muhendisligi,4,3.0-4.0,0,Null
700,700,700,bilgisayar muhendisligi,1,Null,0,Null
701,701,701,uluslararasi iliskiler,2,3.0-4.0,0,Null
702,702,702,muhasebe bilgi sistemleri/accounting information systems,4,2.5-3.0,0,Null
703,703,703,isletme,2,3.0-3.5,0,Null
704,704,704,endustri muhendisligi,2,2.5-3.0,0,Null
705,705,705,endustri muhendisligi,3,0.0-2.5,0,Null
706,706,706,psikoloji,1,Null,0,Null
707,707,707,bilgisayar muhendisligi,4,3.0-4.0,0,Null
708,708,708,psikoloji,4,3.0-4.0,0,Null
709,709,709,cocuk gelisimi,2,2.5-3.0,0,Null
710,710,710,endustri muhendisligi,2,0.0-2.5,0,Null
711,711,711,Null,1,Null,0,Null
712,712,712,endustri muhendisligi,1,Null,0,Null
713,713,713,ceviribilim,3,3.0-4.0,0,Null
714,714,714,moda tasarim,4,2.5-3.0,0,Null
715,715,715,makine muhendisligi,3,0.0-2.5,0,Null
716,716,716,uluslararasi ticaret ve lojistik,3,2.5-3.0,0,Null
717,717,717,uluslararasi iliskiler ingilizce - siyaset bilimi ve kamu yonetimi yandal,2,3.0-4.0,0,Null
718,718,718,psikoloji/insan ve toplum bilimleri,4,3.0-4.0,0,Null
719,719,719,endustri muhendisligi,3,2.5-3.0,0,Null
720,720,720,siyaset bilimi ve uluslararasi iliskiler,1,Null,0,Null
721,721,721,ingilizce isletme,2,Null,0,Null
722,722,722,psikoloji,4,3.0-4.0,0,Null
723,723,723,mimarlik,2,3.0-4.0,0,Null
724,724,724,tip fakultesi,4,3.0-4.0,0,Null
725,725,725,endustri muhendisligi,2,3.0-3.5,0,Null
726,726,726,endustri muhendisligi,1,Null,0,Null
727,727,727,reklam tasarimi ve iletisim,1,3.0-4.0,0,Null
728,728,728,uluslararasi iliskiler- iktisatcift anadal,4,3.0-3.5,0,Null
729,729,729,bilgisayar muhendisligi,3,3.0-3.5,0,Null
730,730,730,isletmehukuk,4,3.0-4.0,0,Null
731,731,731,bilgisayar muhendisligi,2,0.0-2.5,0,Null
732,732,732,uluslararasi ticaret ve finansman / uluslararasi lojistik yonetimi cift anadal,3,3.0-4.0,0,Null
733,733,733,uluslararasi iliskiler,1,3.0-4.0,0,Null
734,734,734,sivil hava ulastirma isletmeciligi,1,3.0-4.0,0,Null
735,735,735,isletme,2,0.0-2.5,0,Null
736,736,736,endustri muhendisligi,3,3.0-3.5,0,Null
737,737,737,endustri muhendisligi-ingilizce %75 burslu,2,0.0-2.5,0,Null
738,738,738,"bilgisayar muhendisligini bitirdim, ciftdalim olan elektrik elektronik muhendisligi okuyorum",4,3.0-3.5,1,Null
739,739,739,ekonomi,2,3.0-4.0,0,Null
740,740,740,rehberlik ve psikolojik danismanlik,1,3.0-4.0,0,Null
741,741,741,isletme,3,3.0-3.5,0,Null
742,742,742,endustri muhendisligi,4,0.0-2.5,0,Null
743,743,743,yazilim muhendisligi,3,3.0-3.5,0,Null
744,744,744,ingilizce isletme,4,3.0-3.5,0,Null
745,745,745,sosyoloji ekonomi cift anadal,3,3.0-3.5,0,Null
746,746,746,lojistik yonetimi,4,3.0-3.5,0,Null
747,747,747,psikoloji ingilizce,4,3.0-3.5,0,Null
748,748,748,endustri muhendisligi,1,3.0-3.5,0,Null
749,749,749,isletme ekonomi ile cift ana dal,3,3.0-3.5,0,Null
750,750,750,uluslararasi finans,4,3.0-3.5,0,Null
751,751,751,hukuk,4,3.0-3.5,0,Null
752,752,752,endustri muhendisligi,3,3.0-3.5,0,Null
753,753,753,isletme,3,3.0-3.5,0,Null
754,754,754,isletme,2,2.5-3.0,0,Null
755,755,755,endustri muhendisligi,2,2.5-3.0,0,Null
756,756,756,insaat muhendisligi,2,3.0-3.5,0,Null
757,757,757,bilgisayar muhendisligi,1,0.0-2.5,0,Null
758,758,758,bilgisayar bilimi,2,3.0-4.0,0,Null
759,759,759,ergoterapi,3,3.0-3.5,0,Null
760,760,760,endustri muhendisligi,3,3.0-3.5,0,Null
761,761,761,endustri muhendisligi,4,2.5-3.0,0,Null
762,762,762,technology and knowledge management,3,2.5-3.0,0,Null
763,763,763,ekonomi %30 ing,4,3.0-3.5,1,Null
764,764,764,endustri muhendisligi,1,Null,0,Null
765,765,765,uluslararasi iliskiler,3,3.0-4.0,0,Null
766,766,766,elektrik ve elektronik muhendisligi,3,2.5-3.0,0,Null
767,767,767,uluslararasi iliskiler,4,3.0-4.0,0,Null
768,768,768,elektrik-elektronik muhendisligi,2,3.0-4.0,0,Null
769,769,769,kontrol ve otomasyon muhendisligi,3,Null,0,Null
770,770,770,enerji sistemleri muhendisligi-endustri muhendisligicift anadal,3,3.0-4.0,0,Null
771,771,771,mekatronik muhendisligi,3,2.5-3.0,0,Null
772,772,772,matematik muhendisligi - matematik,5,0.0-2.5,0,Null
773,773,773,bilgisayar muhendisligi,3,3.0-4.0,0,Null
774,774,774,uluslararasi iliskiler - iktisat cift anadal,4,3.0-4.0,0,Null
775,775,775,gorsel iletisim tasarimi,3,2.5-3.0,0,Null
776,776,776,ekonomi ve finans,4,3.0-4.0,1,Null
777,777,777,yazilim muhendisligi,hazirlik,Null,0,Null
778,778,778,isletme,2,3.0-3.5,0,Null
779,779,779,"uluslararasi ticaret, tam burslu",4,2.5-3.0,0,Null
780,780,780,elektrik-elektronik muhendisligi,4,3.0-3.5,0,Null
781,781,781,uluslararasi ticaret,2,2.5-3.0,0,Null
782,782,782,biyomedikal muhendisligi,hazirlik,3.0-4.0,0,Null
783,783,783,makina muhendisligi,2,3.0-3.5,0,Null
784,784,784,radyo ve televizyon ingilizce,1,3.0-4.0,0,Null
785,785,785,uluslararasi iliskiler ve avrupa birligi,3,2.5-3.0,0,Null
786,786,786,hukuk,3,3.0-3.5,0,Null
787,787,787,endustri muhendisligi,2,3.0-4.0,0,Null
788,788,788,elektrik elektronik muhendisligi,1,2.5-3.0,0,Null
789,789,789,uluslararasi iliskiler,4,Null,0,Null
790,790,790,endustri muhendisligi,3,0.0-2.5,0,Null
791,791,791,uzay muhendisligi,3,0.0-2.5,0,Null
792,792,792,halkla iliskiler,4,3.0-4.0,0,Null
793,793,793,endustri muhendisligi,3,3.0-3.5,0,Null
794,794,794,yazilim muhendisligi,3,0.0-2.5,0,Null
795,795,795,elektrik elektronik muh,3,0.0-2.5,0,Null
796,796,796,matematik,4,0.0-2.5,0,Null
797,797,797,turizm ve otel isletmeciligi,2,2.5-3.0,0,Null
798,798,798,uluslararasi ticaret,1,3.0-3.5,0,Null
799,799,799,isletme,2,0.0-2.5,0,Null
800,800,800,hukuk,2,0.0-2.5,0,Null
801,801,801,management yonetim bilimleri,3,0.0-2.5,0,Null
802,802,802,halkla iliskiler ve reklamcilik,3,3.0-3.5,0,Null
803,803,803,tip,6,3.0-3.5,0,Null
804,804,804,endustri muhendisligi,3,0.0-2.5,0,Null
805,805,805,isletme,4,0.0-2.5,0,Null
806,806,806,endustri muhendisligi,2,2.5-3.0,0,Null
807,807,807,elektrik-elektronik muhendisligi ve ekonomi cift anadal ogrencisi,4,3.0-4.0,0,Null
808,808,808,biyomedikal muhendisligi,4,0.0-2.5,0,Null
809,809,809,endustri muhendisligi,2,3.0-3.5,0,Null
810,810,810,marka iletisimi,1,3.0-3.5,1,Null
811,811,811,matemataik - ekonomi,3,2.5-3.0,0,Null
812,812,812,mimarlik,2,3.0-3.5,0,Null
813,813,813,isletme,1,3.0-4.0,0,Null
814,814,814,elektrik elektronik muhendisligi,1,0.0-2.5,0,Null
815,815,815,ekonomi,3,3.0-3.5,0,Null
816,816,816,molekuler biyoloji ve genetik,4,2.5-3.0,0,Null
817,817,817,yonetim bilimleri,3,2.5-3.0,0,Null
818,818,818,endustri muhendisligitam burslu,1,Null,0,Null
819,819,819,hukuk,1,Null,0,Null
820,820,820,uluslararasi ticaret ve isletmecilik,Null,2.5-3.0,0,Null
821,821,821,endustri muhendisligi,4,3.0-4.0,0,Null
822,822,822,antropoloji,4,2.5-3.0,0,Null
823,823,823,international trade and business,1,2.5-3.0,0,Null
824,824,824,kimya,3,2.5-3.0,0,Null
825,825,825,radyo televizyon sinema,1,Null,0,Null
826,826,826,matematik,2,3.0-4.0,0,Null
827,827,827,halkla iliskiler ve tanitim,2,3.0-3.5,0,Null
828,828,828,isletme,2,3.0-3.5,0,Null
829,829,829,iktisadi ve idari bilimler programciligi,hazirlik,Null,0,Null
830,830,830,hukuk,1,Null,0,Null
831,831,831,elektrik-elektronik muhendisligi,3,3.0-4.0,0,Null
832,832,832,isletme,2,3.0-4.0,0,Null
833,833,833,uluslararasi lojistik ve tasimacilik/cift anadal: uluslararasi ticaret ve isletmecilik,4,3.0-4.0,0,Null
834,834,834,tarih,1,Null,0,Null
835,835,835,bilgisayar muhendisligi ingilizce,3,3.0-4.0,0,Null
836,836,836,endustri muhendisligi,3,3.0-4.0,0,Null
837,837,837,mimarlik,2,3.0-4.0,0,Null
838,838,838,uluslararasi ticaret,2,3.0-4.0,0,Null
839,839,839,ekonomi,3,3.0-3.5,0,Null
840,840,840,uluslararasi iliskiler,2,3.0-4.0,0,Null
841,841,841,yonetim bilimleri fakultesi,2,0.0-2.5,0,Null
842,842,842,isletme ingilizce,1,3.0-4.0,0,Null
843,843,843,lojistik yonetimi || uluslararasi ticaret ve finansmancift anadal,4,3.0-3.5,0,Null
844,844,844,ingilizce isletme %100 burslu,1,3.0-4.0,0,Null
845,845,845,mimarlik,hazirlik,Null,0,Null
846,846,846,bilgisayar muhendisligi,4,2.5-3.0,0,Null
847,847,847,endustri muhendisligi,1,Null,0,Null
848,848,848,saglik kurumlari isletmeciligi,3,3.0-3.5,0,Null
849,849,849,isletme,2,3.0-3.5,0,Null
850,850,850,ingilizce tip,2,3.0-3.5,0,Null
851,851,851,matematik-bilgisayar,3,0.0-2.5,0,Null
852,852,852,gazetecilik,5,3.0-3.5,0,Null
853,853,853,uluslararasi ticaret ve isletmecilik,3,0.0-2.5,0,Null
854,854,854,isletme,3,2.5-3.0,0,Null
855,855,855,hukuk,3,3.0-4.0,0,Null
856,856,856,siyaset bilimi ve kamu yonetimi,2,Null,0,Null
