index,Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Kardes Sayisi
454,lise,hayir,calismiyor,ilkokul,emekli,calismiyor,4
455,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
456,ilkokul,hayir,calismiyor,lise,evet,diger,1
457,egitimi yok,hayir,calismiyor,egitimi yok,hayir,calismiyor,11
458,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,8
459,lise,emekli,calismiyor,ortaokul,emekli,calismiyor,1
460,egitimi yok,hayir,calismiyor,Null,Null,Null,Null
461,egitimi yok,hayir,calismiyor,lise,evet,diger,3
462,ortaokul,hayir,calismiyor,Null,Null,Null,Null
463,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,0
464,ilkokul,hayir,calismiyor,universite,evet,kamu,4
465,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,4
466,lise,emekli,calismiyor,ilkokul,hayir,calismiyor,1
467,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1
468,lise,emekli,calismiyor,Null,Null,Null,Null
469,ilkokul,hayir,calismiyor,lise,evet,ozel sektor,2
470,lise,evet,diger,ortaokul,emekli,calismiyor,2
471,ilkokul,hayir,calismiyor,ortaokul,hayir,calismiyor,3
472,lise,evet,ozel sektor,ortaokul,evet,ozel sektor,1
473,universite,evet,kamu,Null,evet,kamu,2
474,ilkokul,emekli,calismiyor,ilkokul,emekli,calismiyor,2
475,ilkokul,hayir,calismiyor,ilkokul,evet,diger,0
476,egitimi yok,hayir,calismiyor,Null,Null,Null,Null
477,ilkokul,hayir,calismiyor,lise,hayir,calismiyor,3
478,ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,1
479,ilkokul,emekli,calismiyor,lise,emekli,calismiyor,1
480,ilkokul,hayir,calismiyor,Null,Null,Null,Null
481,universite,evet,ozel sektor,ilkokul,emekli,calismiyor,2
482,ilkokul,emekli,calismiyor,ortaokul,emekli,calismiyor,2
483,ilkokul,evet,diger,ilkokul,emekli,calismiyor,4
484,ortaokul,hayir,calismiyor,universite,evet,kamu,4
485,ortaokul,hayir,calismiyor,ortaokul,evet,diger,1
486,universite,evet,kamu,Null,evet,kamu,1
487,lise,hayir,calismiyor,lise,evet,ozel sektor,0
488,universite,evet,kamu,lise,hayir,calismiyor,1
489,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,3
490,universite,hayir,calismiyor,universite,evet,ozel sektor,1
491,ortaokul,hayir,calismiyor,universite,evet,kamu,1
492,ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,5
493,ilkokul,hayir,calismiyor,ilkokul,evet,diger,3
494,egitimi yok,evet,ozel sektor,ilkokul,emekli,calismiyor,2
495,universite,evet,kamu,Null,Null,Null,Null
496,ilkokul,hayir,calismiyor,lise,evet,kamu,1
497,ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,2
498,ilkokul,hayir,calismiyor,egitimi yok,evet,diger,4
499,ortaokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
500,universite,emekli,calismiyor,Null,evet,kamu,1
501,ilkokul,hayir,calismiyor,egitimi yok,hayir,calismiyor,1
502,universite,evet,kamu,lise,evet,ozel sektor,1
503,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,1
504,ortaokul,hayir,calismiyor,ortaokul,evet,ozel sektor,3
505,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1
506,ilkokul,hayir,calismiyor,universite,evet,kamu,2
507,ilkokul,hayir,calismiyor,universite,evet,kamu,3
508,ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,2
509,universite,emekli,calismiyor,Null,Null,Null,Null
510,ilkokul,hayir,calismiyor,Null,Null,Null,Null
511,ilkokul,emekli,calismiyor,egitimi yok,Null,calismiyor,Null
512,egitimi yok,hayir,calismiyor,Null,Null,Null,Null
513,universite,hayir,calismiyor,universite,evet,ozel sektor,4
514,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2
515,lise,evet,ozel sektor,universite,evet,ozel sektor,1
516,ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,2
517,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,4
518,universite,evet,diger,universite,evet,kamu,Null
519,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
520,lise,hayir,calismiyor,Null,Null,Null,Null
521,lise,hayir,calismiyor,universite,emekli,calismiyor,1
522,lise,emekli,calismiyor,Null,evet,kamu,1
523,lise,hayir,calismiyor,ortaokul,emekli,calismiyor,1
524,ortaokul,hayir,calismiyor,universite,evet,diger,2
525,universite,hayir,calismiyor,universite,evet,ozel sektor,2
526,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1
527,egitimi yok,hayir,calismiyor,ilkokul,emekli,diger,5
528,lise,hayir,calismiyor,lise,hayir,calismiyor,1
529,universite,evet,kamu,universite,emekli,calismiyor,1
530,ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,3
531,lise,hayir,calismiyor,Null,Null,Null,Null
532,ortaokul,hayir,calismiyor,universite,emekli,calismiyor,4
533,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1
534,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1
535,universite,emekli,calismiyor,lise,emekli,calismiyor,1
536,ortaokul,hayir,calismiyor,lise,evet,ozel sektor,2
537,ilkokul,emekli,calismiyor,lise,hayir,calismiyor,3
538,lise,hayir,calismiyor,lise,evet,ozel sektor,2
539,universite,hayir,calismiyor,lise,evet,diger,0
540,universite,emekli,calismiyor,Null,Null,Null,Null
541,lise,hayir,calismiyor,universite,evet,kamu,2
542,lise,hayir,calismiyor,ilkokul,evet,ozel sektor,1
543,lise,hayir,calismiyor,Null,evet,kamu,4
544,ilkokul,hayir,calismiyor,ilkokul,evet,diger,4
545,ortaokul,evet,ozel sektor,ilkokul,emekli,calismiyor,0
546,universite,evet,kamu,universite,evet,kamu,2
547,ortaokul,hayir,calismiyor,ilkokul,evet,diger,3
548,ortaokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
549,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1
550,ilkokul,hayir,calismiyor,egitimi yok,evet,ozel sektor,2
551,ilkokul,evet,diger,lise,evet,ozel sektor,0
552,lise,hayir,calismiyor,Null,Null,Null,Null
553,ilkokul,hayir,calismiyor,Null,Null,Null,Null
554,ortaokul,evet,ozel sektor,ilkokul,emekli,calismiyor,1
555,ortaokul,emekli,calismiyor,universite,emekli,calismiyor,2
556,ilkokul,hayir,calismiyor,ortaokul,Null,calismiyor,1
557,lise,evet,diger,universite,evet,diger,0
558,ilkokul,emekli,calismiyor,lise,emekli,calismiyor,1
559,universite,evet,kamu,universite,evet,ozel sektor,3
560,lise,emekli,calismiyor,lise,emekli,calismiyor,2
561,universite,emekli,calismiyor,Null,emekli,calismiyor,0
562,lise,hayir,calismiyor,lise,evet,ozel sektor,3
563,ilkokul,hayir,calismiyor,Null,Null,Null,Null
564,lise,emekli,calismiyor,lise,evet,ozel sektor,1
565,Null,evet,kamu,Null,emekli,calismiyor,0
566,ilkokul,hayir,calismiyor,lise,evet,diger,2
567,ilkokul,hayir,calismiyor,ortaokul,evet,diger,1
568,lise,evet,kamu,universite,evet,kamu,1
569,egitimi yok,hayir,calismiyor,egitimi yok,evet,diger,7
570,lise,hayir,calismiyor,ilkokul,evet,kamu,5
571,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,7
572,ilkokul,hayir,calismiyor,Null,Null,Null,Null
573,ortaokul,hayir,calismiyor,ortaokul,evet,diger,2
574,ortaokul,evet,ozel sektor,ilkokul,evet,ozel sektor,0
575,lise,hayir,calismiyor,lise,hayir,calismiyor,1
576,lise,hayir,calismiyor,ortaokul,emekli,calismiyor,2
577,ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,1
578,lise,evet,diger,egitimi yok,Null,calismiyor,0
579,lise,hayir,calismiyor,lise,emekli,calismiyor,3
580,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
581,lise,hayir,calismiyor,lise,evet,ozel sektor,3
582,lise,hayir,calismiyor,universite,evet,kamu,1
583,ilkokul,emekli,calismiyor,lise,emekli,calismiyor,1
584,universite,hayir,calismiyor,lise,evet,kamu,3
585,ortaokul,hayir,calismiyor,lise,evet,ozel sektor,3
586,ortaokul,hayir,calismiyor,universite,evet,kamu,1
587,ilkokul,hayir,calismiyor,ilkokul,evet,diger,2
588,ilkokul,evet,ozel sektor,ilkokul,evet,ozel sektor,2
589,lise,hayir,calismiyor,universite,emekli,ozel sektor,5
590,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1
591,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
592,lise,emekli,calismiyor,universite,evet,kamu,1
593,ortaokul,hayir,calismiyor,lise,emekli,calismiyor,1
594,lise,hayir,calismiyor,universite,evet,kamu,3
595,ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,2
596,ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,2
597,ilkokul,evet,ozel sektor,Null,Null,Null,Null
598,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,4
599,ortaokul,hayir,calismiyor,lise,hayir,calismiyor,1
600,lise,hayir,calismiyor,universite,evet,diger,0
601,lise,hayir,calismiyor,universite,evet,ozel sektor,1
602,egitimi yok,hayir,calismiyor,lise,evet,diger,1
603,universite,emekli,calismiyor,egitimi yok,hayir,calismiyor,0
604,Null,emekli,calismiyor,Null,evet,kamu,2
605,universite,evet,kamu,universite,emekli,calismiyor,0
606,Null,evet,kamu,universite,hayir,calismiyor,2
607,lise,hayir,calismiyor,lise,evet,ozel sektor,1
608,egitimi yok,hayir,calismiyor,lise,hayir,calismiyor,9
609,universite,evet,kamu,universite,evet,kamu,1
610,universite,hayir,calismiyor,Null,evet,ozel sektor,1
611,universite,evet,kamu,universite,evet,diger,2
612,lise,hayir,calismiyor,universite,hayir,calismiyor,1
613,lise,hayir,calismiyor,universite,hayir,calismiyor,1
614,lise,hayir,calismiyor,lise,emekli,calismiyor,2
615,lise,emekli,calismiyor,lise,emekli,calismiyor,1
616,universite,emekli,calismiyor,Null,evet,kamu,2
617,universite,evet,kamu,Null,evet,kamu,2
618,lise,emekli,calismiyor,universite,evet,kamu,1
619,ortaokul,hayir,calismiyor,ortaokul,hayir,calismiyor,1
620,universite,evet,ozel sektor,universite,evet,diger,0
621,ortaokul,evet,ozel sektor,universite,evet,ozel sektor,1
622,ortaokul,hayir,calismiyor,lise,evet,diger,1
623,ortaokul,hayir,calismiyor,universite,evet,kamu,1
624,lise,hayir,calismiyor,ortaokul,emekli,calismiyor,1
625,universite,hayir,calismiyor,universite,evet,ozel sektor,1
626,ortaokul,hayir,calismiyor,lise,emekli,calismiyor,0
627,lise,hayir,calismiyor,lise,emekli,calismiyor,2
628,lise,hayir,calismiyor,universite,emekli,calismiyor,2
629,Null,emekli,calismiyor,universite,emekli,calismiyor,1
630,lise,hayir,calismiyor,universite,evet,ozel sektor,1
631,ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,4
632,universite,evet,kamu,universite,evet,kamu,2
633,egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,5
634,universite,hayir,calismiyor,universite,emekli,ozel sektor,2
635,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
636,lise,hayir,calismiyor,universite,evet,ozel sektor,1
637,lise,hayir,calismiyor,universite,evet,ozel sektor,1
638,lise,hayir,calismiyor,universite,evet,kamu,3
639,universite,emekli,calismiyor,universite,emekli,calismiyor,2
640,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,2
641,universite,evet,kamu,universite,evet,kamu,3
642,universite,evet,kamu,universite,evet,ozel sektor,1
643,universite,hayir,calismiyor,universite,evet,kamu,2
644,lise,evet,ozel sektor,universite,evet,ozel sektor,2
645,lise,emekli,calismiyor,Null,emekli,calismiyor,1
646,ilkokul,hayir,calismiyor,lise,evet,ozel sektor,2
647,universite,hayir,calismiyor,universite,evet,kamu,2
648,universite,evet,kamu,lise,emekli,calismiyor,1
649,lise,hayir,calismiyor,universite,emekli,calismiyor,4
650,ortaokul,hayir,calismiyor,ortaokul,evet,diger,3
651,lise,hayir,calismiyor,universite,evet,kamu,1
652,egitimi yok,emekli,calismiyor,egitimi yok,evet,diger,3
653,universite,emekli,ozel sektor,universite,evet,kamu,2
654,lise,evet,ozel sektor,ortaokul,emekli,calismiyor,1
655,lise,hayir,calismiyor,Null,emekli,calismiyor,2
656,ilkokul,hayir,calismiyor,lise,evet,diger,2
657,lise,emekli,calismiyor,universite,evet,ozel sektor,1
658,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,5
659,ilkokul,hayir,calismiyor,universite,evet,kamu,2
660,ortaokul,hayir,calismiyor,lise,evet,ozel sektor,1
661,ortaokul,hayir,calismiyor,lise,emekli,calismiyor,1
662,ilkokul,hayir,calismiyor,lise,hayir,calismiyor,4
663,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
664,Null,evet,kamu,Null,evet,diger,1
665,ilkokul,hayir,calismiyor,ilkokul,evet,diger,6
666,lise,hayir,calismiyor,Null,evet,ozel sektor,2
667,ilkokul,hayir,calismiyor,ilkokul,evet,diger,3
668,universite,evet,ozel sektor,universite,evet,ozel sektor,1
669,lise,hayir,calismiyor,universite,evet,ozel sektor,1
670,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,6
671,ortaokul,hayir,calismiyor,ortaokul,evet,ozel sektor,2
672,universite,emekli,calismiyor,universite,evet,ozel sektor,1
673,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
674,lise,hayir,calismiyor,ortaokul,emekli,calismiyor,3
675,egitimi yok,evet,diger,egitimi yok,hayir,calismiyor,4
676,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,4
677,ortaokul,hayir,diger,universite,evet,kamu,1
678,egitimi yok,hayir,calismiyor,lise,evet,diger,5
679,ortaokul,hayir,calismiyor,universite,evet,diger,2
680,universite,evet,kamu,universite,evet,kamu,1
681,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
682,ilkokul,hayir,calismiyor,egitimi yok,Null,calismiyor,1
683,ilkokul,hayir,diger,ilkokul,evet,diger,2
684,lise,hayir,calismiyor,lise,evet,ozel sektor,1
685,egitimi yok,hayir,calismiyor,lise,emekli,calismiyor,4
686,universite,evet,kamu,Null,evet,ozel sektor,2
687,ilkokul,hayir,calismiyor,lise,evet,kamu,1
688,universite,emekli,calismiyor,lise,emekli,calismiyor,3
689,ortaokul,hayir,calismiyor,lise,evet,kamu,5
690,lise,emekli,calismiyor,lise,evet,ozel sektor,0
691,lise,evet,ozel sektor,lise,evet,kamu,1
692,ilkokul,hayir,calismiyor,universite,evet,kamu,2
693,ortaokul,hayir,calismiyor,lise,emekli,calismiyor,2
694,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1
695,lise,hayir,calismiyor,universite,evet,ozel sektor,3
696,lise,hayir,calismiyor,Null,evet,kamu,4
697,lise,emekli,calismiyor,lise,emekli,calismiyor,0
698,lise,hayir,calismiyor,ortaokul,evet,ozel sektor,2
699,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
700,lise,evet,ozel sektor,lise,hayir,calismiyor,1
701,universite,evet,kamu,universite,evet,ozel sektor,1
702,ilkokul,hayir,calismiyor,universite,evet,ozel sektor,1
703,Null,evet,kamu,lise,emekli,calismiyor,1
704,universite,evet,kamu,Null,evet,ozel sektor,1
705,Null,evet,kamu,universite,evet,kamu,2
706,ortaokul,hayir,calismiyor,lise,emekli,calismiyor,2
707,universite,evet,kamu,Null,evet,kamu,3
708,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,4
709,ortaokul,hayir,calismiyor,ilkokul,evet,diger,4
710,universite,evet,kamu,universite,evet,kamu,2
711,universite,evet,kamu,lise,evet,ozel sektor,1
712,universite,hayir,calismiyor,universite,evet,kamu,4
713,lise,hayir,calismiyor,universite,evet,kamu,1
714,universite,evet,ozel sektor,lise,evet,ozel sektor,1
715,lise,evet,kamu,lise,evet,ozel sektor,4
716,egitimi yok,hayir,calismiyor,lise,evet,kamu,3
717,egitimi yok,hayir,calismiyor,egitimi yok,emekli,calismiyor,9
718,lise,evet,ozel sektor,lise,emekli,calismiyor,1
719,lise,evet,kamu,universite,evet,kamu,2
720,ortaokul,hayir,calismiyor,ortaokul,evet,ozel sektor,0
721,universite,evet,ozel sektor,universite,evet,ozel sektor,1
722,egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,8
723,universite,hayir,calismiyor,universite,evet,ozel sektor,2
724,universite,evet,diger,universite,evet,diger,2
725,ortaokul,hayir,calismiyor,ilkokul,evet,diger,1
726,universite,hayir,calismiyor,lise,evet,ozel sektor,1
727,ilkokul,hayir,ozel sektor,ilkokul,evet,ozel sektor,4
728,universite,evet,ozel sektor,universite,evet,kamu,1
729,universite,hayir,calismiyor,universite,emekli,calismiyor,1
730,lise,evet,kamu,lise,emekli,calismiyor,1
731,Null,evet,kamu,Null,emekli,calismiyor,3
732,lise,evet,ozel sektor,lise,hayir,calismiyor,0
733,lise,hayir,calismiyor,universite,evet,kamu,1
734,lise,hayir,calismiyor,lise,evet,ozel sektor,1
735,lise,hayir,calismiyor,universite,hayir,calismiyor,1
736,lise,evet,ozel sektor,lise,evet,kamu,3
737,egitimi yok,hayir,calismiyor,universite,emekli,calismiyor,3
738,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
739,ortaokul,hayir,calismiyor,lise,emekli,calismiyor,3
740,universite,emekli,calismiyor,universite,emekli,calismiyor,2
741,universite,emekli,calismiyor,universite,evet,kamu,1
742,Null,evet,kamu,Null,evet,kamu,6
743,ortaokul,evet,ozel sektor,ilkokul,evet,ozel sektor,1
744,lise,hayir,calismiyor,lise,emekli,calismiyor,1
745,universite,hayir,calismiyor,universite,evet,ozel sektor,1
746,lise,emekli,calismiyor,universite,emekli,calismiyor,3
747,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
748,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
749,universite,evet,kamu,universite,emekli,calismiyor,1
750,ortaokul,hayir,calismiyor,universite,evet,diger,1
751,universite,emekli,calismiyor,lise,evet,ozel sektor,1
752,lise,evet,kamu,universite,emekli,calismiyor,1
753,universite,hayir,calismiyor,universite,evet,kamu,3
754,lise,evet,ozel sektor,universite,evet,ozel sektor,2
755,ilkokul,hayir,calismiyor,universite,evet,kamu,2
756,universite,hayir,calismiyor,universite,evet,kamu,1
757,lise,evet,kamu,universite,evet,kamu,1
758,ilkokul,emekli,calismiyor,lise,emekli,calismiyor,1
759,ortaokul,hayir,calismiyor,lise,emekli,calismiyor,2
760,ilkokul,hayir,calismiyor,universite,evet,kamu,3
761,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
762,ortaokul,hayir,calismiyor,universite,evet,ozel sektor,2
763,ilkokul,evet,ozel sektor,ilkokul,hayir,calismiyor,2
764,ilkokul,hayir,calismiyor,lise,evet,diger,1
765,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,3
766,lise,emekli,calismiyor,universite,evet,kamu,1
767,egitimi yok,hayir,calismiyor,egitimi yok,hayir,calismiyor,3
768,lise,emekli,calismiyor,ilkokul,emekli,calismiyor,1
769,universite,evet,kamu,universite,evet,kamu,1
770,lise,evet,ozel sektor,universite,evet,ozel sektor,1
771,lise,emekli,calismiyor,universite,evet,kamu,2
772,ilkokul,emekli,calismiyor,ilkokul,emekli,calismiyor,1
773,lise,hayir,calismiyor,universite,evet,kamu,3
774,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1
775,universite,emekli,calismiyor,lise,hayir,calismiyor,1
776,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
777,lise,emekli,calismiyor,universite,emekli,calismiyor,5
778,egitimi yok,hayir,calismiyor,egitimi yok,emekli,calismiyor,4
779,lise,hayir,calismiyor,universite,emekli,calismiyor,2
780,egitimi yok,hayir,calismiyor,lise,emekli,calismiyor,5
781,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
782,ortaokul,hayir,calismiyor,ortaokul,evet,ozel sektor,1
783,ilkokul,hayir,calismiyor,ilkokul,evet,diger,0
784,lise,evet,ozel sektor,lise,hayir,calismiyor,2
785,universite,evet,kamu,universite,evet,kamu,1
786,universite,evet,diger,universite,evet,kamu,1
787,universite,emekli,calismiyor,universite,evet,kamu,1
788,universite,evet,ozel sektor,universite,evet,kamu,2
789,lise,hayir,calismiyor,universite,evet,kamu,1
790,universite,evet,kamu,universite,emekli,calismiyor,0
791,ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,1
792,lise,hayir,calismiyor,ilkokul,emekli,calismiyor,1
793,lise,hayir,calismiyor,lise,evet,ozel sektor,2
794,lise,hayir,calismiyor,universite,emekli,calismiyor,3
795,lise,emekli,calismiyor,lise,evet,ozel sektor,1
796,ilkokul,hayir,calismiyor,universite,evet,ozel sektor,2
797,ilkokul,evet,ozel sektor,ilkokul,evet,diger,2
798,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2
799,egitimi yok,evet,diger,ilkokul,evet,diger,1
800,universite,evet,ozel sektor,Null,evet,ozel sektor,1
801,universite,hayir,calismiyor,universite,evet,ozel sektor,1
802,lise,hayir,calismiyor,universite,emekli,calismiyor,4
803,universite,evet,kamu,universite,hayir,diger,1
804,universite,emekli,calismiyor,Null,evet,kamu,3
805,ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,5
806,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2
807,lise,hayir,calismiyor,universite,emekli,calismiyor,1
808,universite,evet,kamu,universite,evet,kamu,2
809,lise,hayir,calismiyor,universite,evet,kamu,1
810,ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,4
811,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
812,lise,emekli,calismiyor,Null,evet,ozel sektor,1
813,Null,evet,kamu,universite,evet,ozel sektor,1
814,ilkokul,hayir,calismiyor,egitimi yok,Null,calismiyor,1
815,egitimi yok,hayir,calismiyor,lise,emekli,calismiyor,4
816,ortaokul,hayir,calismiyor,lise,evet,ozel sektor,6
817,Null,evet,kamu,universite,evet,diger,1
818,universite,evet,kamu,universite,evet,kamu,1
819,universite,emekli,calismiyor,universite,emekli,calismiyor,1
820,lise,evet,ozel sektor,ortaokul,evet,ozel sektor,2
821,universite,hayir,calismiyor,universite,emekli,calismiyor,2
822,lise,emekli,calismiyor,ortaokul,evet,ozel sektor,1
823,universite,hayir,calismiyor,universite,emekli,calismiyor,1
824,universite,evet,kamu,universite,evet,kamu,1
825,universite,evet,kamu,universite,evet,kamu,1
826,lise,hayir,calismiyor,lise,evet,kamu,3
827,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
828,ilkokul,hayir,calismiyor,universite,evet,kamu,2
829,lise,hayir,calismiyor,lise,evet,kamu,1
830,Null,evet,ozel sektor,universite,hayir,calismiyor,1
831,universite,evet,ozel sektor,universite,hayir,calismiyor,1
832,egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,10
833,ortaokul,hayir,calismiyor,lise,emekli,calismiyor,2
834,ilkokul,evet,ozel sektor,egitimi yok,Null,calismiyor,0
835,egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,2
836,lise,emekli,calismiyor,ilkokul,emekli,calismiyor,2
837,ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,1
838,egitimi yok,hayir,calismiyor,ilkokul,evet,ozel sektor,3
839,ortaokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
840,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,2
841,ortaokul,hayir,calismiyor,lise,hayir,calismiyor,1
842,lise,emekli,calismiyor,universite,emekli,calismiyor,1
843,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
844,lise,evet,kamu,Null,evet,kamu,1
845,ilkokul,evet,diger,lise,emekli,calismiyor,1
846,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,2
847,lise,hayir,calismiyor,lise,emekli,calismiyor,1
848,lise,evet,kamu,universite,hayir,calismiyor,2
849,universite,emekli,calismiyor,universite,evet,ozel sektor,1
850,ortaokul,hayir,calismiyor,universite,emekli,calismiyor,1
851,ilkokul,hayir,calismiyor,universite,evet,diger,4
852,lise,emekli,calismiyor,ilkokul,emekli,calismiyor,0
853,universite,hayir,calismiyor,lise,evet,kamu,4
854,universite,hayir,calismiyor,universite,evet,kamu,2
855,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,4
856,universite,evet,kamu,lise,emekli,calismiyor,3
857,universite,emekli,calismiyor,universite,evet,kamu,2
858,universite,evet,kamu,universite,evet,ozel sektor,2
859,ilkokul,hayir,calismiyor,ilkokul,evet,diger,5
860,lise,emekli,calismiyor,lise,emekli,calismiyor,1
861,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1
862,universite,evet,kamu,universite,evet,kamu,1
863,lise,emekli,calismiyor,universite,emekli,calismiyor,1
864,lise,hayir,calismiyor,lise,emekli,calismiyor,1
865,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1
866,ilkokul,hayir,calismiyor,universite,evet,kamu,1
867,lise,hayir,calismiyor,ortaokul,evet,ozel sektor,2
868,lise,evet,ozel sektor,universite,evet,kamu,1
869,lise,hayir,calismiyor,universite,emekli,calismiyor,2
870,lise,emekli,calismiyor,ortaokul,emekli,calismiyor,1
871,ortaokul,hayir,calismiyor,lise,emekli,calismiyor,0
872,universite,evet,kamu,universite,evet,ozel sektor,1
873,universite,evet,kamu,universite,evet,kamu,1
874,lise,hayir,calismiyor,Null,evet,kamu,3
875,ilkokul,hayir,calismiyor,lise,evet,kamu,2
876,ilkokul,hayir,calismiyor,Null,evet,kamu,1
877,ortaokul,evet,ozel sektor,universite,evet,kamu,1
878,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,4
879,lise,hayir,calismiyor,lise,hayir,calismiyor,1
880,ilkokul,emekli,calismiyor,lise,emekli,calismiyor,2
881,universite,emekli,calismiyor,universite,emekli,calismiyor,3
882,lise,hayir,calismiyor,lise,evet,diger,2
883,ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,2
884,ilkokul,hayir,calismiyor,universite,evet,kamu,5
885,universite,evet,kamu,universite,evet,kamu,1
886,lise,hayir,calismiyor,universite,evet,kamu,1
887,ilkokul,hayir,calismiyor,ortaokul,evet,kamu,2
888,ilkokul,hayir,calismiyor,universite,evet,kamu,1
889,universite,evet,ozel sektor,universite,evet,ozel sektor,1
890,lise,hayir,calismiyor,ilkokul,evet,kamu,3
891,lise,hayir,calismiyor,ilkokul,evet,ozel sektor,1
892,lise,hayir,calismiyor,universite,evet,diger,1
893,universite,evet,kamu,universite,evet,kamu,2
894,lise,hayir,calismiyor,ilkokul,emekli,calismiyor,1
895,ortaokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1
896,ilkokul,hayir,calismiyor,universite,evet,kamu,3
897,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2
898,universite,evet,ozel sektor,universite,evet,ozel sektor,2
899,lise,hayir,calismiyor,universite,evet,kamu,5
900,ortaokul,hayir,calismiyor,lise,evet,diger,1
901,lise,hayir,calismiyor,lise,emekli,calismiyor,2
902,egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,8
903,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1
904,universite,hayir,calismiyor,universite,emekli,ozel sektor,1
905,ortaokul,hayir,calismiyor,lise,emekli,calismiyor,3
