index1,index,Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Uye Oldugunuz Kulubun Ismi,Profesyonel Bir Spor Daliyla Mesgul musunuz?,Spor Dalindaki Rolunuz Nedir?,Aktif olarak bir STK üyesi misiniz?,Hangi STK'nin Uyesisiniz?,Stk Projesine Katildiniz Mi?,Girisimcilikle Ilgili Deneyiminiz Var Mi?,Girisimcilikle Ilgili Deneyiminizi Aciklayabilir misiniz?
200,200,1,koc universitesi girisimcilik kulubu baskani,0,yok,1,"degisimin genclerden, genclerin icinden de yeni nesil liderlik anlayisiyla yetisen liderlerle mumkun olabilecegi anlayisina sahip dernegin projelerinin hepsinin hazirlanis, kurgu execution her bolumunde rol alinmistir. yenibirlider dernegi gelisen turkiyenin liderleri ve gencleri projesiyle cikis yapmistir. universite ogrencilerini hedefleyen cikis projesinde 12 onemli is insani ve onlarin sirketleriyle isbirligi yapilmistir. hurriyet gazetesinde yayinlanan roportajlar, universitelerde konferanslar mustafa koc, ali sabanci, 3000 basvuru arasindan 125 ogrenciye 12 kurumda staj yurticiyurtdisi, capital dergisiyle ortak kitapcik etaplariyla proje tamamlanmistir. gectigimiz yaz yeni donem kurgulanma donemine girilmistir, 3 ayin sonunda surdurulebilir bir liderlik ekosistemi ortaya cikmistir. universite ogrencileri ve genc profesyoneller olarak kitle ikiye ayrilmis, ikisine de ozgun programlar tasarlanmistir. su anda bu projeler hayata gecmistir, surdurulmektedir. senior leaders development program, turkiyenin onde gelen kurumsal firmalarindan ileride yonetici olma potansiyeline sahip 25-35 yas arasi genc profesyoneller icin hazirlanmis icinde mentorluk, kocluk, egitimler, grup calismalari bulunduran bir programdir. programda koc holding, sabanci holding, ernstyoung, esas holding, alarko holding, odebank, isbankasi, abdiibrahim gibi 20 kurumsal uyenin temsilcileri bulunmaktadir. young leaders development program yuksek potansiyelli universite ogrencilerini, mentorluk, liderlik kampi, staj programi, proje calismalari gibi aktiviteler sundugu bir programda bir araya getirir. cikis projemiz, sldp, yldp programlarimiz medyada ses getirmistir hurriyet, haberturk, dunya gazetesi, fortune capital ekonomist platin dergilerinde yer almistir. suradan ulasabilirsiniz: http://www.yenibirlider.com/medya-basin.aspx",1,1,"yenibirlider derneginin bir sosyal girisim ornegidir. kurulus oncesi kurulusu isleyisi bir girisimcilik deneyimi olmustur, dogru takimi kurma, temel ihtiyaclari dogru tespit etme, sorunlara doyurucu,yerinde cozumler gelistirme ve bunlari hayata gecirme, sahaya inme urunu musteriye satma, herseyiyle tecrube olmustur, olmaya devam etmektedir. 6 aydir bir ticari girisim projesi uzerine calisilmaktadir. turkiyenin onemli gruplarindan birinin destegi alinmistir, televizyon, dijital pazarlama, kisisellestirme ve musteri engagementi, interaksiyonu uzerinedir. isbirligi yapilan gruplarin hassasiyeti sebebiyle bu kadar bilgi verilebilinmektedir."
201,201,1,"denizlik kulubu,boru trampet kulubu,yelken kulubu,maket kulubu",0,yok,0,Null,1,1,yukarida belirttigim gibi ogrenci konsey baskanligi yaptim ve bircok girisimde bulunarak okulumuzdaki bazi seyleri degistirdik bu okulumuza bir takim kulubler kazandirkik ve olumlu ilerlemeler kaydettik.
202,202,1,bilgili girisimciler,1,kaptan,0,Null,1,0,Null
203,203,0,Null,0,yok,0,Null,0,0,Null
204,204,0,Null,0,yok,0,Null,0,0,Null
205,205,0,Null,0,yok,0,Null,0,0,Null
206,206,Null,Null,Null,Null,Null,Null,Null,Null,Null
207,207,1,young ceo club - kurucu baskan,0,yok,1,kardesimin dilegi - mardin kardesimin dilegi - van dun ile bugun elele,1,1,"aktif olarak girisimcilik ile ilgili organizasyonlara katilmanin yaninda, universitemizde iki arkadasim ile beraber kendi sirketimizi kurup bir magaza acmaktayiz. bunun yaninda universitemiz ogrencilerine hazirlamakta oldugumuz bir indirim karti projemizde bulunmaktadir. bunlarin yaninda lise hayatimda da degisik girisimcilik faaliyetlerinde bulundum."
208,208,0,Null,0,yok,0,Null,0,0,Null
209,209,0,Null,0,yok,0,Null,0,0,Null
210,210,1,ieee,1,bireysel,0,Null,1,1,okulumda bir klube uyeyim ve bu klubun ana uyelerinden biriyim bugune kadarda girisimcilik adina bir cok fikir sundum okuluma ve hepside gerceklestirildi. kendime guveniyorum.
211,211,0,Null,0,yok,0,Null,0,0,Null
212,212,0,Null,0,yok,0,Null,0,0,Null
213,213,1,ieee kulubu ve galatasaray kulubu,1,bireysel,1,otizm farkindalik projesi icin internet ortaminda paylasimlarda bulunma.,1,1,"universitemiz de oryantasyon asistanligi yapmis bulunmaktayim. bir cok seminer ve programlara katilmis bulunmaktayim. kulup te sunuculuk ve aktif olarak calismis bulunmaktayim. tesekkur sertifikam, basari sertifikalarim ve kariyer sertifikalarim bulunmaktadir.simdi ise universitemizin iletisim dau tv de gonullu asistan olarak calismaktayim."
214,214,1,etudans,0,yok,1,huzurevi ziyaret,0,0,Null
215,215,0,Null,0,yok,0,Null,0,0,Null
216,216,Null,Null,Null,Null,Null,Null,Null,Null,Null
217,217,1,"endustri ve verimlilik toplulugu, sosyal dayanisma toplulugu, tiyatro toplulugu",0,yok,0,Null,1,0,Null
218,218,1,losev,0,yok,0,Null,1,0,Null
219,219,1,apollon solar car,0,yok,0,Null,0,0,Null
220,220,1,fittness form klup,0,yok,0,Null,0,0,Null
221,221,0,Null,0,yok,0,Null,1,1,dunyaya faydali bir birey olmak icin yeni seyler yapmak istiyorum.sosyal konularda kendime guveniyorum.girisimcilik konusunda bireysel olarak hayatima yon verebilecek kararlar aliyorum.
222,222,1,estiem - avrupa endustri muhendisligi toplulugu,0,yok,0,Null,1,0,Null
223,223,1,tiyatro klubu,1,bireysel,0,Null,0,1,"herhangi bir firma kuramadim cunku cift anadal ogrencisi oldugum icin bos zamanim cok kalmiyor ancak hayatta yaptigimiz bircok sey ornek olarak verilebilir.benim anlatacagim 2 tane girisimcilik ornegim var.1.cisi lise hayatimda istanbulda ve mekatronik muhendisliginde okumaya karar verdim.ilk sene istedigim bolum tutmadi bu yuzden pes etmeden,1 sene daha ama eskisinden daha fazla calisip,ossde yeterli puani alip,istedigim bolumu istanbuda kazandim.bu deneyim bana pes etmemeyi ogretti.2.ci deneyimim ise staj icin aksaray iline gitmekti.staj yapmak istedigim firma beni aksaray iline cagirdi ve bir saniye dahi dusunmeden gittim.bu deneyimle bircok sey ogrendim."
224,224,0,Null,0,yok,0,Null,0,0,Null
225,225,0,muzik,1,bireysel,0,Null,0,0,Null
226,226,1,"yazilim klubu, muzikal klubu",0,yok,0,Null,1,0,Null
227,227,Null,Null,Null,Null,Null,Null,Null,Null,Null
228,228,1,"e-ticaret kulubu, girisimcilik kulubu",0,yok,1,"alt bolumde bir ornegi yer alan sosyal sorumluluk projelerimize ek olarak akademi konseptini devam ettirecegiz eticaretakademi.org, dpakademi.org. bunlara ek olarak, dernegimize gelir getirmesi acisindan yabanci turistlere yerellik hissi verecek ozel tur konseptlerimiz olacak. hepsinin aktif calismasi devam ediyor.",1,1,"internet medyasi uzerine birkac kucuk girisimim oldu, bunun disinda girisimcilere 10,000-100,000tl arasi yatirim yapmis egitimler duzenledim ve onlarca girisimci dostum oldu, onlarin tecrubelerine ortak oldum."
229,229,Null,Null,Null,Null,Null,Null,Null,Null,Null
230,230,0,Null,0,yok,0,Null,0,0,Null
231,231,0,Null,0,yok,1,vakif catisi altindaher turlu sosyal ve maddi yardim,1,0,Null
232,232,1,girisimcilik klubu ve eko ve finans klubu,1,bireysel,0,Null,1,0,Null
233,233,0,Null,0,yok,0,Null,0,0,Null
234,234,0,Null,0,yok,0,Null,1,0,Null
235,235,0,Null,0,yok,0,Null,0,0,Null
236,236,0,Null,0,yok,0,Null,1,0,Null
237,237,1,ozgur dusunce kulubu,0,yok,0,Null,0,0,Null
238,238,0,Null,0,yok,0,uluslararasi af orgutune maddi manevi destek veriyorum .uyeligimi ekonomiik sikintilarimdan dolayi dondurdum ama hala calismalarini maille aliyorum.,0,0,sosyal aglar uzerinden baslattigim kampanyalarim vardi. bunlar ihtiyac sahipleri icin giyim yiyecek ve kitap seklindeydi.
239,239,1,girisimci inovatif liderler takimigilt,0,yok,0,Null,1,0,Null
240,240,0,Null,0,yok,0,Null,0,0,Null
241,241,1,bilgisayar muhendisligi klubu,0,yok,0,Null,1,0,Null
242,242,1,ozgur yazilim ogrenci kulubu,0,yok,0,Null,1,1,3 adet girisimcilik yarismasina katildim henuz basari elde edemedim ama elimden geldigince takim arkadaslarimizla mucadelemize devam ediyoruz.
243,243,0,Null,0,yok,0,Null,1,0,Null
244,244,1,endustri muhendisligi klubu,0,yok,1,senior leaders development program 2014,1,1,bus102 dersinde girisimcilik projesi yapip business planini yazdim.ayrica eng102 dersinde sosyal girisimcilik projesi hazirladim.
245,245,0,Null,0,yok,0,Null,0,0,Null
246,246,1,"endustri muh. kulubu ,cevre ve dogayi koruma. kulubu, kutuphanecilîk kulubu, okulun organizasyon kulubu gibi.",1,bireysel,0,Null,1,0,Null
247,247,0,ieee,1,bireysel,0,Null,0,0,Null
248,248,0,Null,0,yok,0,Null,0,0,Null
249,249,0,Null,0,yok,0,Null,0,0,Null
250,250,0,Null,1,bireysel,0,Null,0,0,Null
251,251,1,"fotografcilik klubu, tema, tegv, habitat icin genclik dernegi",0,yok,1,bircok projede aktif yer aldim.,1,0,Null
252,252,1,"greenpeace akdeniz, losev, etu esli danslar toplulugu",0,yok,0,Null,1,0,Null
253,253,0,Null,0,yok,0,Null,0,0,Null
254,254,0,Null,0,yok,0,Null,1,0,Null
255,255,0,Null,0,yok,0,Null,0,1,web alaninda hep fikir sahibi olmusundue ancak projelerimi gerceklestirme imkani kaynagi bulamadim
256,256,0,Null,0,yok,0,Null,0,0,Null
257,257,1,okan universitesi uluslararasi lojistik toplulugu,0,yok,0,Null,0,1,cok kucuk yaslarda kendi uretimimiz olan zeytin ve zeytin yaglarini e-ticaret ile satisa sundum.
258,258,0,ultraslan uni,0,yok,0,Null,1,1,egitim danismanlik sirketinin universite liderligi icin basvurdum.
259,259,1,sinema kulubu,0,bireysel,0,Null,1,0,Null
260,260,1,lojistik klubu,0,yok,0,Null,1,1,okulca izmirde yapilan universiteler arasi girisimcilik ve yaraticilik yarismasinda 2. olmustuk ve kosgeb sertifikam var.
261,261,1,elestrel dusunce,0,yok,0,Null,0,0,Null
262,262,1,"gercek hayat ve toplulugu,dans kulubu,sosyal sorumluluk kulupleri",0,yok,0,Null,1,0,Null
263,263,1,Null,1,kaptan,1,Null,1,0,Null
264,264,1,erasmus student network,0,yok,0,Null,1,0,Null
265,265,1,izmir ozel fatih koleji,0,bireysel,0,Null,0,0,Null
266,266,Null,Null,Null,Null,Null,Null,Null,Null,Null
267,267,0,Null,1,bireysel,0,Null,0,0,Null
268,268,1,"siyasal dusunce toplulugu, tiyatro toplulugu",0,yok,0,Null,0,1,esev kurumuna bagli tiyatro kurumu ve minik gamzeler yardim kurulusunun cocuklari sevindirmek eglendirmek yardim eli uzatabilmek konusunda yaptigi is birliginin onculerinden olma serefine eristim. bulundugum okullarda yardim kampanyalarini ve tiyatro basta olmak uzere sosyal etkinlikleri organize etme sorumlulugunu edindim.
269,269,0,Null,0,yok,0,Null,0,0,Null
270,270,1,fotografcilik spor ve muzik,1,bireysel,0,Null,0,0,Null
271,271,1,tema,1,bireysel,0,Null,1,0,Null
272,272,1,tugusat,0,yok,1,avrupa birligi destekli genclik projeleri,1,0,Null
273,273,1,baboon animasyon kulubu,0,yok,1,cocuklarla etut calismalari,1,0,Null
274,274,1,"y-mun, edebiyat toplulugu, isletme klubu, ataturkcu dusunce klubu, lojistik klubu",0,yok,0,Null,1,0,Null
275,275,1,inovatif internet toplulugu,1,kaptan,0,Null,1,1,girisimciligi anlamak adina belirttigim gibi girisimcilik zirvessi koordinatorlugu gorevini yuruttum.
276,276,1,girisimci inovatif liderler takimi,0,yok,0,Null,0,0,Null
277,277,0,kariyer klubu,0,yok,0,Null,0,0,Null
278,278,1,afam,0,yok,0,Null,1,0,Null
279,279,Null,Null,Null,Null,Null,Null,Null,Null,Null
280,280,Null,Null,Null,Null,Null,Null,Null,Null,Null
281,281,0,Null,0,yok,0,Null,0,0,bilgisayar
282,282,0,Null,0,yok,0,Null,0,1,"tobb etude bulunan garajda bir proje ekibine katildim, 2 aylik bir surecte bu projeyi gelistirdik fakat istedigimiz geri donutu alamadigimiz icin vazgecme karari aldik, suan aktif olarak baska bir proje ekibinde calismaktayim. google playde sirket kurduk ve ilk projemizi yayinladik. isterseniz asagidaki linkten ulasabilirsiniz: https://play.google.com/store/apps/detailsidcom.clixoft.pictap"
283,283,1,bilkent bilgi tanitim ofisi,0,yok,0,Null,0,0,Null
284,284,1,"turk hava kurumu, istanbul aydin universitesi turkce yasam klubu",1,bireysel,0,Null,1,1,turk patent enstisunde 1 tescillenmis faydali model belgesi2012/13560 surecidevam eden 2 patent basvurusu.
285,285,Null,Null,Null,Null,Null,Null,Null,Null,Null
286,286,Null,Null,Null,Null,Null,Null,Null,Null,Null
287,287,1,dagcilik kulubu,0,yok,0,Null,0,0,Null
288,288,1,bilkent iktisadi arastirmalar toplulugu,0,yok,0,Null,1,0,Null
289,289,0,Null,0,yok,0,Null,0,1,"okulun ya da belediyelerin yuruttugu girisimcilik faaliyetlerine , konferans ve sempozyumlara katilmaya calisiyorum."
290,290,1,sinema klubleri,0,yok,0,Null,0,1,simdiye kadar bircok girisimim oldu. 2 senedir devam ettirdigim bir projemi yatirimcilar ile bulusturup bu sene yayina sokuyoruz.
291,291,0,Null,1,bireysel,0,Null,0,0,Null
292,292,0,Null,0,yok,0,Null,0,0,Null
293,293,1,paintball,0,yok,0,Null,1,0,Null
294,294,1,yonetisim ve liderlik,0,yok,0,Null,1,1,kendi mobil uygulamami hayata gecirmek icin calisiyorum.
295,295,1,"hacettepe girisim ve yatirim toplulugugiyat, hacettepe endustri ve sistem topluluguhends, hacettepe otomotiv topluluguhot",0,yok,0,Null,0,0,Null
296,296,0,Null,0,yok,0,Null,0,0,Null
297,297,0,Null,0,yok,0,Null,0,0,Null
298,298,Null,Null,Null,Null,Null,Null,Null,Null,Null
299,299,1,bilkent brand club 2011-2012 bilkent turk dunyasi arastirmalari toplulugu 2011- bilkent yatirim klubu 2014-,0,yok,1,turk milletine cagri bildirgesi,0,0,Null
300,300,Null,Null,Null,Null,Null,Null,Null,Null,Null
301,301,0,muzik,0,bireysel,0,Null,1,1,"genc basari egitim vakfi, yaraticilik ve yenilikcilik kabatas erkek lisesi, 2012 genc basari egitim vakfi, sirket programi ticaret fuari marmara forum, 2012, borusan en iyi satis-pazarlama odulu junior achievement international students company festival riga-latvia, 2012"
302,302,1,folklor kulubu,1,kaptan,0,Null,1,1,okulumda bulundugum bolumun bolum baskanligini yurutuyorum.
303,303,0,Null,0,yok,0,Null,0,1,ben ve arkadaslarim bir giysi urunu uzerine bir satis baslattik fakat o zamanin kosullarindan dolayi pek ilgi cekmedi ve gormediginden dolayi faaliyete son verdik
304,304,0,Null,0,yok,0,Null,0,0,Null
305,305,0,muzik,1,bireysel,0,Null,0,0,Null
306,306,Null,Null,Null,Null,Null,Null,Null,Null,Null
307,307,1,"zirve universitesi bilgisayar muhendisligi, zirve universitesi endustri muhendisligi klubu, zirve universitesi genc isadamlari klubu, zirve universitesi is ve kariyer klubu",1,bireysel,0,Null,1,1,"universite ve lise hayatimda bircok girisimcilik faaliyetinde bulundum arkadasimla birlikte websitesi tasarladik ve halen tasarliyoruz, esnaflara kartvisit bastirdik, bir matbaa ile anlaisip brosur, degi, ilan, karvisit bastirdik.gaziantepde bir sirket icin siparis sistemi, depo yonetimi. uretim yonetimi sistemi, uretim planlama sistemi yazilimi gelistrimeye ugrasiyorum halen bu isle ugrasiyorum.ayrica memleketim ermenek/karaman da mesu olan yoresel urunleri ceviz,pekmez,kiraz... konya ve gaziantepde pazarladim ve ufak bir kar elde ettim.ayrica izmirde bulunan bir temizlik maddesi fabrikasi icin kucuk bir komisyonla bu temizlik maddesni gaziantepde pazarladim. aklimda bircok kucklu buyukluis fikri var ama bu isler icin maddi durumum yok ve bircogunu ertelemek zorunda kaldim."
308,308,1,yeditepe universitesi muzik klubu-yeditepe universitesi dans klubu,0,yok,0,Null,0,0,Null
309,309,0,Null,0,yok,0,Null,0,0,Null
310,310,1,"medya ve reklamcilik kulubu, sehir volunteers society",0,yok,0,Null,1,0,girisimcilik dersinde konusan kitaplar uzerine bir proje hazirlayip is
311,311,1,girsimcilik ve projeler kulubu,0,yok,0,Null,1,1,tubitak liseler arasi girisimcilik yarismasinda derece aldim kalder yasamda kalite yarismasinda fikir kategorisinde birinci oldum girne amerikan universitesi yaratici fikirler yarismasinda ikincilik odulu aldim.
312,312,1,fotografcilik kulubu,0,yok,0,Null,0,0,Null
313,313,1,yeni ufuklar kulubu,0,yok,0,Null,1,0,Null
314,314,0,Null,0,yok,0,Null,0,1,universite egitimi suresince girisimcilik hakkinda aldigim dersler ve katildigim seminerler bulunmaktadir.
315,315,1,uluslararasi antalya universitesi insaat muhendisligi toplulugu,0,yok,0,Null,0,1,bir blog projemiz var bunu hayata gecirmek icin ugrasiyoruz
316,316,1,yazilim muhendisleri kulubu,0,yok,0,Null,1,1,e-tohum basta olmak uzere cesitli girisimcilik etkinliklerine katildim.
317,317,1,odtu bilgisayar toplulugu,0,yok,0,Null,0,1,startup-weekend-baku turnivasinda 3 kisilik takimla 2. olduk. hussein khanji-den entrepreneurshiple ilgili dersler aldim bu turnuva icinde. e-tohumun girisimcilik egitimlerine katildim.
318,318,1,istanbul bilgi universitesi teknoloji kulubu,0,yok,1,"sosyal sorumluluk, motivasyon projelerinde calistim, kisisel gelisim etkinlikleri gerceklestirdik. su an kulubumuzun sekreterlik gorevini yurutmekteyim.",1,1,2013 haziran ayinda sinema kulubu ile okulumuzda sinema vesaire adinda bir sinema dergisi yarattik. dergi kurulu baskanligini ve editorlugunu yurutmekteyim.
319,319,0,Null,0,yok,0,Null,0,0,Null
320,320,1,"ekonomi kulubu, borsa kulubu, radyo kulubu, rugby takimi",1,bireysel,0,Null,1,0,Null
321,321,1,yonetisim ve liderlik toplulugu / baskan,0,bireysel,0,Null,1,0,Null
322,322,1,teknoloji ve robotik kulubu,0,yok,0,Null,1,1,"2013 startup turkeye katildim, dereceye giremesem de network acisindan cok guzel bir deneyimdi benim icin."
323,323,1,"bilim ve felsefe kulubu, iletisim kulubu",0,yok,0,Null,0,1,"gazimagusada bir arkadasim ile birlikte gevrek organizasyon adinda bir organizasyon isine giristik. biscolata erkegi carlosu adaya ilk kez getirdik, daha sonra ise cesitli konser ve ogrenci partileri gerceklestirdik."
324,324,0,Null,0,yok,0,Null,0,0,Null
325,325,0,Null,0,yok,0,Null,1,0,Null
326,326,0,Null,0,yok,0,Null,0,0,Null
327,327,0,Null,0,yok,0,Null,0,0,Null
328,328,Null,Null,Null,Null,Null,Null,Null,Null,Null
329,329,0,Null,0,yok,0,Null,0,0,Null
330,330,1,ygayoung guru academy,1,kaptan,1,"oku dusun paylas, kot liderler projesi",1,1,"cinden kilit sistemi ithal ederek universitelerin spor salonlarinda kullanilmak uzere satisini gerceklestirdim. calistigim firmalardan bazilari bilkent universitesi, dogus universitesi"
331,331,0,girisimcilik klubu,0,yok,0,Null,0,0,Null
332,332,1,lojistik kulubu,0,yok,0,Null,1,0,Null
333,333,Null,Null,Null,Null,Null,Null,Null,Null,Null
334,334,1,business management,0,yok,1,fikir uretme kampi start up boot camp istanbul calismalari,1,1,ben yurt ici ve yurt disinda finans alaninda ciddi inovasyonlara ihtiyac oldugunu dusunen birisiyim. bunun icinde degisik ulkelerde finans arastirmasi yapiyorum. proje finansmani/leasing gibi bankacilik enstrumanlari hangi ulkede ne kosullarda bulunabiliyor onlarin arastirmasini yapiyorum. bu kapsam icerisinde proje finansmani teknigini kullanarak irtibatta oldugum fon sirketleriyle turkiyede bir proje gerceklestirmek istedik. bunun icinde tecrubesi olan bir sirket bulmam gerekti. bunun uzerine inanlar grup yonetim kurulu baskani serdar inan beyle bir kac defa toplanti yaptik. ama benim tecrubesizligim nedeniyle is yapamadik. ama firsat kapida beklerken ben duramazdim.ve inatla aramaya devam ettim. ve su siralar oflaz sirketler grubuyla mugla/milas/kiyikislacikta bir resort yapimi icin calisiyoruz. tabi sonu ne olur bilemiyorum. ama olmasi icin elimden geleni yapiyorum...
335,335,1,erasmus buddy-caliente dance,0,yok,1,torunum olur musun,0,0,Null
336,336,1,erasmus student network,0,yok,1,ogrenci hareketliligi ve demokratik platformlarda aktif katilim,1,1,2011 yilinda melek yatirimci araciligi ile avukatlara yonelik bir icra programi gelistirdik. bu calismada gorevim melek yatirimciyi bulmak ve sonrasinda satis ve halkla iliskileri yonetmek oldu.
337,337,0,Null,1,bireysel,0,Null,0,0,Null
338,338,1,sifa universitesi bilimsel arastirmalar toplulugu,1,bireysel,0,Null,0,0,Null
339,339,1,fikir kulubu,1,kaptan,1,"habitat kalkinma ve yonetisim dernegi catisi altinda bir cok projede calistim. asil projem gelecegini simdi yonet isimli finansal bilinc projesiydi. bunun disinda yine finansal bilinc alaninda parami yonetebiliyorum projesine yardim ettim. kartal belediyesi ile ortak yuruttugumuz bir projede liselere ve ortaokullara girisimcilik dersleri verdim, seminer boyutunda.",1,1,"aslen kayseriliyim, girisimcilik kanimda var sanirim her zaman her yerde firsatlar ararim. bayramdan bir gun once sokaklarda kazak sattim kayseride, yapgmur yagarken bir anda gidip semsiyeler alip onlari satip ev kirami cikardim iki saatin icinde. bunun gibi bir cok ornegin yani sira, 2011 yilinda okulumuda yapilan viral reklam yarismasinda birinci olmustum. daha sonra ise bus102- girisimcilik dersiminizin konusu sifirdan bir girisim kurmakti. ben de viral cekmek uzerine uzmanlasmis bir sirket kurma fikriyle yola ciktim. daha sonra derste hocanin kabulunu gorup basarili olunca orada olusan fikri uygulamak istedim ve bir start up olarak bir kac arkadasim ile yola ciktim. daha once de kose yazarligi yaptigim icin bir internet sitesinde metin yazarligini ve kreatif isleri ben ustlendim. bir kac firma ile gorustuk, bunlardan biri kuponnowdi. ama yola ciktigim arkadaslarim start-upa benim kadar efor ve deger vermedikleri icin devam edemedik. suanda ise hayata gecirmek istedigim baska fikirlerim var, bunlardan bir tanesi de crowdfunding sitesi kurmak. okulumdan hocalarimla konustum, fikirler uzerine business planlarimi yapip investorlarla gorusecegim. bunun disinda ortaokullarda ve liselerde girisimcilik egitimleri verdim daha once de soyledigim gibi."
340,340,1,computer society,0,yok,0,Null,1,0,Null
341,341,1,afak arastirmaci fatihliler ve akademisyenler kulubu,0,yok,0,Null,0,0,Null
342,342,0,Null,0,yok,0,Null,0,0,Null
343,343,1,aal09 doga sporlari,0,yok,0,Null,1,1,ailemden para almayi kestigim zamandan beri farkli ticari girisimlerim oldu. suanda bazi tekstil urunlerini online platformlardan pazarlayarak gecimimi sagliyorum ve egitimimi surdurmeye calisiyorum.
344,344,1,ozu genc tema,0,yok,1,"akademide devam eden yoga, muzik, dans atolyelerinde gonullu olarak yer almaktayim.",1,1,2013 yili ortasinda ortagimla birlikte bir ingilizce egitim veren kursun subesini devraldik. bir isletmenin calismasini saglarken tum detaylari gozlemleme imkânim oldu ancak ne var ki reklam ve ekip yonetimi alaninda ciddi hatalarim oldu ve bu hatalar isi iyi yonetemeyip batirmama sebep oldu. yine de bu surecte girisimcilik adina yapmam/yapmamam gereken cok sey ogrendim.
345,345,0,Null,1,bireysel,0,Null,0,1,girisimcilik zirvesi toplantilari
346,346,1,hasan kalyoncu universitesi halk oyunlari klubu,0,yok,0,Null,0,0,Null
347,347,0,Null,1,bireysel,0,Null,1,0,Null
348,348,Null,Null,Null,Null,Null,Null,Null,Null,Null
349,349,1,turk hava kurumu genc kanatlar,0,yok,0,Null,0,1,konferanslar be referanslar
350,350,1,bahcesehir universitesi ceitcomputer education and instructional technologykulubu/baskan,0,yok,0,Null,0,0,Null
351,351,1,gediz hukuk klubu,0,yok,0,Null,0,1,daha once genc girisimciler adli bir projeye basvuruda bulunmustum ancak sinav doneminde bulunmamdan dolayi ve sehir disina cikmam zor olacagi icin gerekli ilgiyi gosteremedim.
352,352,0,Null,0,yok,0,Null,0,0,Null
353,353,1,"koc universitesi gonulluleri kulubu, krav maga kulubu,munazara kulubu",0,yok,0,Null,1,0,Null
354,354,0,Null,0,yok,0,Null,0,0,Null
355,355,0,Null,0,yok,0,Null,1,0,Null
356,356,1,fatih universitesi cevre kulubu,0,yok,1,"online projelerde aktivist oldum.ornegin; nukleer enerjiye karsi,yenilenebilir enerjiyi kullanmayi destekleyip,herkesle bunu paylastim",1,0,Null
357,357,0,Null,0,yok,0,Null,0,0,Null
358,358,0,Null,0,yok,0,Null,0,0,Null
359,359,0,Null,0,yok,0,Null,0,0,Null
360,360,Null,Null,Null,Null,Null,Null,Null,Null,Null
361,361,0,Null,0,yok,0,Null,0,1,bulundugum okulda girisimcilik dersi var girisimcilik hakkinda yeterli bilgim ve etkinligim var.
362,362,0,Null,0,yok,0,Null,1,1,"muzik benim icin cok onemli. 2 arkadasimla birlikte stolen paradise adinda bir youtube kanalimiz var. yurtdisinda cok basarili ornekleri olan bu isi ilk defa biz turkiyede yapmaya basladik. dunyanin her yerinden deep house/chill-out tarzindaki remixleri ve parcalari bulup sarkinin hislerini anlatan resimlerle duzenleyip tanitici yazilarla birlikte sayfamizda paylasiyoruz. hobi olarak arastirma, muzik dinleme ve tasarim acisindan oldukca tatmin edici olmasinin yaninda dunyadan ornek aldigimiz kisilerin bu isi oldukca profesyonel bir platformda festivaller, kendi toplama albumleriicra etmeleri bizim icin oldukca motive edici bir unsur olusturuyor. su an icin 4500 goruntulenmemiz var ve bu sayiyi arttirmak, sevdigimiz ve kaliteli yaptigimiz isimizi daha cok kisiyle paylasmak icin her gun ugrasiyoruz. https://www.youtube.com/user/stolenparadise3j"
363,363,1,"girisimcilik kulubu, uluslararasi ogrenciler kulubu sayman",1,bireysel,0,Null,1,1,"robert kolejde dort yil boyunca girisimcilik kulubunun etkin bir uyesiydim ve cesitli yarismalara katilip, bazi yarismalarin organizasyonunda rol aldim. universitemde ise girisimcilik kulubunde calisiyorum; elevator pitch gibi onemli yarismalarin organizasyon timinde gorev alip, mezunlari ve ogrencileribiraraya getiren networking etkinliklerini duzenliyorum. uluslararasi sirketlerde cesitli stajlar yaparak kendimi gelistirdigime inaniyorum.kampuste de bircok farkli iste calismaktayim."
364,364,0,Null,0,yok,1,"2010 liman genclik yaz ve somestr okulugenclik lideri 2011 liman genclik yaz ve somestr okulugenclik lideri 2012 liman genclik yaz ve somestr okulugenclik lideri 2011 9.sinif ogrencileri danismanligi 2013 kardes okul projesi genclik lideri 2013-2014 kariyer gunleri konusmaci:it ve mis uzerine 2012-2014 universitelilerle proje calismalari ekip lideri 2012-2014 ogrenci motivasyon seminerleriogrenci danismani 2012-2014 yetim kardesligi projesikatilimci,yurutucu",1,0,Null
365,365,Null,Null,Null,Null,Null,Null,Null,Null,Null
366,366,Null,Null,Null,Null,Null,Null,Null,Null,Null
367,367,1,istanbul 29 mayis universitesi gelisim kulubu kurucu uyesi ve baskaniyim,0,yok,0,Null,1,1,"girisimcilik alaninda 10 kisilik ekiple bir kitap olusturulduk, ve bu projenin kordinatoru olarak 2 konu uzerinden tez yazdim. basari notu : 89 4 uzerinden 3.5 :ba"
368,368,1,tema,0,yok,0,Null,0,0,Null
