index2,index,Burs Aliyor mu?,Burslu ise Burs Yuzdesi,Baska Bir Kurumdan Burs Aliyor mu?,Burs Aldigi Baska Kurum,Baska Kurumdan Aldigi Burs Miktari
707,707,1,100.0,0,Null,Null
708,708,1,100.0,0,Null,Null
709,709,1,100.0,0,Null,Null
710,710,0,100.0,0,Null,Null
711,711,1,100.0,0,Null,Null
712,712,1,100.0,0,Null,Null
713,713,1,100.0,1,kyk,330
714,714,1,100.0,0,Null,Null
715,715,1,100.0,0,Null,Null
716,716,1,100.0,0,Null,Null
717,717,1,100.0,1,fatih universitesi akademik basari bursu 1 donemlik,250
718,718,1,100.0,1,kyk,300
719,719,1,100.0,0,Null,Null
720,720,1,100.0,0,Null,Null
721,721,1,100.0,0,Null,Null
722,722,1,100.0,0,Null,Null
723,723,1,100.0,0,Null,Null
724,724,0,100.0,0,Null,Null
725,725,1,100.0,1,celik ihracatcilari birligi,350
726,726,1,100.0,0,Null,Null
727,727,1,100.0,0,Null,Null
728,728,1,100.0,1,tobb ekonomi ve teknoloji universitesi,400
729,729,1,100.0,0,Null,Null
730,730,1,100.0,0,Null,Null
731,731,0,100.0,0,Null,Null
732,732,1,100.0,1,ataturkcu dusunce dernegi bornova subesi - haziran ayinda sonlanacak.,150
733,733,1,100.0,0,Null,Null
734,734,1,100.0,0,Null,Null
735,735,0,100.0,0,Null,Null
736,736,1,100.0,0,Null,Null
737,737,1,100.0,0,Null,Null
738,738,1,100.0,0,Null,Null
739,739,1,100.0,0,Null,Null
740,740,1,100.0,0,Null,Null
741,741,1,100.0,0,Null,Null
742,742,0,100.0,0,Null,Null
743,743,1,100.0,0,Null,Null
744,744,1,100.0,0,Null,Null
745,745,1,100.0,0,Null,Null
746,746,1,100.0,0,Null,Null
747,747,1,100.0,1,amasya vakfi,100
748,748,1,100.0,1,ito,300
749,749,1,100.0,1,ozyegin universitesi,300
750,750,1,100.0,0,Null,Null
751,751,1,100.0,0,Null,Null
752,752,1,100.0,0,Null,Null
753,753,0,100.0,0,Null,Null
754,754,0,100.0,0,Null,Null
755,755,1,100.0,1,kyk,350
756,756,1,100.0,0,Null,Null
757,757,1,100.0,1,koc universitesi,600
758,758,1,100.0,0,Null,Null
759,759,1,100.0,0,Null,Null
760,760,1,100.0,0,Null,Null
761,761,1,100.0,0,Null,Null
762,762,1,100.0,0,Null,Null
763,763,1,100.0,0,Null,Null
764,764,1,100.0,0,Null,Null
765,765,1,100.0,1,bilkent universitesi,590
766,766,1,100.0,0,Null,Null
767,767,1,100.0,0,Null,Null
768,768,1,100.0,0,Null,Null
769,769,1,100.0,0,Null,Null
770,770,1,100.0,0,Null,Null
771,771,1,100.0,0,Null,Null
772,772,1,100.0,0,Null,Null
773,773,1,100.0,0,Null,Null
774,774,1,100.0,1,tobb ekonomi ve teknoloji universitesi yasam katki payi,1000
775,775,1,100.0,0,Null,Null
776,776,1,100.0,0,Null,Null
777,777,1,100.0,0,Null,Null
778,778,1,100.0,0,Null,Null
779,779,1,100.0,0,Null,Null
780,780,1,100.0,0,Null,Null
781,781,1,100.0,0,Null,Null
782,782,0,100.0,0,Null,Null
783,783,1,100.0,0,Null,Null
784,784,1,100.0,0,Null,Null
785,785,1,100.0,0,Null,Null
786,786,0,100.0,0,Null,Null
787,787,1,100.0,0,Null,Null
788,788,1,100.0,0,Null,Null
789,789,1,100.0,0,Null,Null
790,790,1,100.0,1,istek vakfi,300
791,791,1,100.0,0,Null,Null
792,792,1,100.0,0,Null,Null
793,793,1,100.0,1,bilkent universitesi,490
794,794,0,100.0,0,Null,Null
795,795,0,100.0,0,Null,Null
796,796,1,100.0,1,ihsan dogramaci bilkent universitesi,490
797,797,1,100.0,0,Null,Null
798,798,1,100.0,0,Null,Null
799,799,1,100.0,0,Null,Null
800,800,0,100.0,0,Null,Null
801,801,0,100.0,0,Null,Null
802,802,1,100.0,0,Null,Null
803,803,1,100.0,0,Null,Null
804,804,1,100.0,0,Null,Null
805,805,1,100.0,0,Null,Null
806,806,1,100.0,0,Null,Null
807,807,1,100.0,1,basbakanlik bursu-tev ustun basari bursu,1990
808,808,1,100.0,0,Null,Null
809,809,1,100.0,0,Null,Null
810,810,0,100.0,0,Null,Null
811,811,1,100.0,1,koc universitesi,475
812,812,1,100.0,0,Null,Null
813,813,1,100.0,1,bilkent universitekapsamli burs programi,560
814,814,1,100.0,1,koc universitesinden,600
815,815,1,100.0,1,mado,150
816,816,1,100.0,0,Null,Null
817,817,0,100.0,0,Null,Null
818,818,1,100.0,1,koc universitesi,600
819,819,1,100.0,0,Null,Null
820,820,1,100.0,0,Null,Null
821,821,1,100.0,0,Null,Null
822,822,1,100.0,0,Null,Null
823,823,1,100.0,0,Null,Null
824,824,1,100.0,0,Null,Null
825,825,1,100.0,0,Null,Null
826,826,1,100.0,0,Null,Null
827,827,1,100.0,0,Null,Null
828,828,1,100.0,0,Null,Null
829,829,0,100.0,0,Null,Null
830,830,1,100.0,0,Null,Null
831,831,1,100.0,0,Null,Null
832,832,1,100.0,0,Null,Null
833,833,1,100.0,0,Null,Null
834,834,1,100.0,0,Null,Null
835,835,1,100.0,0,Null,Null
836,836,1,100.0,0,Null,Null
837,837,1,100.0,0,Null,Null
838,838,1,100.0,0,Null,Null
839,839,1,100.0,0,Null,Null
840,840,1,100.0,0,Null,Null
841,841,1,100.0,0,sabanci universitesi,400
842,842,1,100.0,0,Null,Null
843,843,1,100.0,0,Null,Null
844,844,1,100.0,0,Null,Null
845,845,1,100.0,0,Null,Null
846,846,1,100.0,0,Null,Null
847,847,0,100.0,0,Null,Null
848,848,1,100.0,0,Null,Null
849,849,1,100.0,0,Null,Null
850,850,1,100.0,0,Null,Null
851,851,1,100.0,0,Null,Null
852,852,1,100.0,0,Null,Null
853,853,1,100.0,0,Null,Null
854,854,1,100.0,1,ozyegin vakfi,300
855,855,1,100.0,1,universite,750
856,856,1,100.0,0,Null,Null
857,857,1,100.0,0,Null,Null
858,858,0,100.0,0,Null,Null
859,859,1,100.0,0,Null,Null
860,860,0,100.0,0,Null,Null
861,861,1,100.0,0,Null,Null
862,862,1,100.0,0,Null,Null
863,863,1,100.0,0,Null,Null
864,864,1,100.0,0,Null,Null
865,865,1,100.0,0,Null,Null
866,866,1,100.0,0,Null,Null
867,867,1,100.0,1,bursa gazeteciler cemiyeti,180
868,868,1,100.0,0,Null,Null
869,869,1,100.0,1,bahcesehir universitesi,500
870,870,1,100.0,0,Null,Null
871,871,1,100.0,0,Null,Null
872,872,1,100.0,0,Null,Null
873,873,0,100.0,0,Null,Null
874,874,1,100.0,0,Null,Null
875,875,1,100.0,0,Null,Null
876,876,1,100.0,0,Null,Null
877,877,1,100.0,0,Null,Null
878,878,1,100.0,0,Null,Null
879,879,1,100.0,0,Null,Null
880,880,1,100.0,0,Null,Null
881,881,1,100.0,1,ihsan dogramaci bilkent universitesi,560
882,882,1,100.0,0,Null,Null
883,883,1,100.0,0,Null,Null
884,884,0,100.0,0,Null,Null
885,885,1,100.0,0,Null,Null
886,886,1,100.0,0,Null,Null
887,887,1,100.0,0,Null,Null
888,888,1,100.0,0,Null,Null
889,889,0,100.0,0,Null,Null
890,890,0,100.0,0,Null,Null
891,891,0,100.0,0,Null,Null
892,892,0,100.0,0,Null,Null
893,893,1,100.0,0,Null,Null
894,894,1,100.0,0,Null,Null
895,895,0,100.0,0,Null,Null
896,896,1,100.0,0,Null,Null
897,897,1,100.0,0,Null,Null
898,898,1,100.0,0,Null,Null
899,899,1,100.0,0,Null,Null
900,900,1,100.0,0,Null,Null
901,901,1,100.0,0,Null,Null
902,902,1,100.0,0,Null,Null
903,903,1,100.0,0,Null,Null
904,904,1,100.0,0,Null,Null
905,905,1,100.0,0,Null,Null
906,906,1,100.0,1,galatasaray egitim vakfi bursu,300
907,907,1,100.0,0,Null,Null
908,908,1,100.0,0,Null,Null
909,909,1,100.0,0,yayma,Null
910,910,1,100.0,1,muratpasa belediyesi,150
911,911,1,100.0,0,Null,Null
912,912,1,100.0,0,Null,Null
913,913,0,100.0,0,Null,Null
914,914,1,100.0,0,Null,Null
915,915,1,100.0,0,Null,Null
916,916,1,100.0,0,Null,Null
917,917,1,100.0,0,Null,Null
918,918,1,100.0,0,Null,Null
919,919,1,100.0,0,Null,Null
920,920,1,100.0,0,Null,Null
921,921,1,100.0,0,Null,Null
922,922,1,100.0,0,Null,Null
923,923,1,100.0,1,bahcesehir universitesi,600
924,924,1,100.0,0,Null,Null
925,925,1,100.0,0,Null,Null
926,926,0,100.0,0,Null,Null
927,927,1,100.0,1,boydak egitim ve ogrenim vakfi,200
928,928,1,100.0,0,Null,Null
929,929,1,100.0,0,Null,Null
930,930,0,100.0,0,Null,Null
931,931,0,100.0,0,Null,Null
932,932,1,100.0,0,Null,Null
933,933,1,100.0,0,Null,Null
934,934,1,100.0,1,ozyegin universitesi,330
935,935,1,100.0,0,Null,Null
936,936,0,100.0,0,Null,Null
937,937,1,100.0,0,Null,Null
938,938,1,100.0,0,Null,Null
939,939,0,100.0,0,Null,Null
940,940,1,100.0,0,Null,Null
941,941,1,100.0,0,Null,Null
942,942,1,100.0,0,Null,Null
943,943,1,100.0,0,Null,Null
944,944,1,100.0,0,Null,Null
945,945,1,100.0,0,Null,Null
946,946,0,100.0,0,Null,Null
947,947,1,100.0,1,bilkent universitesi,560
948,948,1,100.0,0,Null,Null
949,949,1,100.0,0,Null,Null
950,950,1,100.0,0,Null,Null
951,951,1,100.0,1,"kendi universitemden, giris bursu+1. oldugum yarismadan.",1860
952,952,1,100.0,0,Null,Null
953,953,1,100.0,1,tubitak,750
954,954,1,100.0,0,Null,Null
955,955,1,100.0,0,Null,Null
956,956,1,100.0,0,Null,Null
957,957,1,100.0,1,kyk,330
958,958,1,100.0,1,yeditepe universitesi,500
959,959,1,100.0,0,yeditepe universitesi,750
960,960,1,100.0,0,Null,Null
961,961,0,100.0,0,Null,Null
962,962,1,100.0,0,Null,Null
963,963,1,100.0,0,Null,Null
964,964,1,100.0,0,Null,Null
965,965,0,100.0,0,Null,Null
966,966,1,100.0,0,Null,Null
967,967,1,100.0,0,Null,Null
968,968,1,100.0,0,Null,Null
969,969,1,100.0,0,Null,Null
970,970,1,100.0,0,Null,Null
971,971,0,100.0,0,Null,Null
972,972,0,100.0,0,Null,Null
973,973,1,100.0,0,Null,Null
974,974,1,100.0,0,Null,Null
975,975,1,100.0,0,Null,Null
976,976,1,100.0,0,Null,Null
977,977,1,100.0,0,Null,Null
978,978,1,100.0,0,Null,Null
979,979,0,100.0,0,Null,Null
980,980,1,100.0,1,yeditepe universitesi,250
981,981,1,100.0,0,Null,Null
982,982,1,100.0,0,Null,Null
983,983,1,100.0,0,Null,Null
984,984,0,100.0,0,Null,Null
985,985,1,100.0,0,Null,Null
986,986,1,100.0,1,fatih sultan mehmet vakif universitesi ustun akademik basari bursu,300
987,987,1,100.0,0,Null,Null
988,988,1,100.0,0,Null,Null
989,989,1,100.0,1,ihsan dogramaci bilkent universitesi,560
990,990,1,100.0,0,Null,Null
991,991,1,100.0,1,adana ticaret odasi,100
992,992,0,100.0,0,Null,Null
993,993,1,100.0,1,ihsan dogramaci vakfi,560
994,994,1,100.0,0,Null,Null
995,995,0,100.0,0,Null,Null
996,996,0,100.0,0,Null,Null
997,997,1,100.0,1,cankaya universitesi basari bursu,535
998,998,1,100.0,0,Null,Null
999,999,1,100.0,0,Null,Null
1000,1000,1,100.0,0,Null,Null
