Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor
ilkokul,hayir,Null,ortaokul,evet,ozel sektor
universite,emekli,Null,universite,emekli,Null
ilkokul,hayir,Null,lise,evet,ozel sektor
universite,emekli,Null,universite,emekli,Null
ilkokul,hayir,Null,universite,evet,kamu
ilkokul,evet,ozel sektor,ilkokul,evet,ozel sektor
universite,emekli,Null,universite,emekli,Null
lise,emekli,Null,lise,emekli,Null
lise,hayir,Null,universite,emekli,Null
ilkokul,evet,diger,lise,emekli,Null
ortaokul,hayir,Null,lise,emekli,Null
ortaokul,hayir,Null,universite,evet,kamu
ilkokul,hayir,Null,universite,evet,Null
ilkokul,hayir,Null,ortaokul,hayir,Null
egitimi yok,hayir,Null,ilkokul,evet,ozel sektor
ilkokul,hayir,Null,ortaokul,evet,diger
universite,hayir,Null,universite,evet,diger
lise,hayir,Null,universite,evet,ozel sektor
ilkokul,hayir,Null,lise,hayir,Null
universite,evet,kamu,universite,evet,ozel sektor
ilkokul,hayir,Null,universite,emekli,Null
ilkokul,hayir,Null,lise,hayir,Null
egitimi yok,hayir,Null,ilkokul,emekli,Null
ilkokul,hayir,Null,ilkokul,emekli,Null
yuksek lisans,evet,kamu,yuksek lisans,evet,ozel sektor
ilkokul,hayir,Null,lise,evet,diger
lise,hayir,Null,ilkokul,evet,ozel sektor
universite,evet,ozel sektor,lise,evet,diger
universite,evet,kamu,lise,hayir,Null
lise,hayir,Null,universite,evet,kamu
lise,hayir,Null,lise,evet,ozel sektor
egitimi yok,hayir,Null,egitimi yok,hayir,Null
egitimi yok,hayir,Null,ilkokul,emekli,Null
universite,evet,kamu,universite,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,emekli,Null
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
universite,emekli,Null,universite,emekli,Null
yuksek lisans,evet,ozel sektor,universite,evet,ozel sektor
lise,hayir,Null,ilkokul,emekli,Null
universite,evet,kamu,egitimi yok,hayir,Null
universite,hayir,Null,universite,evet,ozel sektor
ilkokul,hayir,Null,ortaokul,evet,diger
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
lise,hayir,Null,lise,evet,kamu
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
lise,hayir,Null,lise,evet,ozel sektor
universite,emekli,Null,universite,evet,kamu
ortaokul,hayir,Null,lise,emekli,Null
ilkokul,hayir,Null,lise,emekli,Null
universite,evet,kamu,universite,evet,ozel sektor
universite,emekli,Null,universite,evet,diger
lise,evet,ozel sektor,universite,evet,ozel sektor
lise,hayir,Null,universite,emekli,Null
egitimi yok,hayir,Null,ilkokul,emekli,Null
universite,evet,kamu,universite,evet,ozel sektor
universite,hayir,Null,universite,emekli,Null
ilkokul,hayir,Null,ilkokul,evet,diger
lise,hayir,Null,lise,evet,diger
universite,evet,ozel sektor,universite,evet,ozel sektor
lise,emekli,Null,lise,emekli,Null
ilkokul,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,lise,hayir,Null
ortaokul,evet,diger,lise,evet,ozel sektor
lise,hayir,Null,lise,evet,ozel sektor
universite,evet,ozel sektor,universite,emekli,Null
universite,evet,kamu,lise,hayir,Null
lise,hayir,Null,universite,evet,kamu
lise,hayir,Null,lise,emekli,Null
lise,hayir,Null,universite,emekli,Null
egitimi yok,hayir,Null,universite,emekli,Null
lise,hayir,Null,universite,emekli,Null
ilkokul,evet,diger,lise,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,evet,diger
lise,evet,ozel sektor,universite,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,diger
Null,Null,Null,Null,Null,Null
ilkokul,hayir,Null,ortaokul,emekli,Null
ilkokul,Null,Null,ortaokul,evet,ozel sektor
ilkokul,hayir,Null,lise,evet,kamu
universite,evet,kamu,universite,evet,kamu
lise,hayir,Null,ilkokul,emekli,Null
ortaokul,hayir,Null,lise,hayir,Null
ilkokul,evet,ozel sektor,ortaokul,hayir,Null
ortaokul,hayir,Null,lise,emekli,Null
universite,hayir,Null,universite,hayir,Null
lise,hayir,Null,lise,evet,diger
lise,hayir,Null,ortaokul,evet,ozel sektor
Null,Null,Null,Null,Null,Null
ilkokul,hayir,Null,ilkokul,emekli,Null
egitimi yok,hayir,Null,egitimi yok,hayir,Null
universite,emekli,Null,lise,evet,kamu
universite,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,lise,emekli,Null
ilkokul,evet,diger,ilkokul,hayir,Null
egitimi yok,hayir,Null,lise,evet,kamu
lise,hayir,Null,lise,evet,kamu
lise,emekli,Null,universite,emekli,Null
lise,hayir,Null,universite,emekli,Null
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
ilkokul,evet,ozel sektor,ortaokul,evet,ozel sektor
ilkokul,emekli,Null,ilkokul,emekli,Null
ilkokul,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,ortaokul,evet,ozel sektor
ortaokul,emekli,Null,lise,hayir,Null
ortaokul,hayir,Null,lise,evet,ozel sektor
Null,Null,Null,Null,Null,Null
ortaokul,hayir,Null,ilkokul,evet,ozel sektor
ilkokul,hayir,Null,lise,evet,diger
ilkokul,hayir,Null,Null,Null,Null
ilkokul,hayir,Null,ortaokul,hayir,Null
ilkokul,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,universite,evet,ozel sektor
lise,hayir,Null,lise,evet,kamu
universite,emekli,Null,lise,evet,ozel sektor
lise,hayir,Null,lise,emekli,Null
lise,hayir,Null,lise,evet,ozel sektor
universite,hayir,Null,universite,emekli,Null
lise,emekli,Null,universite,evet,ozel sektor
universite,hayir,Null,universite,evet,ozel sektor
ilkokul,hayir,Null,lise,emekli,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
lise,hayir,Null,ortaokul,emekli,Null
lise,evet,ozel sektor,ortaokul,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,emekli,Null
lise,emekli,Null,ortaokul,emekli,Null
ortaokul,hayir,Null,lise,evet,diger
ilkokul,hayir,Null,universite,evet,kamu
lise,evet,ozel sektor,ortaokul,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,emekli,Null
ilkokul,hayir,Null,lise,emekli,Null
ilkokul,hayir,Null,ilkokul,evet,kamu
lise,hayir,Null,universite,emekli,Null
egitimi yok,hayir,Null,egitimi yok,hayir,Null
ilkokul,evet,ozel sektor,lise,hayir,Null
egitimi yok,hayir,Null,ilkokul,emekli,Null
lise,hayir,Null,universite,evet,ozel sektor
ortaokul,hayir,Null,lise,evet,ozel sektor
lise,hayir,Null,universite,evet,ozel sektor
Null,Null,Null,Null,Null,Null
lise,evet,ozel sektor,universite,emekli,Null
lise,hayir,Null,universite,evet,diger
ortaokul,hayir,Null,universite,evet,kamu
egitimi yok,hayir,Null,ilkokul,emekli,Null
ilkokul,evet,ozel sektor,ilkokul,evet,kamu
universite,evet,kamu,universite,hayir,Null
lise,hayir,Null,lise,evet,ozel sektor
lise,hayir,Null,lise,emekli,Null
ortaokul,evet,ozel sektor,lise,evet,ozel sektor
ilkokul,hayir,Null,lise,evet,ozel sektor
lise,hayir,Null,universite,evet,kamu
ortaokul,hayir,Null,universite,Null,Null
ilkokul,hayir,Null,universite,evet,kamu
universite,evet,ozel sektor,universite,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,evet,diger
egitimi yok,hayir,Null,egitimi yok,hayir,Null
lise,hayir,Null,lise,evet,diger
ilkokul,hayir,Null,ilkokul,emekli,Null
lise,hayir,Null,lise,evet,diger
ortaokul,evet,ozel sektor,lise,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,evet,kamu
egitimi yok,hayir,Null,egitimi yok,hayir,Null
egitimi yok,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,diger
egitimi yok,hayir,Null,lise,evet,diger
ilkokul,hayir,Null,ilkokul,emekli,Null
lise,emekli,Null,lise,hayir,Null
egitimi yok,hayir,Null,egitimi yok,evet,ozel sektor
lise,hayir,Null,universite,hayir,Null
egitimi yok,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,hayir,Null
ortaokul,evet,ozel sektor,universite,evet,ozel sektor
ilkokul,hayir,Null,lise,evet,diger
egitimi yok,hayir,Null,ilkokul,emekli,Null
lise,hayir,Null,lise,evet,ozel sektor
universite,hayir,Null,universite,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,emekli,Null
ilkokul,hayir,Null,universite,evet,ozel sektor
ilkokul,hayir,Null,lise,evet,ozel sektor
universite,hayir,Null,universite,evet,kamu
ilkokul,hayir,Null,lise,evet,ozel sektor
lise,evet,ozel sektor,lise,hayir,Null
ilkokul,hayir,Null,lise,emekli,Null
ilkokul,evet,ozel sektor,lise,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,diger
ortaokul,hayir,Null,ilkokul,evet,diger
lise,evet,kamu,lise,evet,diger
universite,emekli,Null,ortaokul,emekli,Null
egitimi yok,hayir,Null,ilkokul,emekli,Null
lise,emekli,Null,universite,hayir,Null
ilkokul,evet,diger,egitimi yok,evet,diger
yuksek lisans,evet,kamu,universite,emekli,Null
lise,hayir,Null,lise,evet,ozel sektor
universite,evet,kamu,universite,evet,kamu
ilkokul,evet,ozel sektor,ilkokul,evet,ozel sektor
lise,emekli,Null,lise,evet,ozel sektor
universite,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,ilkokul,hayir,Null
egitimi yok,hayir,Null,ilkokul,hayir,Null
universite,hayir,Null,doktora,evet,ozel sektor
ilkokul,hayir,Null,egitimi yok,hayir,Null
egitimi yok,hayir,Null,ilkokul,hayir,Null
lise,evet,kamu,ortaokul,hayir,Null
egitimi yok,hayir,Null,universite,hayir,Null
universite,evet,kamu,lise,evet,kamu
lise,hayir,Null,universite,evet,kamu
lise,hayir,Null,universite,emekli,Null
ilkokul,hayir,Null,lise,hayir,Null
ilkokul,hayir,Null,ortaokul,emekli,Null
egitimi yok,hayir,Null,egitimi yok,emekli,Null
ilkokul,hayir,Null,universite,emekli,Null
universite,evet,kamu,yuksek lisans,emekli,Null
ilkokul,hayir,Null,lise,emekli,Null
universite,evet,kamu,universite,emekli,Null
lise,hayir,Null,universite,evet,ozel sektor
ilkokul,hayir,Null,lise,evet,ozel sektor
lise,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,lise,hayir,Null
lise,hayir,Null,universite,evet,kamu
lise,hayir,Null,universite,evet,ozel sektor
Null,Null,Null,Null,Null,Null
ilkokul,hayir,Null,universite,evet,kamu
lise,hayir,Null,universite,emekli,Null
ilkokul,evet,ozel sektor,ilkokul,hayir,Null
ilkokul,hayir,Null,lise,evet,ozel sektor
ortaokul,hayir,Null,universite,emekli,Null
egitimi yok,hayir,Null,ilkokul,evet,diger
ilkokul,hayir,Null,lise,emekli,Null
lise,hayir,Null,lise,evet,diger
universite,hayir,Null,universite,emekli,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,evet,ozel sektor,ilkokul,hayir,Null
lise,hayir,Null,egitimi yok,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,evet,diger
egitimi yok,hayir,Null,egitimi yok,hayir,Null
lise,hayir,Null,universite,evet,kamu
ilkokul,hayir,Null,ortaokul,emekli,Null
egitimi yok,hayir,Null,ilkokul,evet,diger
ilkokul,hayir,Null,universite,evet,ozel sektor
ortaokul,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,lise,emekli,Null
ilkokul,hayir,Null,lise,evet,diger
egitimi yok,hayir,Null,egitimi yok,hayir,Null
egitimi yok,hayir,Null,ilkokul,emekli,Null
ilkokul,hayir,Null,universite,evet,kamu
egitimi yok,hayir,Null,egitimi yok,hayir,Null
ilkokul,hayir,Null,universite,evet,ozel sektor
egitimi yok,hayir,Null,ilkokul,evet,ozel sektor
ortaokul,emekli,Null,lise,evet,ozel sektor
lise,hayir,Null,lise,evet,ozel sektor
lise,hayir,Null,ortaokul,hayir,Null
ilkokul,hayir,Null,universite,emekli,Null
ilkokul,emekli,Null,ortaokul,emekli,Null
universite,emekli,Null,universite,emekli,Null
lise,hayir,Null,universite,evet,ozel sektor
ilkokul,hayir,Null,universite,evet,diger
universite,hayir,Null,ilkokul,hayir,Null
universite,hayir,Null,universite,evet,ozel sektor
lise,hayir,Null,universite,evet,kamu
lise,evet,ozel sektor,lise,emekli,Null
lise,emekli,Null,lise,emekli,Null
universite,evet,kamu,universite,evet,ozel sektor
Null,Null,Null,Null,Null,Null
yuksek lisans,evet,kamu,yuksek lisans,evet,kamu
ilkokul,hayir,Null,lise,emekli,Null
universite,evet,kamu,lise,evet,ozel sektor
ilkokul,hayir,Null,ortaokul,emekli,Null
egitimi yok,hayir,Null,ilkokul,hayir,Null
universite,evet,kamu,universite,evet,ozel sektor
universite,emekli,Null,universite,emekli,Null
universite,emekli,Null,universite,evet,kamu
universite,emekli,Null,lise,evet,ozel sektor
ilkokul,evet,ozel sektor,ilkokul,hayir,Null
universite,evet,kamu,universite,hayir,Null
lise,emekli,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,lise,Null,Null
lise,hayir,Null,universite,evet,kamu
universite,evet,kamu,universite,emekli,Null
lise,hayir,Null,universite,evet,ozel sektor
ilkokul,emekli,Null,universite,evet,kamu
egitimi yok,hayir,Null,egitimi yok,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
lise,hayir,Null,universite,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,hayir,Null
universite,evet,ozel sektor,universite,evet,ozel sektor
ortaokul,hayir,Null,ilkokul,emekli,Null
ortaokul,hayir,Null,yuksek lisans,evet,kamu
lise,emekli,Null,universite,evet,ozel sektor
egitimi yok,hayir,Null,ilkokul,hayir,Null
ortaokul,hayir,Null,ortaokul,emekli,Null
universite,evet,kamu,lise,emekli,Null
universite,evet,kamu,universite,evet,kamu
lise,hayir,Null,universite,emekli,Null
universite,evet,kamu,universite,hayir,Null
universite,emekli,Null,universite,emekli,Null
universite,evet,ozel sektor,universite,evet,ozel sektor
egitimi yok,hayir,Null,lise,evet,diger
egitimi yok,hayir,Null,ortaokul,evet,diger
lise,hayir,Null,universite,emekli,Null
lise,hayir,Null,universite,evet,ozel sektor
ilkokul,hayir,Null,universite,evet,kamu
lise,hayir,Null,lise,evet,diger
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,diger
ilkokul,hayir,Null,ilkokul,emekli,Null
lise,evet,ozel sektor,ortaokul,hayir,Null
universite,evet,kamu,universite,emekli,Null
universite,emekli,Null,ilkokul,evet,ozel sektor
lise,hayir,Null,universite,evet,ozel sektor
ortaokul,evet,kamu,universite,emekli,Null
universite,hayir,Null,lise,evet,diger
ortaokul,evet,ozel sektor,ortaokul,emekli,Null
lise,hayir,Null,lise,emekli,Null
egitimi yok,hayir,Null,egitimi yok,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
egitimi yok,hayir,Null,egitimi yok,emekli,Null
universite,hayir,Null,universite,evet,kamu
egitimi yok,hayir,Null,ilkokul,hayir,Null
lise,evet,ozel sektor,universite,emekli,Null
ilkokul,hayir,Null,ilkokul,evet,diger
universite,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,lise,evet,ozel sektor
universite,evet,kamu,lise,evet,ozel sektor
universite,evet,kamu,lise,evet,ozel sektor
lise,hayir,Null,lise,emekli,Null
egitimi yok,hayir,Null,ilkokul,evet,ozel sektor
ilkokul,hayir,Null,yuksek lisans,evet,kamu
ortaokul,hayir,Null,universite,evet,ozel sektor
ortaokul,hayir,Null,lise,evet,ozel sektor
lise,hayir,Null,universite,hayir,Null
lise,hayir,Null,universite,emekli,Null
ilkokul,hayir,Null,ortaokul,emekli,Null
egitimi yok,hayir,Null,universite,emekli,Null
egitimi yok,hayir,Null,ilkokul,hayir,Null
lise,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,universite,evet,kamu
yuksek lisans,evet,ozel sektor,doktora,evet,ozel sektor
lise,emekli,Null,lise,evet,kamu
egitimi yok,hayir,Null,lise,emekli,Null
ilkokul,hayir,Null,universite,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,diger
lise,evet,ozel sektor,universite,evet,ozel sektor
egitimi yok,hayir,Null,ortaokul,emekli,Null
lise,hayir,Null,universite,evet,kamu
universite,evet,ozel sektor,lise,evet,ozel sektor
ortaokul,hayir,Null,ortaokul,hayir,Null
ilkokul,hayir,Null,ilkokul,emekli,Null
egitimi yok,hayir,Null,egitimi yok,hayir,Null
ilkokul,hayir,Null,ilkokul,emekli,Null
universite,emekli,Null,universite,evet,kamu
egitimi yok,hayir,Null,ilkokul,evet,diger
lise,hayir,Null,universite,emekli,Null
lise,evet,diger,ilkokul,evet,ozel sektor
ilkokul,hayir,Null,ortaokul,evet,diger
universite,evet,kamu,universite,evet,kamu
universite,evet,ozel sektor,universite,emekli,Null
lise,hayir,Null,lise,emekli,Null
lise,evet,ozel sektor,lise,evet,ozel sektor
egitimi yok,hayir,Null,ilkokul,hayir,Null
ortaokul,hayir,Null,ortaokul,emekli,Null
lise,hayir,Null,universite,evet,ozel sektor
lise,evet,ozel sektor,ortaokul,evet,ozel sektor
Null,Null,Null,Null,Null,Null
ilkokul,hayir,Null,lise,evet,diger
ilkokul,hayir,Null,ortaokul,evet,diger
ilkokul,hayir,Null,ortaokul,emekli,Null
ilkokul,hayir,Null,ortaokul,evet,diger
ilkokul,hayir,Null,ortaokul,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,emekli,Null
yuksek lisans,evet,kamu,universite,hayir,Null
lise,emekli,Null,ortaokul,emekli,Null
ilkokul,hayir,Null,lise,emekli,Null
lise,hayir,Null,universite,evet,kamu
egitimi yok,hayir,Null,ortaokul,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
lise,hayir,Null,ilkokul,hayir,Null
ilkokul,evet,ozel sektor,ilkokul,emekli,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
egitimi yok,hayir,Null,egitimi yok,hayir,Null
yuksek lisans,evet,kamu,doktora,evet,kamu
egitimi yok,hayir,Null,egitimi yok,hayir,Null
ortaokul,hayir,Null,universite,evet,kamu
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
egitimi yok,hayir,Null,ilkokul,hayir,Null
lise,evet,ozel sektor,lise,evet,ozel sektor
lise,emekli,Null,lise,emekli,Null
ilkokul,emekli,Null,lise,emekli,Null
ilkokul,hayir,Null,ortaokul,evet,diger
ilkokul,emekli,Null,ilkokul,emekli,Null
lise,hayir,Null,universite,evet,kamu
lise,evet,ozel sektor,lise,emekli,Null
egitimi yok,hayir,Null,universite,evet,kamu
ortaokul,hayir,Null,universite,evet,kamu
ilkokul,hayir,Null,lise,evet,ozel sektor
lise,hayir,Null,lise,evet,diger
lise,hayir,Null,universite,hayir,Null
ilkokul,hayir,Null,ortaokul,evet,ozel sektor
ilkokul,hayir,Null,universite,evet,kamu
lise,hayir,Null,lise,evet,ozel sektor
lise,hayir,Null,universite,emekli,Null
ilkokul,hayir,Null,universite,evet,kamu
lise,hayir,Null,doktora,hayir,Null
universite,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,lise,evet,kamu
universite,hayir,Null,doktora,hayir,Null
lise,hayir,Null,universite,emekli,Null
egitimi yok,hayir,Null,ilkokul,hayir,Null
ortaokul,hayir,Null,ortaokul,evet,ozel sektor
universite,evet,ozel sektor,universite,hayir,Null
universite,hayir,Null,universite,evet,diger
ilkokul,hayir,Null,lise,emekli,Null
ilkokul,hayir,Null,ortaokul,hayir,Null
ilkokul,evet,ozel sektor,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
egitimi yok,hayir,Null,ilkokul,hayir,Null
egitimi yok,emekli,Null,ilkokul,hayir,Null
lise,hayir,Null,lise,emekli,Null
egitimi yok,hayir,Null,ilkokul,hayir,Null
egitimi yok,hayir,Null,ilkokul,emekli,Null
universite,evet,kamu,lise,emekli,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
egitimi yok,hayir,Null,ilkokul,evet,diger
ilkokul,hayir,Null,ilkokul,evet,Null
ortaokul,hayir,Null,lise,evet,ozel sektor
lise,emekli,Null,lise,hayir,Null
ilkokul,hayir,Null,universite,emekli,Null
egitimi yok,hayir,Null,ortaokul,evet,diger
egitimi yok,hayir,Null,egitimi yok,emekli,Null
universite,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,ortaokul,hayir,Null
ilkokul,hayir,Null,lise,emekli,Null
egitimi yok,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ortaokul,emekli,Null
universite,evet,ozel sektor,universite,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
universite,evet,kamu,universite,evet,kamu
ilkokul,evet,ozel sektor,lise,evet,diger
universite,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,ilkokul,emekli,Null
ilkokul,hayir,Null,ilkokul,emekli,Null
ortaokul,hayir,Null,ilkokul,emekli,Null
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
yuksek lisans,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,ilkokul,evet,diger
lise,evet,kamu,universite,emekli,Null
ortaokul,hayir,Null,universite,evet,kamu
Null,Null,Null,Null,Null,Null
lise,hayir,Null,ilkokul,evet,ozel sektor
universite,evet,ozel sektor,universite,evet,ozel sektor
universite,evet,kamu,universite,emekli,Null
lise,hayir,Null,universite,evet,kamu
universite,hayir,Null,doktora,hayir,Null
universite,emekli,Null,lise,emekli,Null
lise,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,lise,evet,kamu
lise,evet,ozel sektor,lise,emekli,Null
lise,emekli,Null,ilkokul,hayir,Null
universite,evet,ozel sektor,doktora,evet,diger
universite,evet,kamu,universite,evet,kamu
ortaokul,hayir,Null,universite,emekli,Null
ortaokul,evet,diger,ortaokul,evet,ozel sektor
universite,hayir,Null,universite,evet,diger
ilkokul,hayir,Null,lise,evet,ozel sektor
egitimi yok,hayir,Null,universite,evet,kamu
universite,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,ilkokul,hayir,Null
lise,hayir,Null,lise,emekli,Null
egitimi yok,hayir,Null,ilkokul,emekli,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,diger
egitimi yok,hayir,Null,ilkokul,hayir,Null
universite,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,universite,evet,kamu
lise,hayir,Null,universite,emekli,Null
ortaokul,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,universite,evet,kamu
egitimi yok,hayir,Null,egitimi yok,hayir,Null
egitimi yok,hayir,Null,ilkokul,emekli,Null
yuksek lisans,evet,kamu,universite,evet,kamu
ortaokul,emekli,Null,ilkokul,emekli,Null
ilkokul,hayir,Null,ortaokul,emekli,Null
lise,hayir,Null,universite,evet,ozel sektor
universite,evet,kamu,universite,evet,kamu
lise,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,emekli,Null
lise,emekli,Null,ortaokul,emekli,Null
egitimi yok,hayir,Null,ilkokul,evet,diger
ilkokul,evet,ozel sektor,ilkokul,emekli,Null
lise,hayir,Null,ortaokul,evet,diger
Null,Null,Null,Null,Null,Null
ilkokul,evet,ozel sektor,ortaokul,hayir,Null
universite,evet,ozel sektor,universite,evet,ozel sektor
universite,evet,kamu,lise,emekli,Null
egitimi yok,evet,ozel sektor,ilkokul,evet,ozel sektor
yuksek lisans,emekli,Null,universite,evet,ozel sektor
lise,evet,ozel sektor,lise,evet,diger
lise,hayir,Null,ortaokul,evet,ozel sektor
lise,evet,ozel sektor,lise,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,evet,diger
ilkokul,hayir,Null,ortaokul,evet,kamu
ilkokul,evet,ozel sektor,ortaokul,evet,ozel sektor
universite,evet,kamu,universite,evet,kamu
lise,hayir,Null,universite,emekli,Null
yuksek lisans,evet,ozel sektor,yuksek lisans,evet,ozel sektor
lise,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
ilkokul,hayir,Null,ortaokul,evet,ozel sektor
egitimi yok,hayir,Null,ilkokul,hayir,Null
ilkokul,evet,ozel sektor,ilkokul,evet,ozel sektor
ilkokul,hayir,Null,lise,emekli,Null
universite,evet,kamu,lise,emekli,Null
yuksek lisans,emekli,Null,universite,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,emekli,Null
universite,evet,Null,lise,hayir,Null
Null,Null,Null,Null,Null,Null
egitimi yok,hayir,Null,universite,evet,kamu
universite,evet,kamu,universite,evet,ozel sektor
egitimi yok,hayir,Null,egitimi yok,evet,kamu
egitimi yok,hayir,Null,egitimi yok,evet,diger
ilkokul,hayir,Null,ortaokul,emekli,Null
ilkokul,hayir,Null,lise,evet,ozel sektor
lise,hayir,Null,universite,evet,kamu
egitimi yok,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,emekli,Null
egitimi yok,evet,diger,ilkokul,hayir,Null
egitimi yok,hayir,Null,ilkokul,emekli,Null
ortaokul,hayir,Null,ortaokul,emekli,Null
lise,evet,ozel sektor,lise,emekli,Null
lise,evet,ozel sektor,lise,evet,ozel sektor
ilkokul,hayir,Null,ilkokul,evet,diger
ortaokul,hayir,Null,ilkokul,emekli,Null
ilkokul,hayir,Null,universite,evet,kamu
ilkokul,hayir,Null,ilkokul,hayir,Null
lise,hayir,Null,ortaokul,evet,ozel sektor
universite,evet,kamu,lise,emekli,Null
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
ilkokul,hayir,Null,lise,evet,ozel sektor
lise,hayir,Null,doktora,emekli,Null
ilkokul,hayir,Null,ilkokul,evet,ozel sektor
egitimi yok,hayir,Null,ilkokul,hayir,Null
egitimi yok,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ortaokul,evet,ozel sektor
universite,evet,ozel sektor,universite,emekli,Null
lise,hayir,Null,ilkokul,emekli,Null
ilkokul,hayir,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,ilkokul,evet,diger
universite,hayir,Null,universite,evet,kamu
lise,evet,ozel sektor,yuksek lisans,hayir,Null
ilkokul,emekli,Null,ilkokul,hayir,Null
ilkokul,hayir,Null,lise,evet,diger
universite,evet,kamu,universite,evet,kamu
lise,hayir,Null,lise,evet,ozel sektor
ilkokul,hayir,Null,universite,evet,ozel sektor
lise,emekli,Null,universite,emekli,Null
universite,evet,kamu,universite,evet,kamu
ilkokul,hayir,Null,ilkokul,evet,diger
universite,evet,kamu,universite,evet,kamu
universite,evet,kamu,ortaokul,hayir,Null
universite,evet,ozel sektor,lise,emekli,Null
ilkokul,hayir,Null,ilkokul,emekli,Null
ilkokul,hayir,Null,ortaokul,emekli,Null
egitimi yok,hayir,Null,egitimi yok,hayir,Null
ilkokul,hayir,Null,lise,evet,diger
lise,emekli,Null,ortaokul,evet,ozel sektor
lise,hayir,Null,universite,emekli,Null
ilkokul,evet,ozel sektor,ortaokul,evet,ozel sektor
universite,evet,kamu,universite,emekli,Null
ilkokul,hayir,Null,universite,emekli,Null
Null,Null,Null,Null,Null,Null
ilkokul,hayir,Null,ortaokul,evet,ozel sektor
egitimi yok,hayir,Null,ilkokul,evet,ozel sektor
lise,hayir,Null,lise,hayir,Null
universite,evet,kamu,universite,evet,kamu
egitimi yok,hayir,Null,ortaokul,emekli,Null
lise,hayir,Null,universite,evet,kamu
universite,emekli,Null,universite,evet,kamu
ortaokul,hayir,Null,ilkokul,emekli,Null
ilkokul,hayir,Null,universite,hayir,Null
