Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
makine muhendisligi,1,,hayir,
isletme,3,0.00 - 2.50,hayir,
fen edebiyat fakultesi biyoloji bolumu,5,0.00 - 2.50,hayir,
iktisat,1,,hayir,
beden egitimi ve spor ogretmenligi,2,2.50 - 3.00,hayir,
ìlahiyat fakultesi,2,2.50 - 3.00,hayir,
kimya muhendisligi,mezun,2.50 - 3.00,evet,
iktisat,4,3.00 - 3.50,hayir,
bilgisayar ve ogretim teknolojileri ogretmenligi,2,2.50 - 3.00,hayir,
harita ve kadastro,1,2.50 - 3.00,hayir,
odyoloji,2,3.00 - 3.50,hayir,
tip,2,,hayir,
elektrik elektronik muhendisligi,hazirlik,,hayir,
harita kadastro,1,2.50 - 3.00,hayir,
antrenorluk,4,3.00 - 3.50,hayir,
endustri muhendisligi,2,2.50 - 3.00,hayir,
bankacilik ve finans,2,3.00 - 3.50,hayir,
iktisat,4,2.50 - 3.00,hayir,
makina muhendisligi,4,0.00 - 2.50,hayir,
mekatronik,1,0.00 - 2.50,hayir,
isletme,3,0.00 - 2.50,hayir,
fizyoterapi ve rehabilitasyon,1,,hayir,
ingilizce isletme,hazirlik,,hayir,
tekstil muhendisligi,2,0.00 - 2.50,hayir,
sosyal bilgiler ogretmenligi,2,3.00 - 3.50,hayir,
uluslararasi iliskiler,1,,hayir,
mekatronik muhendisligi,4,2.50 - 3.00,hayir,
kamu yonetimi,4,,evet,
tarih,3,0.00 - 2.50,hayir,
istatistik,3,0.00 - 2.50,hayir,
kamu yuonetimi,3,0.00 - 2.50,hayir,
saglik yonetimi,4,2.50 - 3.00,hayir,
calisma ekonomisi ve endustri iliskileri,3,0.00 - 2.50,hayir,
bilgisayar muhendisligi,3,0.00 - 2.50,hayir,
isletmeingilizce,3,0.00 - 2.50,hayir,
halkla iliskiler ve tanitim,3,0.00 - 2.50,hayir,
bilgisayar muhendisligi teknoloji fakultesi,4,2.50 - 3.00,hayir,
elektrik elektronik muhendisligi,2,0.00 - 2.50,hayir,
iktisadi ve idari bilimler fakultesi- isletm,4,,evet,
isletme yonetimi,4,2.50 - 3.00,evet,
iktisat,3,2.50 - 3.00,hayir,
isletme,4,2.50 - 3.00,hayir,
metalurji ve malzeme muhendisligi,4,0.00 - 2.50,hayir,
insaat muhendisligi,2,0.00 - 2.50,hayir,
iktisat,3,0.00 - 2.50,hayir,
makine muhendisligi,1,,hayir,
tip fakultesi,3,,hayir,
orman muhendisligi,4,3.00 - 4.00,hayir,
istatistik ve bilgisayar bilimleri,4,0.00 - 2.50,hayir,
kamu yonetimi,4,2.50 - 3.00,hayir,
iktisat,3,2.50 - 3.00,hayir,
muhasebe ve vergi uygulamalari,mezun,3.00 - 3.50,hayir,
isletme,hazirlik,,hayir,
metalurji ve malzeme muhendisligi,2,0.00 - 2.50,hayir,
sosyal hizmet,1,3.00 - 3.50,hayir,
elektronik,,,hayir,
makina muhendisligi,3,2.50 - 3.00,hayir,
bilgisayar muhendisligi,2,,hayir,
iktisat,3,3.00 - 3.50,hayir,
isletme,4,0.00 - 2.50,hayir,
iletisim tasarimi ve yonetimi,2,3.00 - 3.50,hayir,
endustri muhendisligi,4,2.50 - 3.00,hayir,
tekstil muhendisligi,4,2.50 - 3.00,hayir,
iktisat,4,2.50 - 3.00,hayir,
bilgisayar muhendisligi,3,0.00 - 2.50,hayir,
iktisat,3,0.00 - 2.50,hayir,
uluslararasi iliskiler,3,0.00 - 2.50,hayir,
kimya muhendisligi,3,2.50 - 3.00,hayir,
isletme,3,0.00 - 2.50,hayir,
turk dili ve edebiyati,mezun,0.00 - 2.50,evet,
uluslararasi ticaret ve isletmecilik,1,,hayir,
endustri muhendisligi,2,2.50 - 3.00,hayir,
enerji sistemleri muhendisligi,4,0.00 - 2.50,hayir,
turkce ogretmenligi,3,0.00 - 2.50,hayir,
isletme,4,2.50 - 3.00,hayir,
iktisat,4,0.00 - 2.50,hayir,
hukuk- sosyal guvenlik,2,2.50 - 3.00,hayir,
makina muhendisligi,2,0.00 - 2.50,hayir,
mekatronik muhendisligi,3,0.00 - 2.50,hayir,
elektronik ve haberlesme muhendisligi,3,2.50 - 3.00,hayir,
bilgisayar muhendisligi,3,0.00 - 2.50,hayir,
ingilizce ogretmenligi,3,2.50 - 3.00,hayir,
istatistik,1,0.00 - 2.50,hayir,
iktisat,4,3.00 - 3.50,hayir,
ingilizce isletme,1,,hayir,
siyaset bilimi ve uluslararasi iliskiler ingilizce,3,0.00 - 2.50,hayir,
istatistik,1,,hayir,
kimya,3,0.00 - 2.50,hayir,
elektrik-elektronik muhendisligi,2,0.00 - 2.50,hayir,
bilgisayar muhendisligi,2,0.00 - 2.50,hayir,
endustri muhendisligi,2,2.50 - 3.00,hayir,
tarih bolumu,3,3.00 - 3.50,hayir,
isletme,3,,hayir,
elektrik-elektronik muhendisligi,3,2.50 - 3.00,hayir,
biyomedikal cihaz teknolojisi,2,0.00 - 2.50,hayir,
bilgisayar muhendisligi,1,,hayir,
tip,6,3.00 - 3.50,hayir,
bilgisayar muhendisligi,3,0.00 - 2.50,hayir,
kimya muhendisligi,2,0.00 - 2.50,hayir,
endustri muhendisligi,3,3.00 - 3.50,hayir,
bati dilleri ve edebiyatlari,1,,hayir,
calisma ekonomisi ve endustri iliskileri,3,0.00 - 2.50,hayir,
sanat tarihi,2,0.00 - 2.50,hayir,
ingiliz dili ve edebiyati,4,0.00 - 2.50,hayir,
sivil hava ve ulastirma isletmeciligi,4,3.00 - 3.50,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
kimya,2,2.50 - 3.00,hayir,
matematik muhendisligiing,1,0.00 - 2.50,hayir,
cevre muhendisligi,3,3.00 - 3.50,hayir,
endustri muhendisligi,1,0.00 - 2.50,hayir,
matematik,3,0.00 - 2.50,hayir,
matematik,3,2.50 - 3.00,hayir,
guzel sanatlar fakultesi- grafik tasarim,2,3.00 - 3.50,hayir,
iktisat,3,2.50 - 3.00,hayir,
ingilizce isletme,4,2.50 - 3.00,hayir,
isletme muhendisligi,2,3.00 - 3.50,hayir,
iktisat,4,2.50 - 3.00,hayir,
dis ticaret,2,0.00 - 2.50,hayir,
kamu yonetimi,4,2.50 - 3.00,hayir,
sosyoloji,2,3.00 - 3.50,hayir,
ekonometri,2,2.50 - 3.00,hayir,
istatistik,2,3.00 - 3.50,hayir,
kimya muhendisligi,2,0.00 - 2.50,hayir,
calisma ekonomisi ve endustri iliskileri,3,0.00 - 2.50,evet,
gida muhendisligi,4,2.50 - 3.00,hayir,
karsilastirmali edebiyat,,,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
yazilim muhendisligi,3,0.00 - 2.50,hayir,
ekonometri,3,2.50 - 3.00,hayir,
iktisat,3,3.00 - 4.00,hayir,
calisma ekonomisi ve endustri iliskileri,2,3.00 - 3.50,hayir,
felsefe,4,,hayir,
makina muhendisligi / cift ana dal endustri muhendisligi,4,2.50 - 3.00,hayir,
sosyoloji,1,0.00 - 2.50,hayir,
hukuk,4,2.50 - 3.00,hayir,
ekonometri,3,0.00 - 2.50,hayir,
hukuk,1,0.00 - 2.50,hayir,
elektrik-elektronik muhendisligi,3,0.00 - 2.50,hayir,
iktisat,3,2.50 - 3.00,hayir,
kamu yonetimi,2,2.50 - 3.00,hayir,
isletme,2,0.00 - 2.50,hayir,
bankacilik ve finans,4,0.00 - 2.50,hayir,
turizm ve otel isletmeciligi,2,2.50 - 3.00,evet,
elektrik-elektronik muhendisligi,4,0.00 - 2.50,hayir,
hukuk,3,2.50 - 3.00,hayir,
sanat tarihi,2,3.00 - 3.50,hayir,
iktisat,4,,hayir,
endustri muhendisligi,2,0.00 - 2.50,hayir,
ekonometri,3,2.50 - 3.00,hayir,
imalat muhendisligi,3,2.50 - 3.00,hayir,
elektrik elektronik muhendisligi,2,,hayir,
turizm isletmeciligi ing,2,0.00 - 2.50,hayir,
turizm isletme,2,2.50 - 3.00,hayir,
orman muhendisligi,2,0.00 - 2.50,hayir,
amerikan kulturu ve edebiyati,4,3.00 - 3.50,hayir,
malzeme bilimi ve muhendisligi,4,0.00 - 2.50,hayir,
maden muhendisligi,1,,hayir,
makine muhendisligi,4,2.50 - 3.00,hayir,
business administration isletme,2,0.00 - 2.50,hayir,
elektronik ve haberlesme muhendisligi,4,3.00 - 4.00,hayir,
makina muhendisligi,4,2.50 - 3.00,hayir,
yiyecek icecek isletmeciligi,4,0.00 - 2.50,hayir,
calisma ekonomisi,4,0.00 - 2.50,hayir,
siyaset bilimi ve kamu yonetimi,4,,hayir,
yonetim bilisim sistemleri,3,0.00 - 2.50,hayir,
kamu yonetimi,3,3.00 - 3.50,hayir,
makine muhendisligi,1,,hayir,
aile ve tuketici bilimleri,4,,hayir,
amerikan kulturu ve edebiyati,3,0.00 - 2.50,hayir,
aktuerya,4,2.50 - 3.00,hayir,
isletme,4,3.00 - 3.50,hayir,
iktisatingilizce,1,,hayir,
endustri muhendisligi,4,2.50 - 3.00,hayir,
elektrik-elektronik muhendisligi,4,2.50 - 3.00,hayir,
eczacilik,3,0.00 - 2.50,hayir,
bedeb egitimi ve spor yuksekokulurekreasyon,2,3.00 - 4.00,hayir,
isletme,1,,hayir,
cevre muhendisligi,4,0.00 - 2.50,hayir,
endustri muhendisligi,1,,hayir,
cevre muhendisligi,,,hayir,
ingilizce iktisat - uluslararasi iliskiler double major,4,3.00 - 4.00,hayir,
deniz ulastirma isletme muhendisligi,4,0.00 - 2.50,hayir,
endustri muhendisligi,2,2.50 - 3.00,hayir,
bilgisayar muhendisligi,2,0.00 - 2.50,hayir,
fizik,mezun,2.50 - 3.00,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
iktisat,mezun,2.50 - 3.00,evet,
cevre muhendisligi,4,2.50 - 3.00,hayir,
iktisat,4,,hayir,
hukuk fakultesi,3,2.50 - 3.00,hayir,
matematik,4,,hayir,
iktisat,2,0.00 - 2.50,hayir,
bilgisayar muhendisligi,3,0.00 - 2.50,hayir,
okul oncesi ogretmenligi,2,2.50 - 3.00,hayir,
endustri muhendisligi,4,2.50 - 3.00,hayir,
biyoloji,4,0.00 - 2.50,hayir,
isletme,1,,hayir,
kimya muhendisligi,4,2.50 - 3.00,hayir,
turizm ve otelcilik yuksekokulu,3,2.50 - 3.00,hayir,
ingilizce iktisat,4,2.50 - 3.00,hayir,
tekstil muhendiligi %100 ingilizce,4,0.00 - 2.50,hayir,
makine muhendisligi,4,3.00 - 3.50,hayir,
elektrik elektronik muhendisligi,1,0.00 - 2.50,hayir,
bilgisayar ve ogretim teknolojileri egitimi,3,2.50 - 3.00,hayir,
kamu yonetimi,2,0.00 - 2.50,hayir,
isletme muhendisligi,4,0.00 - 2.50,hayir,
"konaklama ,isletmecilligi",4,2.50 - 3.00,hayir,
makina muhendisligi,2,2.50 - 3.00,hayir,
isletme muhendisligi,1,0.00 - 2.50,hayir,
isletme,3,2.50 - 3.00,hayir,
sivil hava ulastirma isletmeciligi,2,3.00 - 3.50,hayir,
enerji sistemleri muhendisligi,2,0.00 - 2.50,hayir,
isletme,2,2.50 - 3.00,hayir,
hukuk,1,2.50 - 3.00,hayir,
muhasebe ve finansal yonetim,4,,evet,
dis hekimligi,2,3.00 - 3.50,hayir,
istatistik,4,0.00 - 2.50,hayir,
endustri muhendisligi,2,2.50 - 3.00,hayir,
iktisat,3,,hayir,
hukuk,3,2.50 - 3.00,hayir,
hukuk,2,3.00 - 3.50,hayir,
sinif ogretmenligi,4,3.00 - 3.50,hayir,
kimya muhendisligi,1,,hayir,
siyasal bilgiler fakultesi siyaset bilimi ve kamu yonetimi,3,2.50 - 3.00,hayir,
insaat muhendislgi,1,,hayir,
siyaset bilimi ve uluslararasi iliskiler,4,2.50 - 3.00,hayir,
ekonometri,4,0.00 - 2.50,hayir,
iktisat,1,,hayir,
almanca mutercim tercumanlik,1,,hayir,
isletme,2,2.50 - 3.00,hayir,
hukuk,3,2.50 - 3.00,hayir,
endustri muhendisligi,1,,hayir,
radyo televizyon ve sinema,2,0.00 - 2.50,hayir,
ziraat fakultesi,2,0.00 - 2.50,hayir,
endustri muhendisi,4,3.00 - 3.50,hayir,
bankacilik ve finans,2,0.00 - 2.50,hayir,
biyoloji,3,2.50 - 3.00,hayir,
tarih,4,2.50 - 3.00,hayir,
ilkogretim matematik ogretmenligi,2,3.00 - 4.00,hayir,
uluslararasi iliskiler,3,0.00 - 2.50,hayir,
isletme,2,0.00 - 2.50,hayir,
mekatronik muhendisligi,hazirlik,,hayir,
iktisat,2,0.00 - 2.50,hayir,
isletme,3,,evet,
kamu yonetimi,4,,hayir,
iktisat,4,2.50 - 3.00,hayir,
uluslararasi iliskiler,hazirlik,,hayir,
makina muhendisligi,5,0.00 - 2.50,hayir,
matematik,2,0.00 - 2.50,hayir,
kimya muhendisligi,4,0.00 - 2.50,hayir,
kimya,3,2.50 - 3.00,hayir,
makina muhendisligi,4,0.00 - 2.50,hayir,
makine muhendisligi,3,0.00 - 2.50,hayir,
uluslararasi ticaret ve lojistik,1,3.00 - 4.00,hayir,
iktisat,2,2.50 - 3.00,hayir,
gazetecilik,2,3.00 - 3.50,hayir,
eczacilik fakultesi,1,,hayir,
ingilizce iktisat,4,2.50 - 3.00,hayir,
bilgisayar ve ogretim teknolojileri egitimi,4,3.00 - 4.00,hayir,
ekonometri,3,2.50 - 3.00,hayir,
uluslararasi ticaret ve finansman,3,2.50 - 3.00,hayir,
isletme,4,0.00 - 2.50,hayir,
hukuk fakultesi,2,,hayir,
tarih,4,,hayir,
matematik,3,0.00 - 2.50,hayir,
iktisat,4,0.00 - 2.50,hayir,
sosyoloji,4,0.00 - 2.50,hayir,
ziraat fakultesi sut teknolojisi,4,,hayir,
bilgisayar muhendisligi,2,0.00 - 2.50,hayir,
ceviribilim,2,2.50 - 3.00,hayir,
kimya muhendisligi,4,0.00 - 2.50,hayir,
endustri muhendisligi,4,2.50 - 3.00,hayir,
sosyoloji,4,3.00 - 3.50,hayir,
isletme,3,2.50 - 3.00,hayir,
bilgisayar teknolojileri,2,2.50 - 3.00,hayir,
fransizca ogretmenligi,hazirlik,,hayir,
uluslarasi ticaret ve finansman,3,2.50 - 3.00,hayir,
bilgisayar muhendisligi,2,2.50 - 3.00,hayir,
isletme,3,,hayir,
isletme,3,0.00 - 2.50,hayir,
hukuk,2,0.00 - 2.50,hayir,
endustri muhendisligi,3,3.00 - 4.00,hayir,
isletme bilgi yonetimi,3,2.50 - 3.00,hayir,
okul oncesi ogretmenligi,2,3.00 - 3.50,hayir,
isletme,2,0.00 - 2.50,hayir,
ilahiyat,2,2.50 - 3.00,hayir,
bilgisayar muhendisligi,2,2.50 - 3.00,hayir,
matematik muhendisligi,4,2.50 - 3.00,hayir,
metalurji ve malzeme muhendisligi,3,2.50 - 3.00,hayir,
makine ve imalat muhendisligi,3,0.00 - 2.50,hayir,
resim bolumu,3,3.00 - 3.50,hayir,
hukuk fakultesi,2,2.50 - 3.00,hayir,
elektrik elektronik muhendisligi,4,2.50 - 3.00,hayir,
insaat muhendisligiingilizce,2,0.00 - 2.50,hayir,
ekonometri,4,2.50 - 3.00,evet,
istatistik ve bilgisayar bilimleri,2,0.00 - 2.50,hayir,
mimarlik,4,0.00 - 2.50,hayir,
bilgisayar muhendisligi,3,0.00 - 2.50,hayir,
elektrik elektronik,3,2.50 - 3.00,hayir,
matematik,4,0.00 - 2.50,hayir,
isletme,4,2.50 - 3.00,hayir,
isletme,3,2.50 - 3.00,hayir,
ekonomi ingilizce %50 burslu,2,0.00 - 2.50,hayir,
maliye,4,0.00 - 2.50,hayir,
biyoloji,4,2.50 - 3.00,hayir,
elektronik ve haberlesme muhendisligi,3,2.50 - 3.00,hayir,
maliye,2,0.00 - 2.50,hayir,
bilgisayar muhendisi,3,3.00 - 3.50,hayir,
insaat muhendisligi,4,3.00 - 3.50,hayir,
turkdili ve edebiyati,1,0.00 - 2.50,hayir,
elektronik haberlesme muhendisligi yuksek lisans,1,,evet,
elektrik-elektronik muhendisligi,3,0.00 - 2.50,hayir,
ekonometri,3,2.50 - 3.00,evet,
elektrik elektronik muhendisi,3,2.50 - 3.00,hayir,
peyzaj mimarligi,mezun,2.50 - 3.00,evet,
elektrik muhendisligi,4,0.00 - 2.50,hayir,
molekuler biyoloji ve genetik bolumu,2,3.00 - 3.50,hayir,
materials science and engineering,3,0.00 - 2.50,hayir,
yonetim ve organizsyon lojistik,2,3.00 - 3.50,hayir,
"radyo,televizyon ve sinema",4,2.50 - 3.00,evet,
endustri muhendisligi,4,2.50 - 3.00,hayir,
makine muhendisligi,3,0.00 - 2.50,hayir,
mekatronik muhendisligi,3,2.50 - 3.00,hayir,
denizcilik isletmeleri yonetimi,2,0.00 - 2.50,hayir,
ingilizce iktisat,4,2.50 - 3.00,hayir,
ingilizce iktisat,3,0.00 - 2.50,hayir,
kimya,mezun,,hayir,
elektrik elektronik muhendisligi,2,0.00 - 2.50,hayir,
endustri muhendisligi,4,0.00 - 2.50,hayir,
makine muhendisligi,3,3.00 - 3.50,evet,
uluslararsi iliskiler,3,2.50 - 3.00,hayir,
bankacilik ve finans,2,0.00 - 2.50,hayir,
isletme,1,,hayir,
kamu yonetimi,4,3.00 - 3.50,hayir,
elektrik elektronik muhendisligi,2,3.00 - 3.50,hayir,
bankacilik/finans,4,0.00 - 2.50,hayir,
cevre muhendisligi,3,0.00 - 2.50,hayir,
metalurji ve malzeme muhendisligi,5,0.00 - 2.50,hayir,
makine muhendisligi,1,,hayir,
ingilizce isletme,4,3.00 - 4.00,hayir,
mimarlik fakultesi / mimarlik,2,0.00 - 2.50,hayir,
enerji sistemleri muhendisligi,3,0.00 - 2.50,hayir,
tarih,4,2.50 - 3.00,hayir,
gazetecilik,4,2.50 - 3.00,hayir,
bilgisayar muhendisligi,3,2.50 - 3.00,hayir,
muhasebe ve vergi uygulamalari,mezun,2.50 - 3.00,hayir,
otomotiv muhendisligi,4,3.00 - 3.50,hayir,
ingiliz dili ve edebiyati,3,0.00 - 2.50,hayir,
ibbf,1,0.00 - 2.50,hayir,
isletme,3,,evet,
isletme yonetimi,2,2.50 - 3.00,hayir,
molekuler biyoloji ve genetik,2,3.00 - 3.50,hayir,
elektronik ve haberlesme muhendisligi,3,0.00 - 2.50,hayir,
isletme,2,,hayir,
ilk ogretim din kulturu ve ahlak bilgisi ogretmenligi,2,2.50 - 3.00,hayir,
cocuk gelisimi,2,2.50 - 3.00,hayir,
bilisim teknolojileri,2,3.00 - 3.50,hayir,
ingilizce ogretmenligi,3,2.50 - 3.00,hayir,
endustri muhendisligi %100 ingilizce,4,2.50 - 3.00,hayir,
biyomedikal muhendisligi,2,3.00 - 3.50,hayir,
mekatronik muhendisligi,2,3.00 - 4.00,hayir,
endustriyel tasarim muhendisligi,1,,hayir,
hukuk,3,0.00 - 2.50,hayir,
elektrik - elektronik muhendisligi ve optisyenlik,3,3.00 - 3.50,hayir,
elektrik-elektronik muhendisligi,1,,hayir,
siyaset bilimi ve kamu yonetimi,1,3.00 - 4.00,hayir,
isletme,3,3.00 - 3.50,hayir,
isletme,2,2.50 - 3.00,hayir,
hukuk,2,0.00 - 2.50,hayir,
hukuk fakultesi,2,3.00 - 3.50,hayir,
uluslararasi ticaret,2,2.50 - 3.00,hayir,
uluslararasi iliskiler,4,2.50 - 3.00,hayir,
uluslararasi iliskiler ingilizce,2,2.50 - 3.00,hayir,
uluslararasi iliskiler,1,0.00 - 2.50,hayir,
makine muhendisligi,2,0.00 - 2.50,hayir,
bilgisayar muhendisligi,3,2.50 - 3.00,hayir,
bilgisayar muhendisligi,2,0.00 - 2.50,hayir,
makine muhendisligi%100 ingilizce,1,,hayir,
halkla iliskiler ve tanitim,4,0.00 - 2.50,hayir,
hukuk,1,,hayir,
isletme,3,2.50 - 3.00,hayir,
kamu yonetim,2,0.00 - 2.50,hayir,
endustri muhendisligi,mezun,3.00 - 3.50,evet,
elektronik muhendisligi,1,,hayir,
enerji sistemleri muhendisligi,4,2.50 - 3.00,hayir,
isletme,4,2.50 - 3.00,hayir,
calisma ekonomisi ve endustri iliskileri,2,2.50 - 3.00,hayir,
insaat muhendisligi,4,2.50 - 3.00,hayir,
elektronik haberlesme muhendisligi,3,2.50 - 3.00,hayir,
maden muhendisligi,1,3.00 - 3.50,hayir,
tip fakultesi,2,2.50 - 3.00,hayir,
tip doktorlugu,2,3.00 - 4.00,hayir,
iktisat,2,2.50 - 3.00,hayir,
elektronik ve haberlesme muhendisligi,4,3.00 - 3.50,hayir,
elektronik ve haberlesme muhendisligi,2,2.50 - 3.00,hayir,
sosyoloji,4,2.50 - 3.00,hayir,
makine muhendisligi,3,0.00 - 2.50,hayir,
makine muhendisligiingilizce,4,0.00 - 2.50,hayir,
elektronik ve haberlesme,1,,hayir,
isletme bolumu,3,2.50 - 3.00,hayir,
isletme,3,0.00 - 2.50,hayir,
matematik muhendisligi,1,,hayir,
insaat muhendisligi,1,,hayir,
gida muhendisligi,4,2.50 - 3.00,hayir,
hukuk,4,2.50 - 3.00,hayir,
sivil havacilik yuksek okulu ucak govde motor bakimi,4,3.00 - 3.50,hayir,
siyaset bilimi ve kamu yonetimi,4,2.50 - 3.00,hayir,
isletme,3,3.00 - 3.50,hayir,
sivil hava ulastirma isletmeciligi,3,2.50 - 3.00,hayir,
elektronik hab muh ing,4,2.50 - 3.00,hayir,
insaat muhendisligi,1,,hayir,
hukuk fakultesi,,3.00 - 3.50,hayir,
elektrik elektronik muhendisligi,2,0.00 - 2.50,hayir,
hukuk,2,0.00 - 2.50,hayir,
insaat muhendisligi,2,0.00 - 2.50,hayir,
iktisat,4,3.00 - 3.50,hayir,
metalurji ve malzeme muhendisligi,2,,hayir,
tarih,4,0.00 - 2.50,hayir,
bankacilik ve sigortacilik,4,3.00 - 3.50,evet,
bilgisayar programciligi,2,2.50 - 3.00,hayir,
gazetecilik,1,,hayir,
isletme,3,0.00 - 2.50,hayir,
istatistik,4,3.00 - 3.50,hayir,
hukuk fakultesi,3,2.50 - 3.00,hayir,
elektronik ve haberlesme muhendisligi,4,3.00 - 3.50,hayir,
elektrik-elektronik muhendisligi bolumu,3,0.00 - 2.50,hayir,
otomotiv muhendisligi,2,2.50 - 3.00,hayir,
enerji sistemleri muhendisligi,2,3.00 - 4.00,hayir,
turk dili ve edebiyati,3,2.50 - 3.00,hayir,
calisma ekonomisi ve endustri iliskileri,1,2.50 - 3.00,hayir,
fizik tedavi ve rehabilitasyon,3,2.50 - 3.00,hayir,
isletme,mezun,2.50 - 3.00,hayir,
ingilizce ogretmenligi,3,3.00 - 3.50,hayir,
uluslararasi iliskiler,4,2.50 - 3.00,hayir,
kamu yonetimi,3,2.50 - 3.00,hayir,
bilgisayar ve ogrenim teknolojileri ogretmenligi,4,3.00 - 3.50,hayir,
sosyal hizmetler,,3.00 - 3.50,hayir,
insaat muhendisligi,2,2.50 - 3.00,hayir,
makine muhendisligi,,3.00 - 3.50,evet,
mimarlik,1,,hayir,
kamu yonetimi,4,2.50 - 3.00,hayir,
sinif ogretmenligi,3,0.00 - 2.50,hayir,
turk dili ve edebiyati,mezun,0.00 - 2.50,hayir,
elektrik elektronik muhendisligi,3,2.50 - 3.00,hayir,
metalurji ve malzeme muhendisligi,4,0.00 - 2.50,hayir,
sosyoloji,2,2.50 - 3.00,hayir,
bilgisayar muhendisligi,3,2.50 - 3.00,hayir,
matematik muhendisligi,1,,hayir,
metalurji ve malzeme muh,3,0.00 - 2.50,hayir,
muhasebe ve vergi uygulamalari,1,,hayir,
halkla iliskiler ve reklamcilik,4,2.50 - 3.00,hayir,
uluslararasi iliskiler,3,2.50 - 3.00,hayir,
bilgisayar muhendisligi,3,2.50 - 3.00,hayir,
ilahiyat,1,2.50 - 3.00,hayir,
uygulamali ingilizce cevirmenlik,2,2.50 - 3.00,hayir,
insaat teknikerligi,2,,hayir,
harita muhendisligi,3,2.50 - 3.00,hayir,
insaat muh.,2,0.00 - 2.50,hayir,
elektrik elektronik muhendisligi,4,2.50 - 3.00,hayir,
turizm isletmeciligi,mezun,2.50 - 3.00,evet,
makine muhendisligi,1,,hayir,
isletme,2,2.50 - 3.00,hayir,
bilgisayar ve ogretim teknolojileri ogretmenligi,3,3.00 - 3.50,hayir,
makine muhendisligi,3,3.00 - 3.50,hayir,
harita-kadastro,2,2.50 - 3.00,hayir,
hukuk,3,2.50 - 3.00,hayir,
rehberlik ve psikolojik danismanlik,2,3.00 - 3.50,hayir,
cevre muhendisligi,3,0.00 - 2.50,hayir,
"radyo, televizyon ve sinema",4,2.50 - 3.00,hayir,
biyomuhendislik,4,,hayir,
endustri muhendisligi,3,3.00 - 4.00,hayir,
endustri muhendisligi,2,0.00 - 2.50,hayir,
konaklama isletmeciligi,4,2.50 - 3.00,evet,
endustri muhendisligi,4,0.00 - 2.50,hayir,
kamu yonetimi,2,0.00 - 2.50,hayir,
elektrik-elektronik muhendisligi,3,0.00 - 2.50,hayir,
elektrik-elektronik muhendisligi,3,2.50 - 3.00,hayir,
iktisating,1,,hayir,
bilgisayar muhendisligi,2,0.00 - 2.50,hayir,
ingiliz edebiyati,1,,hayir,
uluslararasi ticaret,4,0.00 - 2.50,hayir,
iktisat,hazirlik,,hayir,
iktisat,2,2.50 - 3.00,hayir,
ilahiyat fakultesi din kulturu ve ahlak bilgisi ogretmenligi,2,2.50 - 3.00,hayir,
otomotiv muh,3,0.00 - 2.50,hayir,
bilgisayar muhendisligi,2,,hayir,
kamu yonetimi,4,,hayir,
halkla iliskiler ve tanitim,2,0.00 - 2.50,evet,
bilgisayar muhendisligi,hazirlik,,hayir,
elektrik elektronik muhendisligi,4,0.00 - 2.50,hayir,
fizik ogretmenligi,hazirlik,,hayir,
makine muhendisligi,5,2.50 - 3.00,hayir,
elektrik elektronik muhendisligi,2,0.00 - 2.50,hayir,
bilgisayar muhendisligi,3,0.00 - 2.50,hayir,
isletme,2,3.00 - 3.50,hayir,
genel tip,2,3.00 - 3.50,hayir,
elektrik elektronik muhendisligi,1,,hayir,
biyoloji,3,0.00 - 2.50,hayir,
elektrik elektronik muhendisligi,4,3.00 - 3.50,hayir,
orman endustri muhendisligi,3,0.00 - 2.50,hayir,
isletme,3,0.00 - 2.50,hayir,
hukuk,1,0.00 - 2.50,hayir,
makina muhendisligi,2,3.00 - 4.00,hayir,
isletme,2,0.00 - 2.50,hayir,
%30 ingilizce iktisat,2,3.00 - 4.00,hayir,
iktisat,2,2.50 - 3.00,hayir,
hukuk fakultesi,3,3.00 - 3.50,hayir,
insaat muhendisligi,1,0.00 - 2.50,hayir,
gemi ve deniz teknolojisi muhendisligi ing,2,2.50 - 3.00,hayir,
sinif ogretmenligi-okuloncesi ogretmenligicift anadal,4,3.00 - 4.00,hayir,
sosyal hizmet,2,,hayir,
bilgisayar muhendisligi,1,2.50 - 3.00,hayir,
makine muhendisligi,2,0.00 - 2.50,hayir,
ingiliz dili ve edebiyati,4,2.50 - 3.00,hayir,
ingiliz dili ve edebiyati,4,2.50 - 3.00,hayir,
iktisat,2,0.00 - 2.50,hayir,
tip,3,3.00 - 3.50,hayir,
iktisat,2,2.50 - 3.00,hayir,
ozel egitim ogretmenligi,4,2.50 - 3.00,hayir,
bilgisyar programciligi,1,0.00 - 2.50,hayir,
elektrik elektronik muhendisligi,3,2.50 - 3.00,hayir,
sosyal hizmet,2,3.00 - 3.50,hayir,
makine muhendisligi,3,2.50 - 3.00,hayir,
elektrik elektronik muhendisligi,3,2.50 - 3.00,hayir,
harita ve kadostro,2,0.00 - 2.50,hayir,
kamu yonetimi,3,2.50 - 3.00,hayir,
